,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
75,75,West Virginia,15-13,0.5363,0.5292 (95),188,8-3,0.4878,97,0.5361
76,76,Marquette,16-11,0.5351,0.5338 (87),200,8-2,0.4830,83,0.5495
77,77,Temple,15-13,0.5349,0.5305 (91),72,6-5,0.5383,100,0.5351
78,78,Hawai'i,18-11,0.5348,0.5471 (68),69,7-3,0.5397,73,0.5563
79,79,Baylor,7-20,0.5344,0.5412 (78),286,4-7,0.4391,213,0.4656
80,80,George Washington,18-11,0.5339,0.5337 (88),163,6-5,0.4972,74,0.5556
81,81,Massachusetts,10-19,0.5329,0.5358 (81),63,6-6,0.5420,174,0.4859
82,82,Penn State,9-19,0.5328,0.5357 (83),145,6-5,0.5042,189,0.4800
83,83,Illinois State,9-19,0.5322,0.5463 (70),84,4-4,0.5302,192,0.4795
84,84,Dayton,24-8,0.5319,0.5299 (93),144,10-3,0.5051,40,0.5864
85,85,Gonzaga,27-2,0.5318,0.5358 (82),17,11-2,0.5751,9,0.6316
86,86,Houston,9-18,0.5309,0.5314 (90),92,6-5,0.5277,187,0.4815
87,87,La Salle,10-20,0.5304,0.5349 (85),175,5-8,0.4933,188,0.4811
88,88,Kansas State,14-14,0.5303,0.5292 (94),274,8-3,0.4483,114,0.5227
89,89,Rhode Island,19-12,0.5300,0.5304 (92),38,11-2,0.5544,82,0.5507
90,90,Virginia Tech,15-14,0.5298,0.5281 (96),304,7-4,0.4199,108,0.5267
91,91,Tulsa,9-20,0.5297,0.5347 (86),80,4-6,0.5341,197,0.4749
92,92,Nebraska,16-12,0.5289,0.5280 (98),272,10-1,0.4490,92,0.5396
93,93,Marshall,12-17,0.5274,0.5426 (75),81,3-6,0.5326,150,0.4990
94,94,South Florida,7-20,0.5273,0.5221 (109),155,6-5,0.4997,222,0.4603
95,95,Wichita State,20-10,0.5272,0.5367 (80),85,7-3,0.5299,68,0.5621
96,96,Stanford,29-1,0.5268,0.5253 (106),161,9-0,0.4980,7,0.6368
97,97,Rice,21-10,0.5268,0.5279 (99),149,8-3,0.5020,63,0.5645
98,98,Minnesota,12-18,0.5265,0.5271 (102),164,8-4,0.4971,156,0.4949
99,99,UW Milwaukee,18-10,0.5263,0.5427 (74),21,4-6,0.5690,75,0.5555
100,100,Evansville,7-22,0.5257,0.5349 (84),173,1-8,0.4936,232,0.4546
101,101,Missouri State,19-14,0.5249,0.5323 (89),209,8-4,0.4793,96,0.5376
102,102,Northern Iowa,20-9,0.5238,0.5281 (97),132,5-3,0.5097,59,0.5652
103,103,Washington State,12-16,0.5237,0.5192 (115),269,5-4,0.4520,149,0.4999
104,104,Southern Illinois,25-4,0.5228,0.5273 (101),76,7-2,0.5357,25,0.6076
105,105,Texas-El Paso,22-7,0.5219,0.5229 (107),204,7-1,0.4807,46,0.5811
106,106,Tulane,10-17,0.5206,0.5167 (118),264,6-4,0.4539,181,0.4831
107,107,Pepperdine,15-16,0.5205,0.5276 (100),96,5-10,0.5260,129,0.5114
108,108,Arizona State,10-17,0.5192,0.5158 (120),211,6-3,0.4783,184,0.4820
109,109,Georgetown,13-15,0.5190,0.5135 (126),281,9-2,0.4436,142,0.5053
110,110,Old Dominion,17-12,0.5188,0.5266 (103),62,5-4,0.5434,99,0.5356
111,111,Boise State,19-9,0.5176,0.5139 (124),227,6-2,0.4709,72,0.5578
112,112,New Mexico,12-14,0.5170,0.5135 (125),262,7-4,0.4549,145,0.5032
113,113,Southern Methodist,12-18,0.5164,0.5089 (134),193,6-4,0.4848,170,0.4873
114,114,Duquesne,12-17,0.5161,0.5115 (129),254,5-6,0.4593,162,0.4905
115,115,Miami (OH),17-11,0.5157,0.5219 (110),67,4-4,0.5398,93,0.5385
116,116,Oregon State,11-16,0.5153,0.5100 (131),247,5-4,0.4610,168,0.4883
117,117,Ball State,13-15,0.5152,0.5258 (104),44,2-6,0.5507,146,0.5025
118,118,Texas A&M,7-21,0.5150,0.5087 (135),319,7-4,0.3983,246,0.4487
119,119,St. Mary's,16-12,0.5145,0.5150 (122),147,6-6,0.5034,104,0.5287
120,120,Santa Clara,15-16,0.5144,0.5133 (127),104,7-7,0.5241,138,0.5068
121,121,Purdue,17-13,0.5139,0.4979 (152),273,10-3,0.4490,107,0.5271
122,122,Louisiana-Lafayette,18-8,0.5134,0.5194 (114),15,3-5,0.5764,71,0.5581
123,123,San Francisco,16-14,0.5134,0.5167 (117),86,9-6,0.5296,119,0.5184
124,124,Hofstra,14-15,0.5130,0.5153 (121),98,4-6,0.5255,140,0.5055
125,125,Ohio State,14-16,0.5126,0.5003 (149),248,8-5,0.4608,147,0.5011
126,126,Davidson,14-12,0.5117,0.5195 (113),12,2-6,0.5852,118,0.5184
127,127,South Alabama,10-16,0.5115,0.5221 (108),79,4-6,0.5344,191,0.4798
128,128,UNC Wilmington,15-15,0.5114,0.5183 (116),97,4-5,0.5257,135,0.5086
129,129,East Carolina,12-14,0.5106,0.5030 (143),309,7-2,0.4127,151,0.4983
130,130,St. Peter's,17-12,0.5102,0.5253 (105),49,4-5,0.5496,103,0.5292
131,131,Loyola-Chicago,9-20,0.5102,0.5200 (112),64,4-7,0.5420,225,0.4602
132,132,Portland,11-17,0.5083,0.5080 (137),127,6-7,0.5107,193,0.4794
133,133,San Diego,3-26,0.5082,0.5112 (130),165,2-12,0.4969,298,0.4070
134,134,Chicago State,11-20,0.5077,0.5202 (111),33,1-12,0.5580,206,0.4695
135,135,Idaho,13-16,0.5064,0.5167 (119),52,3-6,0.5482,160,0.4919
136,136,Indiana State,9-19,0.5055,0.5037 (142),225,4-5,0.4718,229,0.4595
137,137,Indiana-Purdue Ft. Wayne,2-24,0.5055,0.5146 (123),142,2-24,0.5055,303,0.3983
138,138,Appalachian State,8-21,0.5054,0.5122 (128),66,4-8,0.5400,248,0.4480
139,139,Western Kentucky,13-13,0.5045,0.5050 (141),59,5-6,0.5443,144,0.5034
140,140,Iona,11-18,0.5036,0.5091 (133),56,2-7,0.5462,203,0.4726
141,141,,16-14,0.5035,0.5055 (140),119,5-7,0.5145,131,0.5109
142,142,Manhattan,24-5,0.5033,0.5076 (138),75,6-3,0.5363,42,0.5844
143,143,Virginia Commonwealth,23-7,0.5030,0.5027 (144),158,6-3,0.4987,54,0.5689
144,144,Drake,11-16,0.5017,0.4937 (165),307,4-4,0.4180,196,0.4781
145,145,Louisiana Tech,13-15,0.5014,0.4896 (174),292,4-4,0.4369,158,0.4921
146,146,Creighton,20-8,0.5013,0.4940 (164),258,8-1,0.4558,77,0.5545
147,147,George Mason,21-9,0.5012,0.4978 (153),208,7-2,0.4795,81,0.5509
148,148,Youngstown State,7-20,0.5009,0.5081 (136),101,3-7,0.5247,257,0.4405
149,149,San Jose State,5-22,0.5004,0.4924 (169),300,4-4,0.4267,282,0.4216
150,150,Cleveland State,2-25,0.5001,0.5094 (132),138,2-8,0.5069,307,0.3936
151,151,Miami (FL),13-16,0.4999,0.4795 (191),317,9-4,0.4017,171,0.4870
152,152,Kent State,21-8,0.4989,0.4965 (157),190,6-2,0.4852,76,0.5552
153,153,Mercer,11-18,0.4989,0.5071 (139),20,2-6,0.5714,208,0.4690
154,154,Drexel,18-10,0.4988,0.5027 (145),159,5-4,0.4985,101,0.5348
155,155,Ohio,10-20,0.4981,0.5015 (146),143,3-8,0.5052,231,0.4569
156,156,Bradley,15-15,0.4974,0.4895 (175),239,8-3,0.4638,152,0.4980
157,157,Toledo,20-10,0.4973,0.4981 (151),109,6-3,0.5216,91,0.5396
158,158,Middle Tennessee State,15-12,0.4967,0.5010 (148),113,6-5,0.5194,128,0.5114
159,159,Siena,14-16,0.4967,0.4977 (154),83,3-6,0.5314,167,0.4892
160,160,Pacific,23-7,0.4964,0.4964 (158),111,4-6,0.5211,65,0.5640
161,161,William & Mary,7-21,0.4961,0.4983 (150),156,3-6,0.4990,265,0.4346
162,162,Bowling Green,12-17,0.4945,0.4959 (161),246,3-6,0.4621,199,0.4743
163,163,Central Michigan,5-24,0.4942,0.4919 (171),195,3-7,0.4848,291,0.4138
164,164,Eastern Washington,16-12,0.4934,0.5013 (147),50,3-9,0.5495,127,0.5129
165,165,New Mexico State,11-14,0.4933,0.4962 (159),141,5-5,0.5059,190,0.4799
166,166,CS Northridge,13-16,0.4926,0.4972 (155),238,3-4,0.4640,186,0.4815
167,167,Austin Peay,19-9,0.4915,0.4921 (170),10,1-8,0.5902,94,0.5383
168,168,Chattanooga,16-11,0.4915,0.4941 (163),184,4-4,0.4894,122,0.5168
169,169,Belmont,20-8,0.4914,0.4962 (160),13,4-2,0.5799,85,0.5471
170,170,Delaware,16-12,0.4913,0.4906 (172),245,6-3,0.4623,130,0.5113
171,171,Detroit,19-11,0.4905,0.4840 (183),74,7-4,0.5378,110,0.5262
172,172,UC Irvine,10-17,0.4902,0.4928 (167),123,4-5,0.5127,223,0.4603
173,173,Wofford,6-20,0.4898,0.4893 (177),117,1-7,0.5147,276,0.4250
174,174,The Citadel,3-21,0.4889,0.4968 (156),110,1-6,0.5214,305,0.3980
175,175,Western Michigan,26-4,0.4886,0.4817 (185),219,8-1,0.4748,44,0.5831
176,176,Montana,8-18,0.4871,0.4895 (176),57,2-9,0.5458,254,0.4422
177,177,Idaho State,11-18,0.4866,0.4929 (166),48,3-10,0.5498,228,0.4598
178,178,Weber State,13-14,0.4846,0.4887 (178),54,5-6,0.5473,178,0.4838
179,179,Tennessee-Martin,8-18,0.4843,0.4899 (173),23,3-7,0.5665,258,0.4402
180,180,Denver,13-13,0.4840,0.4814 (186),181,7-4,0.4905,169,0.4880
181,181,Southern Utah,8-18,0.4839,0.4854 (181),99,2-7,0.5251,259,0.4398
182,182,UNC Asheville,7-20,0.4836,0.4957 (162),16,0-9,0.5752,272,0.4275
183,183,Air Force,22-6,0.4832,0.4624 (237),315,10-3,0.4028,70,0.5588
184,184,Canisius,10-19,0.4832,0.4800 (188),135,5-5,0.5081,247,0.4486
185,185,Marist,6-22,0.4827,0.4840 (182),196,2-7,0.4844,288,0.4156
186,186,Utah State,24-3,0.4824,0.4777 (197),118,7-1,0.5145,43,0.5840
187,187,Buffalo,17-12,0.4824,0.4775 (198),244,5-4,0.4626,136,0.5083
188,188,Texas-Pan American,10-14,0.4821,0.4878 (179),201,10-14,0.4821,212,0.4658
189,189,Savannah State,4-23,0.4817,0.4926 (168),203,4-23,0.4817,304,0.3983
190,190,Niagara,21-9,0.4812,0.4759 (203),222,6-3,0.4726,98,0.5359
191,191,Elon,10-18,0.4809,0.4760 (202),131,2-8,0.5097,243,0.4499
192,192,Wright State,14-13,0.4807,0.4723 (212),191,4-6,0.4849,163,0.4902
193,193,Tennessee Tech,10-15,0.4806,0.4802 (187),42,3-5,0.5528,221,0.4605
194,194,Butler,15-14,0.4803,0.4677 (224),240,5-5,0.4637,166,0.4895
195,195,Stetson,10-15,0.4803,0.4785 (193),94,0-4,0.5274,224,0.4602
196,196,Valparaiso,17-12,0.4802,0.4752 (205),124,3-7,0.5127,139,0.5067
197,197,Morehead State,13-13,0.4800,0.4780 (195),148,2-6,0.5022,176,0.4850
198,198,UW Green Bay,16-11,0.4797,0.4722 (213),223,5-5,0.4719,137,0.5079
199,199,UC Santa Barbara,15-12,0.4785,0.4706 (219),185,5-3,0.4893,153,0.4977
200,200,Western Carolina,9-15,0.4783,0.4774 (199),176,3-4,0.4928,236,0.4524
201,201,Yale,11-15,0.4782,0.4822 (184),35,4-8,0.5554,214,0.4645
202,202,Pennsylvania,17-10,0.4781,0.4730 (211),32,7-6,0.5590,124,0.5160
203,203,Troy,23-5,0.4781,0.4792 (192),150,3-2,0.5016,66,0.5639
204,204,Loyola-Marymount,14-14,0.4774,0.4630 (236),252,8-4,0.4595,180,0.4831
205,205,Georgia State,18-9,0.4771,0.4733 (209),116,3-2,0.5151,113,0.5245
206,206,Monmouth,21-11,0.4770,0.4799 (189),77,6-5,0.5350,116,0.5218
207,207,Akron,13-15,0.4768,0.4660 (227),256,6-3,0.4591,201,0.4737
208,208,East Tennessee State,24-5,0.4768,0.4687 (223),221,6-4,0.4735,61,0.5645
209,209,Central Florida,24-5,0.4768,0.4764 (201),249,4-2,0.4600,62,0.5645
210,210,CS Fullerton,10-17,0.4767,0.4737 (208),228,3-5,0.4702,241,0.4501
211,211,Murray State,25-5,0.4767,0.4717 (216),58,8-3,0.5456,58,0.5658
212,212,College of Charleston,19-9,0.4767,0.4730 (210),120,7-3,0.5145,106,0.5271
213,213,UC Riverside,10-17,0.4759,0.4707 (218),207,2-5,0.4797,245,0.4495
214,214,Texas A&M-Corpus Christi,11-11,0.4755,0.4743 (207),216,11-11,0.4755,185,0.4816
215,215,Fairfield,19-11,0.4754,0.4603 (240),202,7-4,0.4819,125,0.5149
216,216,Oakland,11-17,0.4751,0.4655 (228),128,5-6,0.5107,233,0.4546
217,217,Samford,8-16,0.4747,0.4721 (215),25,1-6,0.5646,260,0.4393
218,218,Harvard,4-23,0.4747,0.4874 (180),89,1-12,0.5288,308,0.3930
219,219,Binghamton,14-16,0.4744,0.4781 (194),224,4-7,0.4719,204,0.4725
220,220,Hartford,11-17,0.4743,0.4796 (190),237,4-4,0.4641,235,0.4539
221,221,Tennessee State,6-20,0.4742,0.4696 (220),91,0-9,0.5280,293,0.4133
222,222,Towson,8-21,0.4729,0.4650 (231),318,3-6,0.4012,278,0.4236
223,223,Long Beach State,5-21,0.4729,0.4661 (226),289,1-7,0.4376,300,0.4027
224,224,Cal Poly,10-16,0.4718,0.4616 (239),235,4-3,0.4667,242,0.4500
225,225,Wagner,12-16,0.4714,0.4779 (196),108,2-7,0.5224,219,0.4607
226,226,Liberty,17-14,0.4706,0.4748 (206),73,2-10,0.5382,165,0.4901
227,227,James Madison,7-21,0.4704,0.4559 (246),316,4-5,0.4023,290,0.4153
228,228,Mount St. Mary's,10-19,0.4704,0.4708 (217),241,2-8,0.4636,261,0.4390
229,229,UIC,24-7,0.4703,0.4558 (247),278,10-3,0.4460,87,0.5463
230,230,Eastern Kentucky,12-15,0.4700,0.4653 (229),205,3-6,0.4801,215,0.4636
231,231,McNeese State,8-16,0.4698,0.4754 (204),22,1-7,0.5665,264,0.4357
232,232,Western Illinois,3-24,0.4697,0.4666 (225),192,2-9,0.4849,313,0.3801
233,233,Bucknell,12-15,0.4697,0.4768 (200),180,2-9,0.4909,216,0.4634
234,234,Navy,3-23,0.4680,0.4722 (214),199,1-10,0.4831,315,0.3799
235,235,Stony Brook,10-20,0.4679,0.4696 (221),280,3-6,0.4447,266,0.4342
236,236,Louisiana-Monroe,9-19,0.4678,0.4694 (222),130,1-10,0.5098,268,0.4312
237,237,Florida International,3-22,0.4675,0.4603 (241),288,2-9,0.4379,311,0.3806
238,238,Lipscomb,5-21,0.4672,0.4636 (233),220,1-5,0.4743,302,0.3985
239,239,Loyola-Maryland,1-27,0.4672,0.4622 (238),305,0-9,0.4182,322,0.3594
240,240,Northern Illinois,8-19,0.4658,0.4495 (262),279,3-5,0.4455,279,0.4234
241,241,Oral Roberts,15-11,0.4657,0.4575 (243),154,5-4,0.4999,157,0.4935
242,242,Gardner-Webb,7-20,0.4652,0.4544 (249),236,1-6,0.4644,292,0.4137
243,243,UNC Greensboro,10-17,0.4648,0.4516 (259),230,3-7,0.4685,255,0.4412
244,244,Arkansas-Little Rock,14-12,0.4641,0.4529 (255),296,4-6,0.4333,182,0.4827
245,245,,14-12,0.4640,0.4537 (251),153,4-5,0.5001,183,0.4826
246,246,Albany,5-23,0.4634,0.4647 (232),260,2-7,0.4555,309,0.3922
247,247,Robert Morris,13-15,0.4631,0.4651 (230),189,2-6,0.4877,217,0.4634
248,248,Fairleigh Dickinson,16-12,0.4630,0.4631 (235),167,4-4,0.4965,164,0.4901
249,249,IU-Purdue Indianapolis,19-11,0.4628,0.4491 (264),162,7-4,0.4980,141,0.5054
250,250,American,18-13,0.4623,0.4632 (234),174,6-8,0.4933,159,0.4919
251,251,Lafayette,16-10,0.4614,0.4591 (242),136,7-4,0.5074,148,0.4999
252,252,North Texas,11-15,0.4612,0.4415 (275),310,3-7,0.4124,237,0.4517
253,253,Northeastern,17-11,0.4606,0.4493 (263),271,4-5,0.4496,154,0.4972
254,254,Campbell,3-24,0.4600,0.4528 (256),293,0-7,0.4368,317,0.3728
255,255,Rider,17-13,0.4588,0.4458 (267),266,6-4,0.4533,175,0.4858
256,256,Furman,14-12,0.4588,0.4505 (260),306,5-3,0.4182,195,0.4787
257,257,Central Connecticut State,14-14,0.4587,0.4563 (244),285,3-4,0.4399,207,0.4690
258,258,Missouri-Kansas City,15-14,0.4585,0.4496 (261),263,5-6,0.4543,202,0.4732
259,259,Brown,13-13,0.4584,0.4521 (258),139,3-9,0.5065,209,0.4688
260,260,Boston University,23-5,0.4582,0.4471 (266),250,6-3,0.4599,84,0.5490
261,261,New Hampshire,10-20,0.4579,0.4530 (254),284,4-6,0.4403,273,0.4268
262,262,Maryland-Baltimore County,7-21,0.4566,0.4522 (257),287,3-6,0.4390,299,0.4050
263,263,Eastern Michigan,10-15,0.4564,0.4364 (284),326,3-3,0.3536,253,0.4423
264,264,Florida Atlantic,7-19,0.4560,0.4446 (269),324,1-4,0.3736,297,0.4093
265,265,Southeast Missouri State,9-16,0.4558,0.4435 (270),160,5-4,0.4982,267,0.4318
266,266,Va. Military Inst.,4-22,0.4556,0.4561 (245),171,0-9,0.4941,312,0.3802
267,267,Lamar,7-18,0.4555,0.4555 (248),107,2-7,0.5226,294,0.4116
268,268,Northwestern State,8-17,0.4553,0.4534 (253),90,0-8,0.5287,283,0.4215
269,269,Long Island,8-19,0.4551,0.4535 (252),243,4-5,0.4627,289,0.4154
270,270,Jacksonville,11-15,0.4546,0.4419 (273),321,3-2,0.3870,250,0.4467
271,271,Arkansas State,15-11,0.4534,0.4349 (286),290,8-3,0.4375,177,0.4843
272,272,Portland State,9-16,0.4531,0.4416 (274),233,4-7,0.4675,270,0.4298
273,273,Holy Cross,13-14,0.4528,0.4412 (277),215,6-6,0.4764,227,0.4599
274,274,Vermont,22-8,0.4516,0.4409 (278),313,4-5,0.4076,115,0.5220
275,275,Eastern Illinois,4-20,0.4511,0.4356 (285),267,0-8,0.4532,314,0.3800
276,276,Quinnipiac,7-20,0.4497,0.4431 (272),294,2-7,0.4355,301,0.4021
277,277,Maine,18-10,0.4475,0.4402 (281),323,4-3,0.3750,155,0.4964
278,278,Sacred Heart,12-15,0.4474,0.4372 (282),255,4-5,0.4592,251,0.4467
279,279,Charleston Southern,4-22,0.4471,0.4449 (268),218,1-8,0.4752,316,0.3738
280,280,Texas-Arlington,14-12,0.4469,0.4368 (283),134,2-6,0.5095,205,0.4698
281,281,Sacramento State,11-15,0.4468,0.4310 (291),270,4-7,0.4515,256,0.4408
282,282,Cornell,10-16,0.4464,0.4405 (280),197,4-8,0.4840,269,0.4310
283,283,Delaware State,13-15,0.4462,0.4538 (250),14,1-7,0.5783,240,0.4507
284,284,Princeton,19-7,0.4457,0.4289 (295),177,6-6,0.4914,121,0.5170
285,285,Prairie View A&M,7-20,0.4431,0.4414 (276),137,0-9,0.5074,306,0.3972
286,286,Georgia Southern,18-8,0.4429,0.4180 (311),311,6-2,0.4087,143,0.5052
287,287,Winthrop,14-12,0.4427,0.4320 (288),152,4-5,0.5009,210,0.4666
288,288,Arkansas-Pine Bluff,1-26,0.4422,0.4408 (279),146,0-9,0.5038,326,0.3409
289,289,St. Francis (PA),13-15,0.4420,0.4302 (292),291,3-6,0.4373,249,0.4476
290,290,Northern Arizona,13-14,0.4415,0.4219 (303),283,5-6,0.4404,238,0.4515
291,291,Texas-San Antonio,16-12,0.4414,0.4335 (287),242,2-7,0.4630,200,0.4739
292,292,Columbia,9-17,0.4413,0.4251 (300),231,3-9,0.4676,286,0.4175
293,293,Colgate,13-14,0.4408,0.4312 (289),297,6-5,0.4309,239,0.4510
294,294,North Carolina A&T,3-25,0.4403,0.4471 (265),71,0-9,0.5385,323,0.3570
295,295,Jacksonville State,12-14,0.4402,0.4249 (301),265,5-4,0.4537,252,0.4455
296,296,Montana State,12-13,0.4398,0.4191 (308),276,6-5,0.4467,244,0.4498
297,297,Army,4-21,0.4397,0.4311 (290),308,1-9,0.4145,319,0.3697
298,298,Alcorn State,11-18,0.4388,0.4433 (271),210,1-8,0.4791,277,0.4239
299,299,Sam Houston State,9-15,0.4386,0.4289 (294),186,1-6,0.4879,281,0.4227
300,300,Texas State,9-14,0.4365,0.4273 (296),122,1-5,0.5131,275,0.4252
301,301,Dartmouth,2-24,0.4357,0.4272 (297),277,1-11,0.4461,324,0.3460
302,302,Grambling State,9-18,0.4347,0.4258 (298),183,0-8,0.4897,296,0.4094
303,303,St. Francis (NY),15-13,0.4347,0.4152 (313),322,3-6,0.3836,226,0.4599
304,304,Coastal Carolina,12-15,0.4339,0.4215 (304),261,3-6,0.4555,263,0.4365
305,305,Alabama State,16-14,0.4334,0.4301 (293),182,2-7,0.4898,230,0.4584
