,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
0,Rank,School,W-L,SOS,Opp Win Pct,Rank,W-L,SOS,Rank,RPI
1,1,Alabama,17-12,0.6127,0.6389 (2),2,8-3,0.6167,26,0.6061
2,2,Maryland,19-11,0.6123,0.6338 (3),43,9-2,0.5525,18,0.6175
3,3,Florida,20-10,0.6121,0.6392 (1),27,9-2,0.5641,13,0.6257
4,4,Duke,27-5,0.6073,0.6282 (4),24,12-1,0.5657,1,0.6664
5,5,North Carolina,18-10,0.6052,0.6228 (5),29,10-1,0.5622,19,0.6146
6,6,Clemson,10-18,0.6005,0.6213 (6),53,7-4,0.5481,90,0.5396
7,7,Kentucky,26-4,0.5995,0.6146 (7),51,10-1,0.5485,2,0.6663
8,8,North Carolina State,20-9,0.5960,0.6084 (9),82,8-3,0.5326,17,0.6194
9,9,Wake Forest,19-9,0.5915,0.5994 (15),87,10-1,0.5293,20,0.6133
10,10,Kansas,20-8,0.5907,0.6087 (8),9,7-3,0.5903,15,0.6216
11,11,Georgia Tech,23-9,0.5888,0.5974 (17),106,13-1,0.5228,16,0.6212
12,12,Texas,23-7,0.5860,0.6077 (10),31,9-2,0.5614,10,0.6311
13,13,Georgia,16-13,0.5859,0.6015 (14),166,8-3,0.4965,48,0.5773
14,14,Villanova,15-15,0.5838,0.6040 (13),46,7-4,0.5505,67,0.5629
15,15,Missouri,16-13,0.5838,0.6046 (11),5,6-5,0.5958,51,0.5758
16,16,Louisville,20-9,0.5834,0.6046 (12),8,10-1,0.5904,24,0.6099
17,17,Connecticut,27-6,0.5806,0.5976 (16),93,12-2,0.5275,5,0.6400
18,18,Syracuse,21-7,0.5795,0.5940 (18),105,10-1,0.5234,14,0.6221
19,19,Seton Hall,19-9,0.5783,0.5931 (19),47,9-2,0.5498,28,0.6033
20,20,Providence,20-8,0.5781,0.5862 (26),41,9-2,0.5532,21,0.6121
21,21,Michigan State,18-11,0.5767,0.5928 (20),4,5-6,0.5965,39,0.5877
22,22,Boston College,23-9,0.5753,0.5894 (23),65,11-2,0.5407,22,0.6112
23,23,Cincinnati,24-6,0.5748,0.5925 (21),61,9-2,0.5434,11,0.6311
24,24,St. John's,6-21,0.5746,0.5925 (22),39,5-6,0.5540,173,0.4865
25,25,Vanderbilt,21-9,0.5744,0.5837 (29),212,11-0,0.4777,27,0.6058
26,26,Notre Dame,17-12,0.5742,0.5877 (24),187,7-4,0.4878,49,0.5772
27,27,Florida State,17-13,0.5713,0.5761 (36),179,11-2,0.4912,53,0.5702
28,28,Rutgers,15-12,0.5704,0.5871 (25),28,8-2,0.5623,56,0.5667
29,29,Louisiana State,18-10,0.5702,0.5794 (32),121,10-1,0.5133,38,0.5883
30,30,Auburn,14-14,0.5691,0.5797 (31),140,9-2,0.5064,79,0.5518
31,31,Wisconsin,24-6,0.5688,0.5839 (28),45,9-2,0.5506,12,0.6266
32,32,Texas Tech,22-10,0.5679,0.5804 (30),70,12-2,0.5390,30,0.5978
33,33,Virginia,17-12,0.5658,0.5663 (44),257,10-1,0.4588,52,0.5709
34,34,Indiana,14-15,0.5656,0.5789 (33),19,6-5,0.5723,88,0.5449
35,35,Alabama-Birmingham,20-9,0.5647,0.5841 (27),7,7-4,0.5916,33,0.5959
36,36,Mississippi,13-15,0.5622,0.5722 (39),214,8-3,0.4769,95,0.5377
37,37,Brigham Young,19-8,0.5618,0.5762 (35),26,8-3,0.5642,31,0.5973
38,38,Richmond,20-12,0.5614,0.5756 (37),6,8-5,0.5929,47,0.5773
39,39,Mississippi State,25-3,0.5606,0.5624 (48),172,11-0,0.4941,4,0.6437
40,40,Tennessee,15-13,0.5605,0.5590 (54),275,8-3,0.4478,78,0.5543
41,41,Iowa State,16-12,0.5588,0.5646 (47),157,8-2,0.4990,69,0.5619
42,42,Arkansas,12-16,0.5588,0.5671 (43),229,8-3,0.4696,111,0.5262
43,43,Xavier,23-10,0.5580,0.5690 (40),36,9-4,0.5551,35,0.5927
44,44,Nevada,22-8,0.5574,0.5763 (34),3,6-3,0.5997,29,0.6013
45,45,Pittsburgh,28-4,0.5568,0.5610 (50),234,13-0,0.4674,8,0.6364
46,46,Saint Joseph's,27-1,0.5568,0.5672 (42),1,11-0,0.6237,3,0.6587
47,47,Oklahoma State,26-3,0.5545,0.5598 (53),198,9-1,0.4835,6,0.6400
48,48,Wyoming,11-17,0.5534,0.5727 (38),78,7-6,0.5345,126,0.5132
49,49,Texas Christian,12-17,0.5521,0.5646 (46),68,4-7,0.5398,120,0.5176
50,50,Saint Louis,18-12,0.5521,0.5605 (51),170,7-4,0.4944,64,0.5641
51,51,DePaul,21-9,0.5518,0.5545 (60),169,7-4,0.4944,37,0.5888
52,52,Fresno State,13-15,0.5515,0.5687 (41),18,3-6,0.5741,102,0.5297
53,53,Oklahoma,19-10,0.5503,0.5580 (56),168,10-1,0.4963,50,0.5765
54,54,Arizona,20-9,0.5503,0.5568 (58),11,8-1,0.5870,41,0.5852
55,55,San Diego State,12-16,0.5503,0.5611 (49),100,7-6,0.5247,117,0.5198
56,56,Fordham,6-22,0.5500,0.5653 (45),30,3-8,0.5615,211,0.4661
57,57,UCLA,11-17,0.5497,0.5569 (57),40,4-5,0.5535,133,0.5105
58,58,Charlotte,21-8,0.5495,0.5536 (62),102,8-3,0.5245,34,0.5932
59,59,St. Bonaventure,7-21,0.5492,0.5600 (52),34,4-7,0.5571,198,0.4744
60,60,Michigan,18-11,0.5490,0.5589 (55),103,9-2,0.5243,55,0.5669
61,61,California,13-15,0.5471,0.5557 (59),37,4-5,0.5551,109,0.5264
62,62,Illinois,24-6,0.5470,0.5503 (64),114,9-2,0.5163,23,0.6103
63,63,Southern California,13-15,0.5456,0.5542 (61),60,5-4,0.5436,112,0.5253
64,64,Colorado,17-10,0.5455,0.5434 (72),226,7-3,0.4716,57,0.5665
65,65,Memphis,21-7,0.5449,0.5430 (73),88,9-2,0.5289,32,0.5962
66,66,South Carolina,23-10,0.5440,0.5379 (79),299,13-1,0.4289,45,0.5822
67,67,Northwestern,14-15,0.5440,0.5481 (66),95,5-6,0.5272,105,0.5287
68,68,Utah,23-8,0.5428,0.5481 (65),115,11-3,0.5152,36,0.5925
69,69,Washington,19-11,0.5417,0.5466 (69),151,5-4,0.5012,60,0.5646
70,70,Oregon,15-12,0.5412,0.5418 (76),125,5-2,0.5122,89,0.5448
71,71,Southern Mississippi,12-15,0.5404,0.5509 (63),112,6-4,0.5195,123,0.5164
72,72,Nevada-Las Vegas,17-12,0.5401,0.5454 (71),126,8-4,0.5117,80,0.5516
73,73,Iowa,16-12,0.5388,0.5412 (77),133,7-4,0.5096,86,0.5469
74,74,Colorado State,12-16,0.5380,0.5480 (67),178,7-5,0.4912,132,0.5107
