,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Louisville 4,Amer,31-6,+30.41,118.9,88.5,67.2,-.045,+4.31,107.0,102.7,-4.65
1,2,Arizona 1,P12,33-5,+30.11,116.5,86.4,62.8,+.014,+9.30,109.9,100.6,+1.62
2,3,Florida 1,SEC,36-3,+28.57,116.5,88.0,61.3,+.053,+9.02,109.4,100.4,+2.39
3,4,Virginia 1,ACC,30-7,+26.46,114.8,88.3,59.5,+.012,+8.67,109.4,100.8,+1.57
4,5,Wisconsin 2,B10,30-8,+25.89,122.0,96.1,62.4,+.019,+11.44,110.2,98.8,+3.33
5,6,Wichita St. 1,MVC,35-1,+25.36,117.8,92.4,63.5,-.009,+1.04,105.8,104.8,+2.89
6,7,Kansas 2,B12,25-10,+24.60,119.3,94.7,66.6,-.051,+12.13,112.2,100.0,+9.47
7,8,Duke 3,ACC,26-9,+24.25,124.7,100.4,64.6,-.035,+8.76,109.2,100.5,+2.40
8,9,Michigan St. 4,B10,29-9,+23.92,118.6,94.7,64.4,-.003,+10.44,110.2,99.7,+0.57
9,10,Tennessee 11,SEC,24-13,+23.69,117.9,94.2,61.6,-.099,+8.12,108.9,100.8,+1.46
10,11,Villanova 2,BE,29-5,+23.68,116.3,92.6,66.0,+.075,+7.47,110.1,102.6,+2.61
11,12,Michigan 2,B10,28-9,+23.44,123.9,100.5,61.0,+.047,+11.65,110.3,98.6,+0.62
12,13,Kentucky 8,SEC,29-11,+22.55,118.3,95.8,64.0,-.025,+10.73,110.5,99.8,+4.19
13,14,UCLA 4,P12,28-9,+22.53,118.7,96.1,68.4,-.019,+7.63,109.1,101.5,-3.26
14,15,Connecticut 7,Amer,32-8,+22.13,113.6,91.5,63.2,+.080,+9.43,109.7,100.3,+0.91
15,16,Pittsburgh 9,ACC,26-10,+21.89,116.9,95.0,62.2,-.038,+7.62,108.0,100.4,-3.66
16,17,Creighton 3,BE,27-8,+21.72,124.2,102.5,63.6,+.024,+7.50,108.5,101.0,+1.31
