,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
64,64,Kansas State,13-17,0.5447,0.5451 (67),222,9-4,0.4718,130,0.5169
65,65,St. John's,16-13,0.5435,0.5416 (73),85,8-3,0.5300,78,0.5455
66,66,Minnesota,16-12,0.5434,0.5463 (66),129,8-3,0.5140,71,0.5504
67,67,Colorado State,17-13,0.5424,0.5467 (65),213,9-4,0.4754,75,0.5484
68,68,California,21-8,0.5415,0.5398 (76),100,7-2,0.5244,33,0.5872
69,69,Washington,10-17,0.5407,0.5418 (72),167,5-4,0.5005,161,0.4981
70,70,West Virginia,14-15,0.5396,0.5387 (79),223,9-3,0.4715,110,0.5254
71,71,Xavier,25-5,0.5389,0.5418 (71),28,9-3,0.5720,20,0.6125
72,72,Georgetown,15-14,0.5375,0.5380 (80),266,8-3,0.4469,100,0.5325
73,73,San Diego State,14-13,0.5375,0.5400 (75),208,8-4,0.4788,99,0.5327
74,74,Richmond,15-13,0.5366,0.5447 (68),59,6-5,0.5479,93,0.5364
75,75,Ball State,13-17,0.5359,0.5495 (63),12,5-6,0.5912,137,0.5103
76,76,Iowa State,15-13,0.5358,0.5320 (83),302,9-1,0.4256,94,0.5357
77,77,Memphis,23-6,0.5354,0.5344 (82),52,9-2,0.5522,26,0.5998
78,78,East Carolina,10-15,0.5350,0.5350 (81),286,7-2,0.4397,156,0.5013
79,79,North Texas,5-21,0.5332,0.5497 (61),32,3-7,0.5680,256,0.4479
80,80,Texas Christian,9-19,0.5329,0.5405 (74),125,6-6,0.5160,197,0.4801
81,81,Baylor,14-14,0.5327,0.5273 (92),319,9-2,0.4041,112,0.5245
82,82,Fordham,2-26,0.5320,0.5423 (70),58,1-10,0.5490,289,0.4168
83,83,Wyoming,19-10,0.5295,0.5286 (88),203,11-3,0.4804,63,0.5609
84,84,Evansville,12-16,0.5287,0.5391 (78),7,4-5,0.6031,152,0.5037
85,85,Washington State,7-20,0.5285,0.5262 (96),244,5-4,0.4596,232,0.4612
86,86,Saint Joseph's,23-6,0.5282,0.5301 (85),36,10-1,0.5648,27,0.5944
87,87,Illinois State,8-21,0.5269,0.5394 (77),13,2-7,0.5909,222,0.4641
88,88,Oregon,23-9,0.5263,0.5187 (112),195,10-1,0.4844,50,0.5744
89,89,Miami (OH),12-15,0.5263,0.5312 (84),4,1-7,0.6093,148,0.5058
90,90,Clemson,15-13,0.5261,0.5200 (108),298,10-1,0.4282,107,0.5285
91,91,South Florida,14-14,0.5258,0.5217 (106),110,6-4,0.5218,127,0.5194
92,92,Gonzaga,23-8,0.5255,0.5275 (89),68,10-5,0.5438,43,0.5796
93,93,Houston,8-20,0.5251,0.5259 (98),131,2-9,0.5136,219,0.4653
94,94,Southern Mississippi,13-16,0.5250,0.5267 (95),87,7-4,0.5292,149,0.5058
95,95,Air Force,12-16,0.5235,0.5262 (97),265,9-4,0.4486,158,0.4998
96,96,George Washington,12-17,0.5232,0.5273 (93),151,6-5,0.5041,164,0.4959
97,97,San Diego,17-11,0.5218,0.5256 (99),115,5-7,0.5204,82,0.5432
98,98,Nevada,17-13,0.5215,0.5295 (86),53,4-5,0.5520,98,0.5328
99,99,Ohio,14-16,0.5213,0.5271 (94),31,4-5,0.5704,141,0.5076
100,100,Northwestern,12-17,0.5199,0.5133 (119),313,8-3,0.4134,169,0.4933
101,101,Oregon State,12-15,0.5190,0.5117 (122),312,6-2,0.4139,157,0.5003
102,102,Bowling Green,11-16,0.5189,0.5246 (101),108,2-5,0.5225,171,0.4911
103,103,Alabama-Birmingham,18-12,0.5188,0.5155 (115),234,7-3,0.4659,90,0.5391
104,104,Iowa,15-13,0.5187,0.5070 (131),256,8-3,0.4520,118,0.5230
105,105,South Alabama,12-14,0.5184,0.5273 (91),65,5-5,0.5451,151,0.5042
106,106,St. Mary's,14-15,0.5184,0.5275 (90),95,6-6,0.5265,139,0.5095
107,107,Louisiana Tech,10-15,0.5176,0.5194 (110),66,1-5,0.5448,177,0.4882
108,108,Indiana State,7-24,0.5176,0.5246 (102),60,4-7,0.5479,260,0.4447
109,109,San Francisco,14-14,0.5175,0.5245 (103),94,4-8,0.5267,134,0.5131
110,110,St. Bonaventure,13-14,0.5170,0.5095 (128),79,6-7,0.5356,140,0.5081
111,111,Hawai'i,18-11,0.5164,0.5250 (100),70,8-1,0.5421,84,0.5424
112,112,Southern Illinois,24-6,0.5157,0.5174 (113),63,6-3,0.5458,34,0.5867
113,113,La Salle,12-17,0.5156,0.5114 (123),162,6-5,0.5014,172,0.4902
114,114,Bradley,11-18,0.5155,0.5220 (105),67,3-7,0.5441,192,0.4814
115,115,Creighton,29-4,0.5153,0.5172 (114),47,11-1,0.5540,23,0.6062
116,116,UW Milwaukee,23-7,0.5152,0.5237 (104),170,8-4,0.4992,45,0.5780
117,117,Rhode Island,18-11,0.5147,0.5132 (120),92,8-3,0.5273,85,0.5412
118,118,Northern Illinois,17-14,0.5146,0.5197 (109),98,4-6,0.5250,117,0.5231
119,119,Drexel,18-11,0.5142,0.5293 (87),48,4-4,0.5538,87,0.5408
120,120,Miami (FL),11-17,0.5142,0.4999 (149),263,7-4,0.4491,188,0.4838
121,121,Fairfield,19-11,0.5126,0.5203 (107),112,4-5,0.5210,83,0.5428
122,122,Virginia Tech,11-18,0.5124,0.5031 (142),262,7-6,0.4492,200,0.4792
123,123,Tulane,15-15,0.5102,0.5039 (138),206,6-6,0.4795,142,0.5076
124,124,Tulsa,22-9,0.5098,0.5122 (121),74,7-3,0.5386,64,0.5598
125,125,Toledo,13-16,0.5095,0.5094 (129),165,6-4,0.5012,167,0.4942
126,126,Middle Tennessee State,14-14,0.5085,0.5141 (116),166,3-8,0.5008,145,0.5063
127,127,Massachusetts,10-18,0.5084,0.5006 (146),143,5-7,0.5069,209,0.4706
128,128,Central Michigan,23-6,0.5079,0.5064 (134),177,6-2,0.4936,44,0.5792
129,129,George Mason,16-12,0.5077,0.5141 (117),43,5-4,0.5574,116,0.5236
130,130,Duquesne,9-21,0.5077,0.5065 (133),226,6-7,0.4687,243,0.4558
131,131,Louisiana-Lafayette,19-9,0.5074,0.5101 (126),114,7-5,0.5204,72,0.5502
132,132,UW Green Bay,9-19,0.5071,0.5134 (118),93,5-6,0.5268,234,0.4607
133,133,Butler,24-5,0.5062,0.5048 (136),175,9-2,0.4937,35,0.5865
134,134,Southern Methodist,17-13,0.5060,0.5043 (137),127,5-5,0.5151,123,0.5212
135,135,Western Kentucky,23-8,0.5059,0.5080 (130),107,8-6,0.5231,58,0.5649
136,136,Hofstra,8-21,0.5057,0.5188 (111),120,1-8,0.5184,255,0.4483
137,137,Loyola-Chicago,15-16,0.5041,0.5034 (141),155,5-8,0.5036,159,0.4991
138,138,Eastern Washington,17-12,0.5035,0.5099 (127),97,7-6,0.5252,113,0.5242
139,139,Detroit,17-12,0.5030,0.5053 (135),178,6-4,0.4933,115,0.5238
140,140,Western Michigan,19-10,0.5028,0.5019 (144),140,8-1,0.5099,86,0.5409
141,141,Marist,13-16,0.5025,0.5105 (125),130,4-5,0.5137,176,0.4890
142,142,Missouri State,17-12,0.5014,0.4963 (159),174,4-5,0.4946,119,0.5226
143,143,Pepperdine,15-13,0.5013,0.4991 (152),159,8-5,0.5023,138,0.5099
144,144,Wright State,9-18,0.5007,0.5023 (143),194,5-5,0.4844,237,0.4589
145,145,Rice,17-10,0.5006,0.4973 (155),168,6-2,0.5002,97,0.5328
146,146,Kent State,20-9,0.5004,0.4971 (158),99,6-2,0.5244,77,0.5477
147,147,St. Peter's,10-19,0.5003,0.5070 (132),164,3-6,0.5012,231,0.4615
148,148,Boise State,12-16,0.4992,0.5010 (145),176,5-4,0.4937,191,0.4815
149,149,Niagara,17-12,0.4987,0.5037 (139),214,4-5,0.4751,124,0.5206
150,150,Delaware,15-14,0.4986,0.5034 (140),158,5-4,0.5027,154,0.5033
151,151,Fresno State,20-8,0.4981,0.4960 (160),154,7-3,0.5037,69,0.5522
152,152,UNC Wilmington,24-6,0.4978,0.5004 (147),106,6-3,0.5234,51,0.5733
153,153,Tennessee Tech,17-12,0.4976,0.4999 (148),76,4-6,0.5366,126,0.5197
154,154,UNC Asheville,13-16,0.4964,0.5111 (124),21,3-9,0.5782,186,0.4844
155,155,Drake,8-20,0.4963,0.4918 (169),134,3-6,0.5117,262,0.4437
156,156,Cleveland State,8-22,0.4962,0.4947 (162),199,5-8,0.4821,268,0.4388
157,157,Murray State,15-12,0.4961,0.4973 (156),42,5-4,0.5578,135,0.5109
158,158,Yale,13-13,0.4949,0.4985 (154),57,5-7,0.5493,163,0.4962
159,159,Loyola-Marymount,11-19,0.4944,0.4935 (164),191,6-8,0.4874,229,0.4625
160,160,UC Santa Barbara,18-13,0.4939,0.4998 (150),62,3-8,0.5462,133,0.5156
161,161,Manhattan,23-6,0.4937,0.4892 (174),218,7-2,0.4732,55,0.5685
162,162,Portland State,4-21,0.4925,0.4924 (166),173,1-10,0.4958,296,0.4094
163,163,Idaho State,13-14,0.4925,0.4971 (157),138,5-6,0.5104,175,0.4898
164,164,Old Dominion,12-15,0.4922,0.4921 (167),181,3-5,0.4916,195,0.4803
165,165,UIC,21-8,0.4921,0.4847 (183),211,8-3,0.4758,74,0.5501
166,166,Eastern Illinois,13-15,0.4920,0.4911 (171),72,4-7,0.5404,185,0.4851
167,167,Gardner-Webb,4-24,0.4912,0.4990 (153),82,2-10,0.5340,299,0.4042
168,168,,13-14,0.4902,0.4898 (173),182,6-5,0.4915,179,0.4880
169,169,Valparaiso,20-10,0.4895,0.4864 (178),19,6-7,0.5815,96,0.5338
170,170,Harvard,11-15,0.4890,0.4991 (151),64,7-5,0.5458,207,0.4725
171,171,Montana State,9-16,0.4888,0.4930 (165),156,4-7,0.5031,240,0.4566
172,172,McNeese State,13-14,0.4886,0.4949 (161),2,2-3,0.6237,181,0.4868
173,173,Akron,13-14,0.4883,0.4855 (180),233,4-4,0.4660,182,0.4866
174,174,Wichita State,18-11,0.4882,0.4794 (201),248,5-4,0.4561,122,0.5213
175,175,Florida International,7-21,0.4880,0.4854 (181),251,5-7,0.4547,272,0.4285
176,176,Pacific,12-16,0.4875,0.4910 (172),56,5-4,0.5499,206,0.4728
177,177,Canisius,10-18,0.4868,0.4842 (185),216,4-5,0.4736,247,0.4544
178,178,Weber State,25-4,0.4867,0.4833 (188),146,9-4,0.5050,41,0.5805
179,179,Austin Peay,20-7,0.4866,0.4827 (194),71,4-4,0.5419,73,0.5501
180,180,Furman,11-17,0.4864,0.4891 (176),104,3-8,0.5238,225,0.4630
181,181,Marshall,13-15,0.4856,0.4775 (205),280,3-5,0.4424,196,0.4802
182,182,Portland,10-17,0.4853,0.4748 (212),232,6-6,0.4667,241,0.4566
183,183,Belmont,16-12,0.4853,0.4862 (179),61,4-7,0.5475,143,0.5068
184,184,Samford,12-15,0.4849,0.4916 (170),117,3-7,0.5193,204,0.4748
185,185,UNC Greensboro,6-22,0.4847,0.4851 (182),83,3-8,0.5315,287,0.4171
186,186,Montana,12-16,0.4844,0.4801 (198),171,5-8,0.4984,210,0.4705
187,187,Northern Iowa,10-17,0.4839,0.4693 (225),209,3-5,0.4780,245,0.4555
188,188,College of Charleston,22-7,0.4838,0.4829 (192),128,8-3,0.5143,67,0.5525
189,189,East Tennessee State,17-10,0.4834,0.4810 (195),139,3-5,0.5102,125,0.5200
190,190,Arkansas-Little Rock,16-12,0.4834,0.4769 (206),219,7-5,0.4722,150,0.5054
191,191,UC Riverside,5-18,0.4834,0.4830 (191),69,0-5,0.5431,288,0.4169
192,192,Texas-San Antonio,9-17,0.4826,0.4838 (186),9,2-4,0.5974,254,0.4485
193,193,Princeton,15-11,0.4826,0.4807 (196),111,5-7,0.5215,147,0.5062
194,194,Siena,19-10,0.4825,0.4736 (215),255,6-3,0.4522,109,0.5257
195,195,Hartford,15-13,0.4823,0.4918 (168),133,4-6,0.5125,165,0.4957
196,196,Wagner,21-10,0.4823,0.4946 (163),84,4-6,0.5302,103,0.5310
197,197,Utah State,22-8,0.4822,0.4830 (189),81,7-2,0.5351,79,0.5450
198,198,Rider,12-16,0.4821,0.4768 (207),224,5-4,0.4709,213,0.4687
199,199,Virginia Commonwealth,18-10,0.4818,0.4764 (210),217,5-3,0.4734,120,0.5220
200,200,American,16-14,0.4818,0.4892 (175),148,5-8,0.5047,166,0.4947
201,201,San Jose State,5-21,0.4815,0.4728 (216),272,1-6,0.4450,297,0.4092
202,202,Wofford,10-15,0.4814,0.4739 (214),132,1-6,0.5135,233,0.4610
203,203,Southeast Louisiana,9-16,0.4813,0.4829 (193),10,0-5,0.5964,252,0.4509
204,204,UC Irvine,19-9,0.4812,0.4796 (200),118,5-3,0.5191,104,0.5306
205,205,The Citadel,4-20,0.4812,0.4845 (184),210,1-6,0.4776,300,0.4025
206,206,Pennsylvania,22-5,0.4805,0.4715 (217),105,8-5,0.5237,59,0.5640
207,207,Texas-Arlington,14-13,0.4804,0.4835 (187),22,1-5,0.5769,174,0.4899
208,208,Santa Clara,12-15,0.4799,0.4684 (232),254,8-4,0.4522,208,0.4711
209,209,Eastern Michigan,12-14,0.4791,0.4695 (224),305,4-3,0.4230,205,0.4747
210,210,Youngstown State,7-20,0.4785,0.4701 (222),318,2-7,0.4047,280,0.4237
211,211,Chattanooga,19-9,0.4783,0.4767 (208),137,6-3,0.5108,108,0.5284
212,212,Maine,12-16,0.4781,0.4882 (177),141,4-7,0.5075,216,0.4657
213,213,Tennessee-Martin,10-14,0.4779,0.4744 (213),119,3-4,0.5189,228,0.4626
214,214,Florida Atlantic,6-21,0.4779,0.4804 (197),235,3-8,0.4650,293,0.4140
215,215,Arkansas State,11-15,0.4774,0.4698 (223),274,5-6,0.4440,224,0.4638
216,216,Texas-El Paso,5-24,0.4771,0.4671 (234),311,1-8,0.4152,301,0.4009
217,217,Denver,17-15,0.4765,0.4641 (241),279,8-6,0.4426,173,0.4902
218,218,Loyola-Maryland,4-24,0.4764,0.4767 (208),304,3-6,0.4235,307,0.3930
219,219,Coppin State,11-17,0.4763,0.4830 (190),20,0-9,0.5793,246,0.4554
220,220,James Madison,12-17,0.4762,0.4713 (219),238,3-6,0.4645,235,0.4606
221,221,Central Florida,20-11,0.4762,0.4790 (202),294,7-5,0.4331,128,0.5185
222,222,Missouri-Kansas City,9-20,0.4761,0.4782 (204),185,1-12,0.4902,270,0.4347
223,223,Iona,17-12,0.4758,0.4674 (233),249,5-4,0.4551,153,0.5034
224,224,Davidson,14-10,0.4755,0.4654 (236),44,3-4,0.5573,155,0.5025
225,225,Cal Poly,15-14,0.4744,0.4703 (221),198,3-5,0.4822,184,0.4851
226,226,Southeast Missouri State,9-19,0.4741,0.4692 (226),186,4-7,0.4897,269,0.4359
227,227,Elon,10-15,0.4740,0.4784 (203),96,2-8,0.5263,244,0.4555
228,228,Stephen F. Austin,19-8,0.4737,0.4799 (199),103,2-3,0.5238,102,0.5312
229,229,Jacksonville,12-16,0.4735,0.4758 (211),270,4-7,0.4451,230,0.4623
230,230,Boston University,20-10,0.4731,0.4686 (229),149,5-6,0.5045,121,0.5215
231,231,Brown,17-11,0.4726,0.4686 (228),183,5-9,0.4909,146,0.5062
232,232,New Mexico State,19-9,0.4723,0.4590 (248),303,9-2,0.4236,114,0.5239
233,233,Buffalo,5-23,0.4719,0.4567 (254),310,3-6,0.4157,303,0.3985
234,234,Western Carolina,6-18,0.4717,0.4685 (231),192,0-7,0.4859,290,0.4163
235,235,Eastern Kentucky,7-17,0.4709,0.4709 (220),225,2-5,0.4696,275,0.4261
236,236,Morehead State,17-9,0.4705,0.4610 (245),180,3-5,0.4925,131,0.5163
237,237,Sacramento State,11-17,0.4699,0.4637 (242),272,5-7,0.4450,253,0.4506
238,238,Va. Military Inst.,8-19,0.4695,0.4690 (227),212,3-5,0.4756,274,0.4262
239,239,Navy,7-19,0.4692,0.4713 (218),204,3-8,0.4801,286,0.4192
240,240,Stetson,6-20,0.4678,0.4685 (230),291,2-8,0.4354,298,0.4085
241,241,Long Beach State,4-22,0.4675,0.4580 (251),236,0-8,0.4647,308,0.3891
242,242,IU-Purdue Indianapolis,19-13,0.4664,0.4598 (247),152,6-9,0.5040,160,0.4982
243,243,Albany,7-21,0.4663,0.4664 (235),228,4-7,0.4683,294,0.4122
244,244,Georgia State,13-15,0.4658,0.4580 (252),240,4-6,0.4609,218,0.4654
245,245,CS Northridge,13-15,0.4652,0.4568 (253),229,5-4,0.4682,220,0.4650
246,246,Chicago State,3-27,0.4649,0.4618 (244),201,3-12,0.4811,314,0.3737
247,247,Charleston Southern,12-14,0.4649,0.4654 (237),124,4-7,0.5174,223,0.4641
248,248,Western Illinois,5-21,0.4647,0.4642 (240),187,2-9,0.4895,305,0.3966
249,249,Dartmouth,7-19,0.4643,0.4645 (239),221,3-9,0.4719,291,0.4156
250,250,Sacred Heart,7-21,0.4630,0.4650 (238),247,1-9,0.4571,295,0.4098
251,251,Holy Cross,25-4,0.4630,0.4556 (257),169,9-3,0.4998,61,0.5628
252,252,Monmouth,15-13,0.4629,0.4603 (246),188,2-7,0.4887,193,0.4811
253,253,CS Fullerton,10-19,0.4629,0.4561 (256),278,2-8,0.4431,271,0.4334
254,254,Long Island,9-19,0.4622,0.4629 (243),220,2-7,0.4720,273,0.4270
255,255,Troy,25-5,0.4620,0.4548 (258),285,8-3,0.4399,66,0.5548
256,256,Nicholls State,2-25,0.4602,0.4566 (255),197,1-6,0.4832,318,0.3636
257,257,Arkansas-Pine Bluff,4-24,0.4594,0.4583 (250),50,0-10,0.5526,312,0.3803
258,258,Bucknell,13-15,0.4591,0.4519 (265),284,5-7,0.4403,236,0.4604
259,259,Sam Houston State,21-6,0.4582,0.4476 (274),282,2-3,0.4420,91,0.5381
260,260,Northern Arizona,13-13,0.4579,0.4414 (286),269,7-4,0.4456,214,0.4684
261,261,Lafayette,11-16,0.4577,0.4520 (264),250,4-7,0.4548,259,0.4452
262,262,Indiana-Purdue Ft. Wayne,9-20,0.4576,0.4429 (282),246,9-20,0.4576,283,0.4208
263,263,Appalachian State,16-10,0.4576,0.4382 (293),196,4-4,0.4833,162,0.4970
264,264,Georgia Southern,13-13,0.4571,0.4456 (277),288,4-4,0.4371,215,0.4678
265,265,Vermont,19-10,0.4571,0.4475 (275),260,5-5,0.4498,144,0.5066
266,266,New Hampshire,5-23,0.4570,0.4537 (260),295,2-9,0.4330,309,0.3874
267,267,Northwestern State,6-21,0.4568,0.4494 (270),241,0-7,0.4606,304,0.3982
268,268,Northeastern,14-15,0.4564,0.4433 (281),267,5-6,0.4462,226,0.4630
269,269,North Carolina A&T,1-25,0.4558,0.4584 (249),35,0-7,0.5663,323,0.3515
270,270,St. Francis (NY),14-16,0.4557,0.4542 (259),268,3-6,0.4458,238,0.4585
271,271,Coastal Carolina,11-15,0.4557,0.4534 (262),172,6-5,0.4973,257,0.4476
272,272,Tennessee State,1-24,0.4557,0.4473 (276),296,1-8,0.4321,322,0.3517
273,273,Army,3-22,0.4550,0.4533 (263),306,3-7,0.4199,316,0.3713
274,274,Texas State,15-12,0.4549,0.4445 (278),237,3-2,0.4646,198,0.4800
275,275,Lamar,12-14,0.4548,0.4498 (268),215,2-4,0.4747,242,0.4565
276,276,Idaho,12-15,0.4547,0.4410 (287),292,3-5,0.4344,251,0.4521
277,277,Binghamton,14-13,0.4534,0.4438 (280),261,5-6,0.4493,212,0.4697
278,278,Quinnipiac,16-12,0.4532,0.4482 (272),230,5-3,0.4681,190,0.4827
279,279,Delaware State,15-12,0.4531,0.4519 (267),15,2-6,0.5874,201,0.4787
280,280,St. Francis (PA),14-14,0.4525,0.4487 (271),231,4-5,0.4681,221,0.4644
281,281,Louisiana-Monroe,11-16,0.4522,0.4414 (285),276,1-5,0.4433,266,0.4410
282,282,Southern Utah,9-17,0.4516,0.4394 (291),245,3-7,0.4592,276,0.4252
283,283,Texas A&M-Corpus Christi,11-15,0.4505,0.4441 (279),257,11-15,0.4505,263,0.4436
284,284,Alabama State,13-15,0.4502,0.4536 (261),49,2-7,0.5529,248,0.4537
285,285,Cornell,8-18,0.4499,0.4381 (294),275,4-8,0.4437,292,0.4143
286,286,Alcorn State,14-19,0.4496,0.4496 (269),153,2-10,0.5039,264,0.4433
287,287,Colgate,12-14,0.4493,0.4404 (288),283,3-8,0.4404,250,0.4524
288,288,Towson,4-24,0.4489,0.4347 (299),326,3-6,0.3727,315,0.3724
289,289,Howard,13-17,0.4482,0.4519 (266),121,2-7,0.5182,261,0.4445
290,290,Radford,10-20,0.4482,0.4398 (290),258,2-11,0.4502,285,0.4195
291,291,Central Connecticut State,15-13,0.4480,0.4398 (289),242,3-6,0.4606,211,0.4699
292,292,Grambling State,10-18,0.4479,0.4427 (283),88,1-8,0.5292,277,0.4252
293,293,Oakland,15-11,0.4475,0.4369 (296),207,5-6,0.4791,199,0.4799
294,294,Jackson State,10-18,0.4474,0.4421 (284),101,1-8,0.5243,278,0.4248
295,295,William & Mary,12-16,0.4468,0.4285 (303),323,5-4,0.3847,265,0.4423
296,296,Florida A&M,17-12,0.4459,0.4477 (273),126,5-4,0.5155,194,0.4810
297,297,Maryland-Baltimore County,7-20,0.4452,0.4377 (295),259,2-7,0.4499,302,0.3987
298,298,Oral Roberts,17-10,0.4452,0.4320 (301),193,8-4,0.4853,170,0.4913
299,299,Mercer,22-6,0.4450,0.4350 (298),322,7-3,0.3874,105,0.5301
300,300,Stony Brook,11-15,0.4444,0.4281 (305),309,4-5,0.4173,267,0.4391
301,301,Robert Morris,9-17,0.4444,0.4385 (292),289,2-6,0.4363,284,0.4198
302,302,Columbia,2-25,0.4419,0.4282 (304),308,2-11,0.4182,325,0.3499
303,303,Prairie View A&M,17-12,0.4413,0.4323 (300),75,2-7,0.5370,203,0.4775
304,304,High Point,7-20,0.4389,0.4263 (307),293,4-8,0.4340,306,0.3940
305,305,Mississippi Valley State,14-13,0.4383,0.4364 (297),102,0-7,0.5242,239,0.4583
