,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
0,Rank,School,W-L,SOS,Opp Win Pct,Rank,W-L,SOS,Rank,RPI
1,1,Georgia,19-8,0.6123,0.6379 (1),1,8-3,0.6270,5,0.6352
2,2,Arkansas,9-19,0.5979,0.6271 (2),16,5-6,0.5863,106,0.5288
3,3,Oklahoma,24-6,0.5961,0.6169 (3),38,9-2,0.5630,3,0.6471
4,4,Texas,22-6,0.5960,0.6149 (4),25,9-2,0.5741,4,0.6434
5,5,Missouri,21-10,0.5925,0.6127 (5),30,9-2,0.5704,17,0.6137
6,6,Kansas,23-7,0.5913,0.6093 (8),17,8-4,0.5823,6,0.6351
7,7,Notre Dame,22-9,0.5889,0.6121 (6),18,12-2,0.5818,14,0.6191
8,8,Vanderbilt,11-18,0.5887,0.6071 (9),89,7-4,0.5283,92,0.5364
9,9,Cincinnati,17-11,0.5870,0.6103 (7),6,8-3,0.6040,29,0.5920
10,10,North Carolina,17-15,0.5853,0.6037 (10),46,10-4,0.5560,52,0.5718
11,11,Oklahoma State,20-9,0.5818,0.5946 (13),77,10-2,0.5360,22,0.6088
12,12,Michigan State,19-12,0.5805,0.5959 (12),37,8-5,0.5642,31,0.5886
13,13,Seton Hall,17-12,0.5783,0.5967 (11),55,6-5,0.5508,42,0.5803
14,14,Arizona State,18-11,0.5775,0.5941 (14),5,7-3,0.6087,32,0.5883
15,15,Kentucky,29-3,0.5774,0.5824 (25),78,10-3,0.5356,1,0.6596
16,16,South Carolina,12-16,0.5773,0.5899 (17),90,7-4,0.5276,89,0.5401
17,17,Ohio State,17-14,0.5755,0.5935 (15),41,7-4,0.5578,54,0.5687
18,18,Mississippi State,21-9,0.5743,0.5867 (20),91,10-1,0.5273,24,0.6057
19,19,Purdue,18-10,0.5739,0.5862 (21),14,8-3,0.5905,30,0.5911
20,20,Alabama,17-11,0.5735,0.5781 (31),33,10-1,0.5665,38,0.5819
21,21,Providence,16-13,0.5710,0.5905 (16),26,7-4,0.5739,56,0.5662
22,22,Texas A&M,14-14,0.5699,0.5883 (19),144,8-3,0.5067,68,0.5525
23,23,Saint Louis,16-13,0.5698,0.5859 (22),45,6-5,0.5565,57,0.5653
24,24,Brigham Young,23-8,0.5696,0.5883 (18),29,11-4,0.5718,19,0.6127
25,25,Texas Tech,18-12,0.5695,0.5759 (34),202,10-1,0.4810,48,0.5771
26,26,Louisville,24-6,0.5693,0.5784 (29),27,10-1,0.5731,11,0.6270
27,27,Auburn,19-11,0.5693,0.5820 (26),113,10-2,0.5210,36,0.5853
28,28,Stanford,23-8,0.5691,0.5832 (24),8,9-3,0.5992,21,0.6123
29,29,Villanova,15-15,0.5676,0.5838 (23),11,7-6,0.5917,70,0.5507
30,30,Arizona,25-3,0.5675,0.5784 (30),3,8-1,0.6193,2,0.6489
31,31,UCLA,10-19,0.5662,0.5780 (32),86,3-6,0.5299,136,0.5109
32,32,Duke,24-6,0.5661,0.5722 (42),109,10-1,0.5220,12,0.6246
33,33,Florida,24-7,0.5658,0.5726 (41),116,12-2,0.5194,15,0.6179
34,34,Virginia,14-15,0.5651,0.5742 (37),147,8-4,0.5047,80,0.5445
35,35,Georgia Tech,14-14,0.5643,0.5732 (40),142,7-4,0.5070,76,0.5483
36,36,Wake Forest,24-5,0.5638,0.5735 (38),123,10-1,0.5180,7,0.6298
37,37,Florida State,14-15,0.5636,0.5806 (28),163,9-2,0.5013,81,0.5434
38,38,Utah,23-7,0.5633,0.5809 (27),54,11-3,0.5509,16,0.6141
39,39,Marquette,23-5,0.5631,0.5733 (39),40,9-2,0.5581,10,0.6277
40,40,Syracuse,24-5,0.5629,0.5749 (35),157,10-1,0.5029,9,0.6291
41,41,Charlotte,13-16,0.5626,0.5749 (36),73,5-7,0.5399,95,0.5340
42,42,Nebraska,11-18,0.5617,0.5708 (43),160,8-4,0.5021,132,0.5161
43,43,Indiana,20-12,0.5617,0.5640 (47),34,10-3,0.5664,47,0.5775
44,44,Boston College,18-11,0.5615,0.5772 (33),51,7-4,0.5526,49,0.5763
45,45,North Carolina State,18-12,0.5590,0.5663 (44),239,7-4,0.4609,53,0.5693
46,46,DePaul,16-12,0.5580,0.5626 (49),39,8-3,0.5586,62,0.5614
47,47,Connecticut,21-9,0.5574,0.5638 (48),136,9-2,0.5112,28,0.5930
48,48,Southern California,13-17,0.5556,0.5662 (45),145,5-4,0.5055,111,0.5250
49,49,Colorado,20-11,0.5554,0.5581 (54),161,10-3,0.5021,46,0.5778
50,50,Michigan,17-13,0.5554,0.5612 (51),122,7-6,0.5181,65,0.5582
51,51,Penn State,7-21,0.5543,0.5653 (46),135,5-6,0.5113,202,0.4783
52,52,Maryland,19-9,0.5542,0.5569 (55),190,8-3,0.4875,37,0.5853
53,53,Temple,15-15,0.5538,0.5610 (52),24,3-8,0.5756,88,0.5403
54,54,Dayton,24-5,0.5525,0.5614 (50),23,8-3,0.5760,13,0.6212
55,55,Illinois,24-6,0.5515,0.5545 (56),179,10-1,0.4927,18,0.6136
56,56,Pittsburgh,26-4,0.5506,0.5537 (58),227,10-1,0.4687,8,0.6296
57,57,Louisiana State,21-10,0.5498,0.5495 (62),189,11-1,0.4880,39,0.5817
58,58,Tennessee,17-11,0.5493,0.5427 (69),253,8-3,0.4523,60,0.5637
59,59,Wisconsin,22-7,0.5490,0.5544 (57),80,10-2,0.5353,25,0.6014
60,60,Mississippi,14-15,0.5487,0.5483 (64),205,9-2,0.4798,101,0.5322
61,61,Nevada-Las Vegas,21-10,0.5484,0.5532 (59),150,11-3,0.5044,40,0.5806
62,62,Rutgers,12-16,0.5468,0.5508 (60),252,8-4,0.4535,129,0.5172
63,63,New Mexico,9-18,0.5467,0.5589 (53),200,5-7,0.4817,168,0.4934
