,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
0,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
1,1,Duke,27-5,0.6068,0.6364 (1),1,13-0,0.6297,1,0.6724
2,2,New Mexico,29-5,0.6032,0.6279 (2),3,13-2,0.5981,2,0.6712
3,3,Michigan State,24-8,0.5966,0.6172 (4),51,10-2,0.5430,9,0.6369
4,4,Minnesota,20-12,0.5958,0.6133 (6),13,12-1,0.5760,34,0.6001
5,5,Miami (Fla.),27-6,0.5956,0.6178 (3),4,9-3,0.5945,4,0.6542
6,6,Louisville,29-5,0.5941,0.6120 (7),25,12-1,0.5591,3,0.6610
7,7,Syracuse,26-9,0.5929,0.6143 (5),106,12-1,0.5234,14,0.6275
8,8,North Carolina,23-10,0.5907,0.6111 (8),70,9-3,0.5359,17,0.6185
9,9,Illinois,21-12,0.5873,0.6050 (9),41,12-1,0.5499,40,0.5939
10,10,Indiana,27-6,0.5859,0.6040 (10),64,12-1,0.5383,8,0.6377
11,11,Ohio State,26-7,0.5857,0.5989 (12),134,10-2,0.5141,10,0.6364
12,12,Wisconsin,23-11,0.5849,0.5992 (11),145,9-4,0.5110,32,0.6036
13,13,Nebraska,15-18,0.5824,0.5989 (13),65,9-4,0.5381,103,0.5378
14,14,Marquette,23-8,0.5815,0.5954 (14),84,9-3,0.5300,13,0.6282
15,15,San Diego State,20-10,0.5798,0.5888 (21),82,10-2,0.5303,30,0.6042
16,16,Georgetown,25-6,0.5795,0.5913 (18),164,10-1,0.5042,11,0.6350
17,17,UNLV,24-9,0.5795,0.5920 (17),74,12-2,0.5347,23,0.6124
18,18,Fresno State,9-19,0.5787,0.5912 (19),122,4-7,0.5173,135,0.5191
19,19,Kansas,29-5,0.5782,0.5911 (20),17,12-1,0.5698,5,0.6477
20,20,UCLA,25-9,0.5771,0.5935 (15),54,10-3,0.5427,26,0.6088
21,21,Florida,26-7,0.5758,0.5935 (16),7,10-2,0.5858,7,0.6399
22,22,Villanova,19-13,0.5743,0.5858 (24),157,8-4,0.5067,52,0.5797
23,23,Oklahoma,20-11,0.5740,0.5882 (22),27,9-3,0.5589,39,0.5946
24,24,Colorado,21-11,0.5739,0.5881 (23),37,10-2,0.5522,38,0.5953
25,25,Arizona,25-7,0.5724,0.5824 (28),26,12-0,0.5589,15,0.6247
26,26,Baylor,17-14,0.5717,0.5858 (25),47,8-4,0.5453,70,0.5584
27,27,Cincinnati,22-11,0.5716,0.5847 (26),168,12-1,0.5036,50,0.5852
28,28,South Florida,12-19,0.5715,0.5843 (27),171,9-3,0.5035,156,0.5101
29,29,Connecticut,20-10,0.5694,0.5766 (32),57,10-2,0.5412,49,0.5872
30,30,Southern California,14-18,0.5684,0.5736 (39),61,5-8,0.5400,119,0.5263
31,31,Penn State,10-21,0.5684,0.5771 (29),152,8-4,0.5080,186,0.4901
32,32,Butler,25-8,0.5658,0.5770 (30),48,12-2,0.5450,22,0.6140
33,33,North Carolina State,24-10,0.5657,0.5750 (35),80,11-2,0.5311,33,0.6023
34,34,St. John's,16-15,0.5650,0.5769 (31),166,8-4,0.5037,96,0.5425
35,35,Colorado State,23-8,0.5644,0.5689 (49),109,11-2,0.5227,18,0.6182
36,36,Florida State,18-15,0.5633,0.5717 (44),136,8-5,0.5133,84,0.5499
37,37,California,20-11,0.5631,0.5732 (41),50,8-4,0.5437,54,0.5775
38,38,Saint Louis,27-6,0.5626,0.5750 (36),112,11-3,0.5214,16,0.6223
39,39,Oklahoma State,24-8,0.5626,0.5703 (46),103,10-2,0.5241,27,0.6085
40,40,Kansas State,26-7,0.5626,0.5722 (43),154,10-2,0.5078,20,0.6177
41,41,Virginia Commonwealth,26-8,0.5621,0.5760 (33),45,12-3,0.5461,24,0.6099
42,42,Stanford,18-14,0.5614,0.5700 (48),85,9-4,0.5300,77,0.5546
43,43,Iowa State,22-11,0.5613,0.5739 (37),137,10-3,0.5129,45,0.5903
