,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Kentucky 1,SEC,38-1,+36.91,121.3,84.4,62.4,+.048,+8.58,108.7,100.1,+3.13
1,2,Wisconsin 1,B10,36-4,+33.72,129.0,95.2,58.7,+.015,+11.03,109.8,98.8,+5.30
2,3,Duke 1,ACC,35-4,+32.48,124.5,92.0,65.8,+.067,+11.17,110.7,99.5,+1.31
3,4,Arizona 2,P12,34-4,+32.36,119.9,87.5,65.8,-.033,+7.37,108.3,100.9,+0.09
4,5,Villanova 1,BE,33-3,+30.65,122.7,92.0,64.2,+.031,+7.67,108.2,100.6,+0.23
5,6,Virginia 2,ACC,30-4,+30.06,115.6,85.5,58.0,+.023,+8.21,108.5,100.3,+0.46
6,7,Gonzaga 2,WCC,35-3,+27.78,121.7,93.9,64.7,+.018,+4.37,107.3,102.9,+3.00
7,8,Utah 5,P12,26-9,+27.24,116.4,89.2,60.5,-.054,+8.19,108.8,100.6,+0.60
8,9,Notre Dame 3,ACC,32-6,+24.96,125.4,100.4,63.4,+.062,+7.59,107.7,100.1,-11.62
9,10,North Carolina 4,ACC,26-12,+23.85,119.1,95.3,69.2,-.026,+12.76,111.1,98.3,+7.64
10,11,Oklahoma 3,B12,24-11,+22.80,112.5,89.7,66.7,-.045,+11.00,110.2,99.2,+1.05
11,12,Kansas 2,B12,27-9,+22.72,114.5,91.8,67.0,+.070,+13.17,110.6,97.4,+9.57
12,13,Wichita St. 7,MVC,30-5,+22.21,115.8,93.6,62.3,+.022,+3.24,105.5,102.3,+3.44
13,14,Baylor 3,B12,24-10,+22.14,116.6,94.5,61.5,-.035,+10.22,108.9,98.7,-0.51
14,15,Michigan St. 7,B10,27-12,+21.72,116.6,94.9,63.1,-.017,+10.49,110.3,99.8,-0.88
15,16,Iowa St. 3,B12,25-9,+21.49,119.0,97.5,69.6,+.005,+10.59,109.0,98.5,-1.18
16,17,Louisville 4,ACC,27-9,+21.21,110.2,88.9,64.6,+.027,+9.69,109.5,99.8,-2.36
17,18,Northern Iowa 5,MVC,31-4,+20.98,116.3,95.3,58.2,+.018,+1.42,104.4,103.0,+0.61
18,19,Ohio St. 10,B10,24-11,+20.75,115.6,94.8,65.2,-.043,+6.76,108.1,101.4,-7.41
19,20,Butler 6,BE,23-11,+20.09,110.2,90.1,63.2,-.023,+9.72,110.6,100.9,+0.69
20,21,Xavier 6,BE,23-14,+19.49,116.6,97.1,65.0,-.062,+10.29,109.5,99.2,+2.07
21,22,Georgetown 4,BE,22-11,+19.13,114.3,95.1,64.0,-.000,+10.23,110.5,100.3,+3.24
22,23,Iowa 7,B10,22-12,+19.02,114.2,95.1,63.7,-.007,+8.58,108.9,100.4,-1.58
23,24,Texas 11,B12,20-14,+18.94,112.4,93.4,62.0,-.079,+9.52,108.3,98.8,-2.47
24,25,West Virginia 5,B12,25-10,+17.64,112.6,94.9,67.9,+.087,+9.56,108.9,99.3,-2.65
25,26,SMU 6,Amer,27-7,+17.51,113.1,95.6,63.1,-.004,+2.52,105.3,102.8,+0.99
26,27,Providence 6,BE,22-12,+16.72,112.6,95.9,65.2,+.038,+10.26,109.7,99.4,+2.18
27,28,BYU 11,WCC,25-10,+16.69,119.4,102.7,70.4,-.055,+3.96,107.0,103.0,+3.78
28,29,Arkansas 5,SEC,27-9,+16.44,114.7,98.3,69.3,+.045,+6.09,107.2,101.1,-3.44
29,30,VCU 7,A10,26-10,+16.27,111.1,94.9,66.5,+.043,+6.65,107.9,101.2,+8.77
30,31,San Diego St. 8,MWC,27-9,+15.95,104.9,89.0,60.4,+.026,+3.63,106.1,102.5,+3.50
31,32,North Carolina St. 8,ACC,22-14,+15.93,114.9,98.9,64.1,-.003,+9.84,109.3,99.5,-0.65
32,33,Maryland 4,B10,28-7,+15.68,111.3,95.7,63.9,+.127,+7.15,108.3,101.1,-3.33
33,34,Florida,SEC,16-17,+15.39,107.3,91.9,62.7,-.117,+10.08,109.5,99.4,+4.19
34,35,Georgia 10,SEC,21-12,+15.09,109.6,94.5,64.1,+.001,+8.73,108.6,99.9,+1.41
35,36,Davidson 10,A10,24-8,+15.00,119.7,104.7,66.7,+.056,+3.16,105.3,102.2,-3.78
36,37,Vanderbilt 5,SEC,21-14,+14.99,115.6,100.6,63.4,-.110,+5.49,106.1,100.6,-3.96
