,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
0,Rank,School,W-L,SOS,Opp Win Pct,Rank,W-L,SOS,Rank,RPI
1,1,Georgetown,21-10,0.6186,0.6503 (1),3,11-1,0.6152,13,0.6323
2,2,Tennessee,19-14,0.6115,0.6447 (2),2,10-5,0.6172,34,0.5906
3,3,West Virginia,20-11,0.6050,0.6269 (4),4,9-3,0.6077,21,0.6141
4,4,Florida,26-7,0.6014,0.6274 (3),8,11-3,0.5870,8,0.6414
5,5,Penn State,19-14,0.6006,0.6242 (5),58,7-4,0.5434,39,0.5854
6,6,North Carolina,26-7,0.5989,0.6229 (6),20,10-4,0.5701,6,0.6485
7,7,Connecticut,26-9,0.5986,0.6162 (9),42,12-0,0.5511,14,0.6305
8,8,Kentucky,25-8,0.5953,0.6165 (8),11,12-2,0.5805,7,0.6461
9,9,Kansas,32-2,0.5940,0.6152 (10),33,15-0,0.5562,1,0.6793
10,10,St. John's,21-11,0.5936,0.6105 (11),62,8-4,0.5424,26,0.6064
11,11,Kansas State,21-10,0.5935,0.6197 (7),31,11-3,0.5592,23,0.6098
12,12,Michigan State,18-14,0.5908,0.6055 (13),17,7-4,0.5764,45,0.5795
13,13,Louisville,25-9,0.5897,0.6071 (12),71,11-2,0.5387,17,0.6222
14,14,Seton Hall,13-18,0.5873,0.6043 (15),25,6-6,0.5627,102,0.5374
15,15,Texas,27-7,0.5870,0.6046 (14),68,12-3,0.5402,11,0.6352
16,16,Michigan,19-13,0.5844,0.5981 (19),54,9-3,0.5455,52,0.5754
17,17,South Florida,10-23,0.5834,0.5986 (17),39,6-7,0.5520,155,0.5022
18,18,Vanderbilt,23-10,0.5809,0.5996 (16),21,12-2,0.5683,27,0.6052
19,19,Illinois,19-13,0.5795,0.5924 (21),53,10-3,0.5457,48,0.5772
20,20,Notre Dame,26-6,0.5791,0.5894 (25),148,11-1,0.5055,9,0.6414
21,21,Brigham Young,29-4,0.5782,0.5986 (18),23,13-1,0.5673,5,0.6526
22,22,San Diego State,30-2,0.5771,0.5912 (22),37,13-0,0.5535,3,0.6672
23,23,Ohio State,32-2,0.5770,0.5885 (26),72,13-0,0.5384,2,0.6723
24,24,Duke,30-4,0.5768,0.5896 (24),44,14-1,0.5478,4,0.6611
25,25,Purdue,25-7,0.5756,0.5864 (27),65,11-2,0.5418,12,0.6343
26,26,Utah,12-18,0.5750,0.5929 (20),84,6-7,0.5318,118,0.5269
27,27,California,17-14,0.5745,0.5912 (23),6,7-5,0.5932,76,0.5568
