,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
28,28,Wisconsin,23-8,0.5740,0.5853 (28),112,10-2,0.5172,16,0.6227
29,29,Syracuse,26-7,0.5728,0.5765 (34),123,13-0,0.5137,18,0.6201
30,30,Marquette,20-14,0.5726,0.5831 (30),156,9-4,0.5022,64,0.5684
31,31,Pittsburgh,27-5,0.5725,0.5791 (32),100,12-1,0.5237,10,0.6377
32,32,Nevada-Las Vegas,24-8,0.5690,0.5826 (31),73,12-2,0.5381,25,0.6072
33,33,Villanova,21-11,0.5689,0.5727 (39),104,12-1,0.5212,38,0.5859
34,34,Minnesota,17-14,0.5684,0.5760 (35),86,11-1,0.5310,85,0.5522
35,35,Colorado State,18-12,0.5678,0.5837 (29),56,9-4,0.5437,50,0.5758
36,36,Oklahoma,14-17,0.5640,0.5780 (33),201,8-5,0.4858,126,0.5205
37,37,Oklahoma State,19-13,0.5636,0.5746 (37),182,12-2,0.4945,61,0.5699
38,38,Boston College,20-12,0.5614,0.5717 (40),74,10-4,0.5381,58,0.5711
39,39,Southern California,19-14,0.5599,0.5702 (41),66,8-5,0.5416,67,0.5615
40,40,Georgia,21-11,0.5589,0.5668 (44),102,11-3,0.5224,47,0.5775
41,41,East Carolina,15-15,0.5579,0.5741 (38),224,5-6,0.4768,96,0.5416
42,42,Washington,23-10,0.5569,0.5641 (48),70,9-3,0.5389,32,0.5921
43,43,Miami (FL),19-14,0.5569,0.5684 (43),142,12-3,0.5083,73,0.5593
44,44,Texas A&M,23-8,0.5564,0.5655 (47),218,12-1,0.4794,29,0.5996
45,45,DePaul,7-24,0.5561,0.5610 (53),232,6-6,0.4742,234,0.4590
46,46,Memphis,25-9,0.5561,0.5692 (42),122,12-3,0.5141,28,0.6000
47,47,Missouri,22-10,0.5547,0.5569 (62),240,13-1,0.4726,37,0.5869
48,48,Baylor,17-13,0.5538,0.5658 (46),191,10-3,0.4905,94,0.5424
49,49,Colorado,20-13,0.5532,0.5580 (60),325,10-4,0.4313,65,0.5660
50,50,UCLA,22-10,0.5530,0.5623 (50),46,9-4,0.5472,44,0.5814
51,51,Arizona,27-7,0.5527,0.5598 (54),45,11-2,0.5472,19,0.6170
52,52,Indiana,12-20,0.5523,0.5564 (65),235,9-4,0.4735,192,0.4856
53,53,Rutgers,15-17,0.5522,0.5510 (73),204,9-3,0.4854,121,0.5246
54,54,Central Florida,18-11,0.5508,0.5663 (45),89,12-0,0.5291,69,0.5611
55,55,Miami (OH),15-16,0.5506,0.5747 (36),1,4-10,0.6223,111,0.5330
56,56,Xavier,24-7,0.5504,0.5592 (56),16,9-5,0.5773,22,0.6099
57,57,Iowa,11-20,0.5496,0.5485 (75),260,7-5,0.4649,185,0.4884
58,58,Texas Tech,13-19,0.5495,0.5558 (66),244,8-7,0.4689,165,0.4973
59,59,Arizona State,12-19,0.5488,0.5538 (69),82,8-4,0.5334,161,0.4992
60,60,Oregon,15-17,0.5487,0.5581 (59),120,6-5,0.5146,135,0.5145
61,61,Saint Louis,11-19,0.5486,0.5623 (51),64,5-8,0.5418,175,0.4929
62,62,Clemson,21-11,0.5482,0.5525 (71),195,11-3,0.4887,57,0.5719
63,63,Air Force,14-14,0.5482,0.5581 (58),217,8-3,0.4794,110,0.5339
64,64,Old Dominion,27-6,0.5479,0.5579 (61),14,10-2,0.5802,20,0.6167
65,65,Saint Joseph's,11-22,0.5478,0.5616 (52),77,5-9,0.5363,164,0.4973
66,66,Nebraska,19-12,0.5476,0.5590 (57),280,12-2,0.4552,89,0.5501
67,67,North Carolina State,15-16,0.5474,0.5526 (70),186,10-4,0.4925,125,0.5210
68,68,South Carolina,14-16,0.5458,0.5480 (77),253,9-4,0.4671,134,0.5148
69,69,Dayton,22-13,0.5455,0.5566 (63),50,12-3,0.5464,70,0.5608
70,70,Tulsa,19-13,0.5454,0.5594 (55),49,7-7,0.5465,81,0.5543
71,71,Northwestern,18-13,0.5453,0.5445 (79),274,10-1,0.4587,87,0.5502
72,72,Marshall,20-11,0.5444,0.5565 (64),151,10-3,0.5037,54,0.5737
73,73,Maryland,19-14,0.5440,0.5517 (72),187,11-4,0.4925,98,0.5410
74,74,New Mexico State,14-17,0.5431,0.5624 (49),32,4-9,0.5582,139,0.5126
75,75,Mississippi,20-13,0.5429,0.5484 (76),103,12-3,0.5223,83,0.5525
76,76,Butler,22-9,0.5429,0.5546 (67),19,7-4,0.5749,33,0.5906
77,77,Virginia Tech,21-11,0.5426,0.5425 (82),157,10-3,0.5022,62,0.5695
78,78,Alabama-Birmingham,22-8,0.5419,0.5506 (74),172,10-3,0.4973,31,0.5939
79,79,Providence,15-17,0.5416,0.5380 (91),250,11-2,0.4679,154,0.5025
80,80,New Mexico,20-12,0.5412,0.5366 (94),255,11-3,0.4659,66,0.5631
81,81,Northeastern,11-20,0.5406,0.5545 (68),38,5-7,0.5523,178,0.4923
82,82,Georgia Tech,13-18,0.5390,0.5444 (80),167,8-6,0.4989,168,0.4953
83,83,Cincinnati,25-8,0.5387,0.5318 (102),285,13-0,0.4522,36,0.5885
84,84,Washington State,19-12,0.5385,0.5398 (89),165,10-2,0.4994,82,0.5532
85,85,Virginia Commonwealth,23-11,0.5384,0.5466 (78),113,9-4,0.5172,49,0.5763
86,86,Iowa State,16-16,0.5383,0.5427 (81),312,13-2,0.4383,138,0.5136
87,87,Florida State,21-10,0.5382,0.5383 (90),197,10-4,0.4879,55,0.5732
88,88,Southern Mississippi,19-10,0.5371,0.5414 (87),233,9-2,0.4737,63,0.5688
89,89,Texas Christian,11-22,0.5364,0.5379 (93),228,9-6,0.4760,208,0.4730
90,90,Mississippi State,17-14,0.5359,0.5419 (85),169,8-6,0.4984,119,0.5260
91,91,George Mason,26-6,0.5319,0.5403 (88),90,9-3,0.5280,24,0.6079
92,92,Temple,25-7,0.5304,0.5286 (108),67,10-4,0.5405,30,0.5996
93,93,Indiana State,19-13,0.5302,0.5418 (86),158,4-7,0.5015,84,0.5522
94,94,Gonzaga,23-9,0.5299,0.5322 (100),43,10-6,0.5506,56,0.5728
95,95,San Francisco,15-14,0.5299,0.5420 (84),34,4-9,0.5562,120,0.5255
96,96,Fordham,7-21,0.5295,0.5422 (83),141,6-6,0.5087,252,0.4452
97,97,William & Mary,9-22,0.5291,0.5380 (92),214,4-7,0.4812,228,0.4643
98,98,Texas-El Paso,24-9,0.5280,0.5300 (106),184,11-3,0.4938,59,0.5701
99,99,Wake Forest,8-24,0.5270,0.5274 (109),238,7-8,0.4729,260,0.4419
100,100,Rice,12-18,0.5270,0.5326 (98),149,6-6,0.5050,187,0.4881
101,101,St. Mary's,23-8,0.5266,0.5326 (99),41,11-4,0.5513,46,0.5792
102,102,Evansville,14-15,0.5261,0.5349 (96),114,5-5,0.5158,136,0.5141
103,103,Virginia,16-15,0.5259,0.5187 (125),297,9-5,0.4444,141,0.5114
104,104,La Salle,15-18,0.5250,0.5305 (105),171,8-7,0.4980,169,0.4953
105,105,Cleveland State,24-8,0.5242,0.5266 (113),36,9-2,0.5553,42,0.5841
106,106,Massachusetts,14-15,0.5241,0.5257 (115),118,7-5,0.5151,151,0.5030
107,107,Wichita State,23-8,0.5237,0.5318 (101),87,8-3,0.5297,60,0.5700
108,108,UW Milwaukee,19-13,0.5237,0.5313 (104),145,5-7,0.5071,93,0.5424
109,109,Towson,4-26,0.5236,0.5348 (97),164,4-7,0.4995,287,0.4265
110,110,Delaware,14-17,0.5233,0.5287 (107),180,5-6,0.4953,140,0.5116
111,111,Nevada,12-19,0.5232,0.5349 (95),130,3-10,0.5124,193,0.4850
112,112,Wyoming,8-21,0.5225,0.5179 (127),324,5-7,0.4322,264,0.4415
113,113,Louisiana State,11-21,0.5221,0.5263 (114),264,8-7,0.4645,227,0.4646
114,114,Alabama,21-11,0.5217,0.5164 (130),284,8-6,0.4526,80,0.5545
115,115,Oregon State,11-20,0.5216,0.5217 (119),331,5-6,0.4267,219,0.4668
116,116,Valparaiso,21-11,0.5208,0.5269 (111),55,7-4,0.5442,71,0.5603
117,117,Arkansas,18-13,0.5204,0.5169 (129),225,11-3,0.4762,127,0.5204
118,118,St. Bonaventure,16-14,0.5203,0.5198 (122),115,8-5,0.5157,122,0.5226
119,119,Stanford,15-16,0.5199,0.5128 (139),251,8-4,0.4673,160,0.5008
120,120,Utah State,29-3,0.5198,0.5268 (112),124,12-2,0.5134,15,0.6242
121,121,Charlotte,10-20,0.5196,0.5191 (124),216,8-6,0.4797,225,0.4655
122,122,Rhode Island,19-13,0.5195,0.5180 (126),125,9-5,0.5131,101,0.5386
123,123,Iona,22-11,0.5176,0.5317 (103),27,7-5,0.5617,68,0.5614
124,124,Northern Iowa,18-13,0.5176,0.5202 (120),147,8-4,0.5064,112,0.5326
125,125,Duquesne,17-12,0.5176,0.5139 (134),138,7-5,0.5091,108,0.5345
126,126,Richmond,27-7,0.5171,0.5121 (141),189,11-4,0.4912,41,0.5851
127,127,UW Green Bay,13-18,0.5170,0.5202 (121),116,5-7,0.5157,171,0.4944
128,128,Missouri State,25-8,0.5170,0.5173 (128),168,8-4,0.4988,43,0.5838
129,129,Hofstra,20-11,0.5156,0.5126 (140),134,5-6,0.5105,86,0.5512
130,130,Wright State,17-14,0.5141,0.5140 (133),160,6-5,0.5009,124,0.5211
131,131,North Florida,15-19,0.5132,0.5270 (110),9,3-8,0.5847,148,0.5055
132,132,Creighton,19-14,0.5127,0.5163 (131),223,8-5,0.4779,123,0.5221
133,133,Kent State,22-11,0.5127,0.5232 (116),60,8-6,0.5426,78,0.5560
134,134,Robert Morris,18-14,0.5111,0.5222 (118),10,4-7,0.5806,100,0.5386
135,135,James Madison,21-11,0.5105,0.5042 (151),163,11-2,0.5000,88,0.5501
136,136,Cornell,10-18,0.5098,0.5191 (123),121,4-10,0.5142,210,0.4711
137,137,Wagner,13-17,0.5086,0.5228 (117),24,4-7,0.5629,170,0.4949
138,138,Drexel,21-10,0.5086,0.5005 (155),109,9-2,0.5193,74,0.5584
139,139,Southern Illinois,13-19,0.5084,0.5084 (143),229,7-5,0.4760,207,0.4742
140,140,Harvard,21-6,0.5083,0.5091 (142),106,9-3,0.5199,35,0.5892
141,141,St. Peter's,20-13,0.5076,0.5137 (135),108,6-6,0.5196,92,0.5431
142,142,Oakland,24-9,0.5075,0.5133 (138),12,4-8,0.5805,53,0.5749
143,143,Detroit,16-16,0.5062,0.5077 (147),226,5-7,0.4762,143,0.5101
144,144,Bradley,11-20,0.5057,0.5044 (150),271,6-5,0.4610,233,0.4591
145,145,IU-Purdue Indianapolis,17-14,0.5056,0.5134 (137),7,4-7,0.5915,115,0.5299
146,146,Long Beach State,20-11,0.5049,0.5148 (132),5,4-8,0.6036,90,0.5465
147,147,Auburn,10-20,0.5047,0.4964 (163),338,6-7,0.4144,254,0.4436
148,148,Youngstown State,7-21,0.5035,0.5014 (154),257,5-4,0.4652,295,0.4245
149,149,UIC,6-24,0.5032,0.5002 (157),276,4-7,0.4581,292,0.4252
150,150,George Washington,17-14,0.5032,0.4958 (164),236,7-7,0.4735,145,0.5080
151,151,Siena,13-18,0.5025,0.5034 (153),76,4-7,0.5374,202,0.4779
152,152,Troy,7-21,0.5018,0.5135 (136),29,1-10,0.5604,266,0.4399
153,153,Portland,20-11,0.5013,0.4972 (162),93,13-3,0.5263,103,0.5365
154,154,Manhattan,6-25,0.5013,0.5056 (148),101,3-9,0.5233,293,0.4250
155,155,San Jose State,16-15,0.5009,0.5047 (149),311,9-3,0.4395,149,0.5050
156,156,Houston,10-18,0.5009,0.4944 (169),333,6-5,0.4234,239,0.4562
157,157,Marist,6-27,0.5008,0.5083 (144),127,2-11,0.5125,305,0.4159
158,158,Georgia State,12-19,0.4990,0.4992 (158),334,5-6,0.4226,223,0.4659
159,159,San Diego,4-24,0.4986,0.4936 (172),192,2-11,0.4901,320,0.4013
160,160,Bryant,8-21,0.4984,0.5082 (145),52,1-10,0.5460,253,0.4442
161,161,Ohio,18-15,0.4982,0.5004 (156),81,8-7,0.5336,163,0.4978
162,162,Mount St. Mary's,11-21,0.4979,0.5080 (146),139,2-11,0.5089,230,0.4613
163,163,Fresno State,13-17,0.4976,0.4937 (171),263,7-6,0.4647,203,0.4760
164,164,Pennsylvania,13-15,0.4969,0.4921 (177),183,6-8,0.4941,173,0.4937
165,165,College of Charleston,24-10,0.4966,0.5038 (152),69,8-5,0.5401,72,0.5599
166,166,Drake,13-18,0.4963,0.4898 (183),278,6-6,0.4570,217,0.4672
167,167,Santa Clara,17-14,0.4960,0.4921 (176),190,8-7,0.4907,158,0.5015
168,168,Boise State,19-12,0.4954,0.4916 (178),319,8-5,0.4336,113,0.5310
169,169,Oral Roberts,19-15,0.4954,0.4974 (161),79,4-9,0.5349,131,0.5193
170,170,Princeton,24-6,0.4954,0.4884 (185),196,11-4,0.4879,40,0.5853
171,171,Wofford,21-12,0.4946,0.4957 (165),63,4-8,0.5421,109,0.5340
172,172,Pepperdine,11-21,0.4933,0.4903 (182),185,5-11,0.4929,243,0.4539
173,173,Idaho,17-13,0.4931,0.4943 (170),287,8-5,0.4510,137,0.5139
174,174,UNC Wilmington,13-18,0.4928,0.4812 (199),237,6-6,0.4731,218,0.4669
175,175,East Tennessee State,21-11,0.4920,0.4947 (168),15,4-6,0.5780,91,0.5453
176,176,Texas A&M-Corpus Christi,7-21,0.4918,0.4977 (160),40,2-10,0.5513,281,0.4303
177,177,Tulane,10-17,0.4917,0.4832 (191),344,7-3,0.3940,236,0.4570
178,178,Loyola-Marymount,9-21,0.4917,0.4985 (159),241,6-8,0.4720,268,0.4388
179,179,St. Francis (PA),9-21,0.4905,0.4956 (167),107,2-9,0.5198,259,0.4421
180,180,Akron,22-12,0.4905,0.4896 (184),152,9-5,0.5031,107,0.5345
181,181,Yale,14-13,0.4903,0.4911 (179),211,6-7,0.4820,156,0.5019
182,182,UNC Greensboro,7-24,0.4901,0.4907 (181),18,0-11,0.5757,298,0.4233
183,183,Winthrop,11-17,0.4874,0.4931 (174),22,2-7,0.5675,222,0.4659
184,184,Loyola-Maryland,15-15,0.4873,0.4823 (196),210,5-6,0.4829,179,0.4922
185,185,South Carolina Upstate,5-25,0.4865,0.4861 (187),75,1-9,0.5381,312,0.4071
186,186,Morehead State,22-9,0.4863,0.4930 (175),51,7-4,0.5462,77,0.5564
187,187,Lafayette,12-19,0.4860,0.4957 (166),128,4-10,0.5124,220,0.4667
188,188,Canisius,15-15,0.4859,0.4910 (180),221,6-5,0.4785,181,0.4914
189,189,Austin Peay,18-13,0.4859,0.4932 (173),47,4-7,0.5470,130,0.5196
190,190,Lipscomb,16-13,0.4858,0.4871 (186),13,4-4,0.5803,132,0.5188
191,191,Southern Methodist,14-14,0.4849,0.4749 (213),342,6-5,0.4030,206,0.4743
192,192,Hawai'i,17-12,0.4839,0.4763 (210),328,9-3,0.4287,162,0.4991
193,193,Louisiana Tech,11-20,0.4831,0.4821 (197),315,9-6,0.4364,247,0.4496
194,194,Mercer,14-18,0.4831,0.4836 (190),162,2-8,0.5000,221,0.4665
195,195,Weber State,15-13,0.4829,0.4825 (195),61,3-7,0.5424,150,0.5041
196,196,UNC Asheville,16-13,0.4824,0.4818 (198),48,2-6,0.5469,147,0.5072
197,197,Illinois State,12-19,0.4824,0.4748 (214),332,8-4,0.4240,255,0.4433
198,198,Chattanooga,14-16,0.4821,0.4826 (194),144,2-9,0.5072,199,0.4811
199,199,Brown,10-17,0.4821,0.4830 (193),261,6-7,0.4648,242,0.4545
200,200,Dartmouth,5-23,0.4820,0.4831 (192),277,4-10,0.4572,311,0.4078
201,201,Rider,23-10,0.4819,0.4710 (222),239,9-4,0.4728,105,0.5354
202,202,Arkansas State,15-15,0.4814,0.4852 (188),126,4-9,0.5126,177,0.4925
203,203,Presbyterian,13-18,0.4810,0.4807 (201),80,6-7,0.5345,204,0.4760
204,204,Northern Colorado,19-10,0.4796,0.4812 (200),146,4-7,0.5071,99,0.5402
205,205,Pacific,14-15,0.4794,0.4788 (204),85,6-6,0.5313,190,0.4873
206,206,Sam Houston State,14-13,0.4793,0.4842 (189),59,3-6,0.5429,176,0.4928
207,207,Niagara,9-23,0.4788,0.4730 (217),215,4-9,0.4808,288,0.4261
208,208,Florida Atlantic,19-10,0.4786,0.4720 (220),110,6-6,0.5186,114,0.5310
209,209,UC Santa Barbara,16-13,0.4784,0.4788 (205),57,5-5,0.5436,157,0.5017
210,210,Loyola-Chicago,16-15,0.4784,0.4649 (233),326,9-3,0.4308,197,0.4830
211,211,Western Kentucky,16-16,0.4779,0.4740 (215),88,6-7,0.5291,196,0.4834
212,212,Arkansas-Little Rock,17-16,0.4778,0.4764 (209),136,6-7,0.5100,188,0.4877
213,213,Monmouth,9-21,0.4774,0.4795 (203),105,4-8,0.5200,286,0.4267
214,214,Radford,2-24,0.4772,0.4725 (218),98,0-8,0.5247,333,0.3715
215,215,Boston University,21-13,0.4765,0.4749 (212),94,6-9,0.5256,129,0.5199
216,216,Idaho State,7-20,0.4765,0.4784 (206),119,3-8,0.5148,302,0.4193
217,217,Eastern Washington,8-20,0.4760,0.4798 (202),153,1-10,0.5026,289,0.4260
218,218,The Citadel,8-22,0.4759,0.4775 (208),178,2-9,0.4954,294,0.4248
219,219,Appalachian State,14-15,0.4759,0.4683 (229),28,3-6,0.5613,195,0.4847
220,220,Gardner-Webb,9-21,0.4751,0.4700 (225),173,3-8,0.4971,263,0.4416
221,221,Maryland-Baltimore County,5-25,0.4749,0.4779 (207),111,1-12,0.5173,322,0.3972
222,222,Bucknell,25-8,0.4747,0.4715 (221),132,9-7,0.5114,79,0.5550
223,223,Columbia,14-13,0.4745,0.4684 (228),279,8-5,0.4566,186,0.4884
224,224,Montana,19-10,0.4737,0.4702 (224),150,6-5,0.5043,106,0.5350
225,225,Holy Cross,8-21,0.4735,0.4725 (219),188,1-13,0.4916,285,0.4271
226,226,High Point,10-19,0.4735,0.4752 (211),117,2-7,0.5153,261,0.4419
227,227,Denver,13-17,0.4732,0.4707 (223),155,4-9,0.5024,244,0.4528
228,228,Florida International,9-19,0.4715,0.4735 (216),131,3-7,0.5122,283,0.4282
229,229,Buffalo,17-13,0.4712,0.4600 (239),268,8-4,0.4619,166,0.4966
230,230,Vermont,23-8,0.4706,0.4693 (227),83,9-4,0.5330,95,0.5417
231,231,Binghamton,8-23,0.4696,0.4668 (231),154,3-10,0.5025,300,0.4208
232,232,Bowling Green,13-19,0.4691,0.4584 (243),290,4-10,0.4480,245,0.4515
233,233,Furman,20-10,0.4682,0.4597 (240),159,6-3,0.5015,116,0.5297
234,234,Southern Utah,10-18,0.4678,0.4672 (230),231,3-6,0.4745,267,0.4391
235,235,Stetson,8-22,0.4676,0.4606 (236),205,2-8,0.4851,304,0.4169
236,236,Davidson,16-14,0.4661,0.4535 (254),99,6-5,0.5239,182,0.4897
237,237,UC Riverside,10-19,0.4660,0.4654 (232),200,3-8,0.4863,265,0.4411
238,238,UC Davis,8-20,0.4657,0.4634 (234),181,4-8,0.4952,301,0.4196
239,239,Southern Ill-Edwardsville,4-21,0.4648,0.4696 (226),262,4-21,0.4648,328,0.3846
240,240,North Texas,20-11,0.4647,0.4604 (237),174,9-2,0.4965,133,0.5152
241,241,Toledo,3-28,0.4644,0.4557 (245),194,2-12,0.4896,338,0.3642
242,242,Fairfield,24-7,0.4642,0.4484 (264),296,8-3,0.4446,97,0.5412
243,243,Murray State,21-8,0.4640,0.4590 (242),161,7-3,0.5008,117,0.5297
244,244,Western Carolina,17-15,0.4640,0.4529 (255),177,4-8,0.4956,172,0.4938
245,245,Middle Tennessee State,15-16,0.4638,0.4548 (246),203,4-9,0.4855,211,0.4700
246,246,Liberty,16-13,0.4630,0.4536 (253),170,3-7,0.4983,184,0.4890
247,247,Savannah State,8-18,0.4622,0.4473 (268),267,8-18,0.4622,256,0.4432
248,248,Hartford,11-20,0.4622,0.4577 (244),245,3-10,0.4688,277,0.4325
249,249,Charleston Southern,12-16,0.4620,0.4540 (249),202,3-6,0.4856,235,0.4581
250,250,Florida Gulf Coast,10-20,0.4620,0.4540 (250),242,3-7,0.4714,282,0.4298
251,251,Tennessee State,12-16,0.4616,0.4594 (241),176,2-7,0.4960,232,0.4594
252,252,North Carolina A&T,12-17,0.4609,0.4625 (235),95,3-9,0.5255,231,0.4607
253,253,Kennesaw State,7-23,0.4606,0.4516 (256),329,1-8,0.4283,321,0.4004
254,254,Fairleigh Dickinson,5-24,0.4601,0.4510 (257),243,2-9,0.4689,327,0.3865
255,255,Louisiana-Lafayette,13-14,0.4598,0.4487 (263),269,2-8,0.4616,214,0.4687
256,256,Montana State,11-18,0.4596,0.4544 (248),248,4-8,0.4682,258,0.4425
257,257,Long Island,27-5,0.4594,0.4478 (266),293,8-3,0.4458,75,0.5577
258,258,North Dakota State,12-15,0.4589,0.4506 (258),246,4-4,0.4684,238,0.4563
259,259,Central Connecticut State,19-12,0.4589,0.4504 (259),306,7-4,0.4426,146,0.5075
260,260,Jacksonville,18-11,0.4587,0.4458 (273),219,5-3,0.4793,142,0.5107
261,261,Belmont,30-4,0.4587,0.4422 (285),209,8-3,0.4835,51,0.5757
262,262,Texas State,14-15,0.4586,0.4602 (238),227,3-8,0.4761,224,0.4658
263,263,Nicholls State,10-14,0.4586,0.4544 (247),96,2-5,0.5250,241,0.4557
264,264,Va. Military Inst.,14-13,0.4569,0.4475 (267),272,3-4,0.4608,200,0.4783
265,265,Maine,14-15,0.4568,0.4494 (261),193,5-7,0.4896,215,0.4685
266,266,Ball State,18-12,0.4567,0.4432 (281),206,7-5,0.4847,167,0.4955
267,267,CS Northridge,12-18,0.4565,0.4451 (277),259,2-10,0.4650,248,0.4495
268,268,,1-27,0.4553,0.4471 (269),313,0-10,0.4376,342,0.3478
269,269,Central Arkansas,2-24,0.4553,0.4537 (252),213,1-9,0.4812,340,0.3584
270,270,Louisiana-Monroe,5-24,0.4553,0.4481 (265),302,3-9,0.4434,325,0.3871
271,271,Eastern Michigan,6-22,0.4549,0.4455 (276),256,1-10,0.4653,324,0.3878
272,272,Colgate,7-23,0.4547,0.4490 (262),301,3-12,0.4436,313,0.4062
273,273,Lehigh,16-15,0.4547,0.4423 (283),266,9-6,0.4633,205,0.4758
274,274,Georgia Southern,2-27,0.4546,0.4419 (288),291,1-9,0.4470,341,0.3522
275,275,Tennessee-Martin,10-21,0.4542,0.4456 (275),273,3-8,0.4590,291,0.4257
276,276,South Dakota State,17-12,0.4541,0.4431 (282),322,6-3,0.4324,183,0.4892
277,277,Tennessee Tech,17-12,0.4537,0.4460 (272),323,3-5,0.4323,189,0.4874
278,278,Campbell,11-19,0.4532,0.4423 (284),304,5-4,0.4431,280,0.4310
279,279,St. Francis (NY),15-15,0.4531,0.4379 (301),336,5-6,0.4198,213,0.4688
280,280,Missouri-Kansas City,15-14,0.4530,0.4435 (279),283,6-4,0.4540,212,0.4697
281,281,Western Michigan,19-12,0.4529,0.4383 (299),208,7-6,0.4839,174,0.4931
282,282,McNeese State,17-11,0.4529,0.4462 (270),166,4-5,0.4990,159,0.5010
283,283,Northern Arizona,17-12,0.4528,0.4421 (286),258,7-4,0.4651,152,0.5027
284,284,Albany,16-16,0.4525,0.4417 (290),254,7-8,0.4670,216,0.4676
285,285,Indiana-Purdue Ft. Wayne,17-12,0.4521,0.4418 (289),282,6-4,0.4546,180,0.4922
286,286,Norfolk State,12-20,0.4521,0.4537 (251),175,2-11,0.4962,270,0.4375
287,287,Howard,6-24,0.4515,0.4502 (260),133,2-11,0.5114,332,0.3733
288,288,Sacramento State,5-21,0.4514,0.4461 (271),308,1-9,0.4415,330,0.3818
289,289,CS Bakersfield,9-19,0.4512,0.4390 (298),286,9-19,0.4512,310,0.4090
290,290,Stony Brook,14-17,0.4511,0.4402 (294),320,4-8,0.4333,240,0.4557
291,291,American,22-9,0.4509,0.4335 (307),222,10-5,0.4784,128,0.5203
292,292,Samford,10-19,0.4501,0.4410 (291),321,6-4,0.4328,284,0.4273
293,293,Quinnipiac,22-9,0.4501,0.4350 (304),230,8-3,0.4752,144,0.5097
294,294,Southeast Missouri State,9-22,0.4501,0.4433 (280),307,2-9,0.4416,306,0.4151
295,295,Cal Poly,15-14,0.4500,0.4378 (302),247,5-7,0.4682,201,0.4780
296,296,Elon,11-17,0.4496,0.4328 (308),198,3-5,0.4875,269,0.4383
297,297,Delaware State,7-21,0.4495,0.4439 (278),135,2-9,0.5101,309,0.4095
298,298,Texas-San Antonio,16-13,0.4492,0.4402 (293),292,4-6,0.4461,194,0.4849
299,299,South Alabama,10-16,0.4489,0.4336 (306),303,4-5,0.4432,276,0.4325
300,300,Central Michigan,9-21,0.4488,0.4346 (305),275,2-11,0.4584,307,0.4131
301,301,Eastern Illinois,7-20,0.4485,0.4458 (274),295,3-6,0.4451,314,0.4059
302,302,Navy,10-20,0.4481,0.4404 (292),305,4-11,0.4431,299,0.4218
303,303,Coastal Carolina,24-5,0.4477,0.4304 (311),270,6-2,0.4612,104,0.5365
304,304,Texas-Arlington,9-16,0.4475,0.4401 (295),288,2-7,0.4494,272,0.4361
305,305,Jacksonville State,4-25,0.4471,0.4400 (296),327,1-10,0.4306,331,0.3760
