,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Duke 1,ACC,35-5,+33.29,121.0,87.7,64.7,+.009,+11.53,107.9,96.4,+2.50
1,2,Kansas 1,B12,33-3,+31.85,120.4,88.5,67.2,+.038,+9.53,108.2,98.7,+1.13
2,3,Syracuse 1,BE,30-5,+27.62,118.5,90.9,68.7,-.008,+8.62,108.5,99.8,-2.96
3,4,Kentucky 1,SEC,35-3,+26.54,114.9,88.3,68.3,+.060,+7.06,106.5,99.5,-1.28
4,5,West Virginia 2,BE,31-7,+25.54,117.2,91.7,62.6,+.057,+12.58,110.0,97.5,+5.45
5,6,Kansas St. 2,B12,29-8,+25.52,116.1,90.6,69.4,-.008,+11.99,109.5,97.5,+2.37
6,7,Ohio St. 2,B10,29-8,+24.99,117.5,92.5,64.6,+.007,+7.88,106.3,98.4,-2.92
7,8,Baylor 3,B12,28-8,+24.95,119.2,94.3,64.5,-.021,+10.59,108.3,97.7,-2.79
8,9,Wisconsin 4,B10,24-9,+23.56,115.2,91.6,59.2,-.013,+8.69,107.9,99.2,+1.01
9,10,BYU 7,MWC,30-6,+23.27,117.3,94.0,71.1,+.012,+3.88,104.9,101.0,-0.03
10,11,Georgetown 3,BE,23-11,+22.64,116.8,94.2,65.8,-.035,+11.55,109.0,97.4,+3.35
11,12,Butler 5,Horz,33-5,+22.45,111.0,88.5,63.0,+.032,+6.85,106.7,99.9,+11.11
12,13,Maryland 4,ACC,24-9,+22.37,118.3,95.9,68.7,-.023,+8.87,106.7,97.8,-4.35
13,14,California 8,P10,24-11,+22.15,119.6,97.4,67.1,-.043,+9.03,106.5,97.5,+8.46
14,15,Purdue 4,B10,29-6,+22.05,109.8,87.7,66.2,+.070,+8.81,107.8,99.0,-1.26
15,16,Texas A&M 5,B12,24-10,+21.33,112.6,91.2,64.3,-.005,+11.51,109.4,97.9,+0.15
16,17,Villanova 2,BE,25-8,+21.24,117.2,96.0,71.2,+.025,+10.03,108.7,98.7,-0.91
17,18,Xavier 6,A10,26-9,+20.87,115.5,94.6,68.9,+.010,+8.04,106.2,98.2,+7.27
18,19,Texas 8,B12,24-10,+20.75,113.9,93.1,71.5,-.014,+9.01,107.2,98.2,-1.32
19,20,Michigan St. 5,B10,28-9,+20.13,112.8,92.7,65.3,+.027,+9.03,107.5,98.5,-0.94
20,21,Temple 5,A10,29-6,+20.12,107.8,87.7,60.4,+.076,+6.07,106.4,100.3,+5.68
21,22,Missouri 10,B12,23-11,+19.99,111.5,91.5,68.8,-.035,+8.17,107.1,98.9,-6.10
22,23,Utah St. 12,WAC,27-8,+19.90,116.0,96.1,59.8,-.026,+1.81,105.0,103.2,+0.16
23,24,Marquette 6,BE,22-12,+19.65,115.1,95.5,62.3,-.064,+9.05,108.0,98.9,-6.52
24,25,Clemson 7,ACC,21-11,+19.28,110.9,91.6,67.6,-.041,+8.76,106.3,97.6,-2.85
25,26,Dayton 3,A10,25-12,+18.92,108.1,89.1,65.5,-.097,+6.43,105.8,99.3,+3.50
26,27,Northern Iowa 9,MVC,30-5,+18.87,109.6,90.8,58.9,+.034,+4.08,105.7,101.6,-1.58
27,28,Pittsburgh 3,BE,25-9,+18.66,111.4,92.8,61.3,+.041,+7.87,107.7,99.8,-2.76
28,29,Saint Mary's 10,WCC,28-6,+18.59,116.5,97.9,66.2,+.038,+2.72,105.4,102.7,+1.18
29,30,Tennessee 6,SEC,28-9,+18.50,108.9,90.4,67.5,+.082,+8.67,107.4,98.7,-0.48
30,31,Georgia Tech 10,ACC,23-13,+18.22,109.2,91.0,68.2,-.034,+10.94,107.4,96.4,-2.46
31,32,Washington 11,P10,26-10,+18.19,111.7,93.6,71.7,+.029,+6.97,106.7,99.7,+1.13
32,33,Florida St. 9,ACC,22-10,+18.02,105.0,87.0,65.3,+.009,+9.01,107.3,98.3,-2.88
33,34,Minnesota 11,B10,21-14,+17.97,112.0,94.1,65.6,-.055,+8.37,107.7,99.3,-3.72
34,35,Notre Dame 6,BE,23-12,+17.71,119.4,101.7,62.4,-.068,+6.28,106.5,100.2,-9.08
35,36,Vanderbilt 4,SEC,24-9,+17.54,113.7,96.2,68.7,+.019,+8.14,107.1,99.0,+1.50
36,37,Old Dominion 11,CAA,27-9,+17.51,107.8,90.3,62.6,+.009,+3.17,105.0,101.9,+6.16
37,38,Louisville 9,BE,20-13,+16.91,114.5,97.6,66.3,-.038,+8.87,107.8,99.0,-1.62
38,39,Oklahoma St. 7,B12,22-11,+16.72,112.2,95.4,66.2,+.011,+8.47,107.2,98.7,-4.33
39,40,San Diego St. 11,MWC,25-9,+16.58,111.4,94.9,63.1,+.006,+5.40,105.3,99.9,+2.24
40,41,UNLV 8,MWC,25-9,+16.56,110.6,94.0,66.3,-.013,+4.08,104.8,100.7,+0.67
41,42,UTEP 12,CUSA,26-7,+16.53,107.7,91.2,67.9,+.024,+2.62,104.1,101.5,-4.26
