,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
0,Rank,School,W-L,SOS,Opp Win Pct,Rank,W-L,SOS,Rank,RPI
1,1,Georgetown,23-10,0.6197,0.6519 (1),6,10-1,0.5943,7,0.6353
2,2,Kansas State,25-7,0.6085,0.6367 (2),23,12-1,0.5669,6,0.6447
3,3,West Virginia,27-6,0.6050,0.6238 (3),21,11-1,0.5697,4,0.6607
4,4,Connecticut,17-15,0.5987,0.6184 (5),9,10-3,0.5908,64,0.5700
5,5,Kansas,32-2,0.5974,0.6165 (7),32,14-1,0.5582,1,0.6878
6,6,Texas A&M,22-9,0.5968,0.6192 (4),44,10-3,0.5479,13,0.6259
7,7,Louisville,20-12,0.5962,0.6182 (6),22,9-4,0.5696,37,0.5949
8,8,Duke,29-5,0.5884,0.6048 (11),35,13-2,0.5556,3,0.6637
9,9,Cincinnati,18-15,0.5869,0.6020 (12),52,9-3,0.5416,65,0.5698
10,10,Pittsburgh,24-8,0.5866,0.6015 (13),49,11-2,0.5445,15,0.6256
11,11,Syracuse,28-4,0.5860,0.5992 (14),38,13-0,0.5533,5,0.6513
12,12,Texas Tech,17-15,0.5855,0.6051 (10),84,12-2,0.5258,72,0.5622
13,13,Georgia Tech,21-12,0.5854,0.6063 (9),148,11-2,0.5077,33,0.5988
14,14,Baylor,24-7,0.5839,0.5989 (15),139,12-1,0.5122,9,0.6334
15,15,California,23-10,0.5838,0.6116 (8),1,8-4,0.6392,20,0.6148
16,16,Georgia,14-17,0.5792,0.5941 (17),74,8-5,0.5300,106,0.5344
17,17,North Carolina,16-16,0.5789,0.5957 (16),95,11-4,0.5237,92,0.5440
18,18,Oklahoma,13-18,0.5789,0.5936 (18),147,9-5,0.5083,124,0.5242
19,19,Tennessee,25-8,0.5789,0.5925 (20),58,12-2,0.5383,14,0.6258
20,20,South Carolina,15-16,0.5759,0.5929 (19),65,9-5,0.5338,93,0.5424
21,21,St. John's,17-15,0.5755,0.5832 (25),64,10-2,0.5347,82,0.5515
22,22,Villanova,24-7,0.5750,0.5771 (32),178,11-1,0.4954,11,0.6271
23,23,Maryland,22-8,0.5747,0.5900 (21),161,9-4,0.5029,24,0.6118
24,24,Clemson,21-10,0.5730,0.5880 (22),144,12-2,0.5094,34,0.5984
25,25,Vanderbilt,23-8,0.5715,0.5817 (27),75,10-3,0.5286,26,0.6103
26,26,Oklahoma State,22-10,0.5715,0.5846 (24),155,12-2,0.5053,32,0.6020
27,27,Providence,12-19,0.5709,0.5815 (29),176,8-4,0.4961,141,0.5166
28,28,Wisconsin,23-8,0.5707,0.5877 (23),31,10-2,0.5584,21,0.6140
29,29,Colorado,13-16,0.5688,0.5761 (33),211,7-5,0.4822,120,0.5253
30,30,Wake Forest,19-10,0.5687,0.5817 (28),82,10-2,0.5266,39,0.5939
31,31,Kentucky,32-2,0.5682,0.5736 (36),109,15-0,0.5202,2,0.6658
32,32,Seton Hall,19-12,0.5682,0.5787 (31),194,9-2,0.4899,60,0.5724
33,33,Dayton,20-12,0.5661,0.5820 (26),20,11-3,0.5730,54,0.5769
34,34,Illinois,19-14,0.5652,0.5758 (34),110,8-5,0.5194,74,0.5596
35,35,Notre Dame,23-11,0.5652,0.5719 (37),222,11-2,0.4780,49,0.5838
36,36,Florida,21-12,0.5648,0.5757 (35),116,11-4,0.5186,56,0.5749
37,37,Minnesota,21-13,0.5638,0.5800 (30),77,9-3,0.5285,62,0.5711
38,38,DePaul,8-23,0.5638,0.5714 (38),153,7-5,0.5062,212,0.4732
39,39,Iowa State,15-17,0.5625,0.5686 (43),214,11-4,0.4819,123,0.5243
40,40,Marquette,22-11,0.5618,0.5659 (45),198,9-3,0.4885,50,0.5825
