,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
41,41,Arizona,16-15,0.5613,0.5714 (39),17,6-6,0.5787,96,0.5414
42,42,Xavier,24-8,0.5611,0.5668 (44),19,9-5,0.5741,19,0.6149
43,43,UCLA,14-18,0.5607,0.5705 (41),30,5-7,0.5599,137,0.5178
44,44,Texas,24-9,0.5600,0.5599 (60),204,14-1,0.4857,29,0.6025
45,45,Arkansas,14-18,0.5581,0.5710 (40),56,7-8,0.5395,159,0.5066
46,46,Alabama,17-15,0.5575,0.5637 (49),93,10-4,0.5241,102,0.5379
47,47,Missouri,22-10,0.5573,0.5616 (53),195,12-3,0.4898,44,0.5859
48,48,San Diego State,23-8,0.5558,0.5696 (42),124,9-3,0.5170,18,0.6158
49,49,Boston College,15-16,0.5552,0.5651 (46),255,9-5,0.4648,125,0.5240
50,50,Temple,29-5,0.5549,0.5606 (57),43,12-3,0.5498,8,0.6342
51,51,Michigan State,24-8,0.5548,0.5628 (51),104,10-3,0.5213,28,0.6027
52,52,Michigan,14-17,0.5546,0.5599 (61),89,6-5,0.5253,131,0.5202
53,53,Nebraska,15-18,0.5535,0.5597 (62),266,12-3,0.4615,149,0.5133
54,54,Florida State,22-9,0.5535,0.5607 (56),215,12-2,0.4819,42,0.5903
55,55,Purdue,27-5,0.5533,0.5568 (65),119,12-0,0.5182,16,0.6228
56,56,Virginia,15-16,0.5530,0.5612 (55),277,9-4,0.4567,127,0.5219
57,57,Iowa,10-22,0.5530,0.5644 (47),123,6-7,0.5174,210,0.4746
58,58,Saint Joseph's,11-20,0.5514,0.5617 (52),45,6-8,0.5465,184,0.4956
59,59,Richmond,26-8,0.5500,0.5593 (63),73,11-4,0.5302,25,0.6111
60,60,Washington,24-9,0.5494,0.5530 (71),42,10-2,0.5501,41,0.5915
61,61,Rutgers,14-17,0.5491,0.5471 (83),236,9-3,0.4728,161,0.5063
62,62,South Florida,20-12,0.5483,0.5414 (97),235,10-2,0.4732,71,0.5626
63,63,Ohio State,27-7,0.5480,0.5505 (73),128,10-3,0.5152,22,0.6128
64,64,Bradley,16-15,0.5475,0.5603 (58),151,6-5,0.5065,105,0.5347
65,65,Massachusetts,11-20,0.5474,0.5559 (66),62,5-8,0.5369,181,0.4963
66,66,Auburn,14-17,0.5473,0.5569 (64),145,8-6,0.5088,153,0.5113
67,67,Wyoming,8-21,0.5465,0.5642 (48),67,5-7,0.5330,228,0.4611
68,68,Indiana State,16-14,0.5465,0.5633 (50),115,7-4,0.5190,88,0.5466
69,69,North Carolina State,19-15,0.5462,0.5482 (79),279,12-3,0.4565,98,0.5410
70,70,New Mexico,29-4,0.5462,0.5484 (77),51,14-1,0.5419,10,0.6294
71,71,Mississippi,21-10,0.5448,0.5469 (84),142,12-2,0.5107,61,0.5712
72,72,Rhode Island,23-9,0.5439,0.5500 (75),37,12-1,0.5535,40,0.5928
73,73,New Mexico State,21-11,0.5439,0.5601 (59),55,7-6,0.5396,51,0.5798
74,74,Mississippi State,23-11,0.5434,0.5463 (87),207,12-3,0.4837,55,0.5759
75,75,Nevada,19-12,0.5425,0.5550 (67),48,7-6,0.5449,73,0.5618
76,76,Butler,28-4,0.5418,0.5536 (69),5,8-4,0.5987,12,0.6267
77,77,Penn State,11-20,0.5417,0.5475 (81),290,8-4,0.4504,194,0.4851
78,78,Miami (OH),14-18,0.5416,0.5542 (68),34,4-10,0.5566,144,0.5150
79,79,Stanford,14-18,0.5415,0.5451 (88),163,6-6,0.5020,163,0.5054
80,80,Arizona State,22-10,0.5412,0.5449 (89),59,10-3,0.5383,63,0.5701
81,81,Texas Christian,11-19,0.5412,0.5496 (76),191,6-7,0.4904,188,0.4910
82,82,Oregon,16-16,0.5408,0.5477 (80),125,8-4,0.5167,138,0.5171
83,83,Indiana,10-21,0.5404,0.5447 (90),241,6-6,0.4711,222,0.4683
84,84,Delaware,7-24,0.5401,0.5613 (54),26,4-8,0.5660,239,0.4551
85,85,Memphis,23-9,0.5396,0.5532 (70),61,10-5,0.5372,53,0.5779
86,86,Duquesne,15-15,0.5393,0.5464 (86),68,8-5,0.5329,114,0.5274
87,87,Utah,14-17,0.5388,0.5427 (95),185,7-7,0.4927,157,0.5075
88,88,Southern California,16-14,0.5385,0.5394 (100),102,8-4,0.5214,112,0.5289
89,89,Old Dominion,26-8,0.5381,0.5501 (74),15,8-5,0.5829,27,0.6050
90,90,Creighton,16-15,0.5375,0.5467 (85),171,6-6,0.4986,115,0.5271
91,91,Nevada-Las Vegas,24-8,0.5372,0.5350 (107),199,11-2,0.4878,48,0.5838
92,92,La Salle,12-18,0.5369,0.5433 (94),113,8-6,0.5191,173,0.5012
93,93,Colorado State,15-15,0.5367,0.5420 (96),187,8-5,0.4926,119,0.5255
94,94,Kent State,22-9,0.5367,0.5510 (72),27,9-5,0.5658,47,0.5843
95,95,Northeastern,20-12,0.5366,0.5473 (82),11,5-7,0.5880,75,0.5595
96,96,Cleveland State,14-17,0.5359,0.5483 (78),10,3-8,0.5881,165,0.5049
97,97,Louisiana State,11-20,0.5352,0.5346 (108),225,9-5,0.4770,223,0.4653
98,98,Charlotte,19-12,0.5351,0.5358 (106),137,10-4,0.5128,77,0.5548
99,99,Tulsa,22-11,0.5346,0.5440 (93),135,10-4,0.5139,68,0.5652
100,100,Utah State,26-7,0.5334,0.5446 (91),97,10-4,0.5232,30,0.6022
101,101,Alabama-Birmingham,23-8,0.5329,0.5403 (99),94,12-2,0.5240,45,0.5851
102,102,Fordham,2-26,0.5321,0.5404 (98),201,2-10,0.4869,306,0.4108
103,103,Drake,14-19,0.5309,0.5385 (102),250,6-7,0.4671,178,0.4969
104,104,Air Force,8-21,0.5305,0.5389 (101),244,6-5,0.4696,245,0.4521
105,105,Wichita State,24-9,0.5304,0.5342 (110),284,10-2,0.4532,43,0.5877
106,106,Houston,18-15,0.5292,0.5346 (109),141,7-6,0.5120,110,0.5298
107,107,Saint Louis,19-11,0.5289,0.5289 (113),226,8-5,0.4757,87,0.5471
108,108,Miami (FL),19-13,0.5287,0.5288 (114),346,13-0,0.3877,99,0.5402
109,109,Long Beach State,15-16,0.5282,0.5444 (92),2,5-7,0.6140,111,0.5292
110,110,William & Mary,21-10,0.5282,0.5359 (105),29,7-3,0.5622,58,0.5733
111,111,Texas-El Paso,26-6,0.5278,0.5326 (111),173,9-4,0.4972,38,0.5944
112,112,Northern Iowa,28-4,0.5271,0.5252 (120),239,10-1,0.4715,17,0.6210
113,113,Ohio,20-14,0.5264,0.5366 (104),69,9-5,0.5318,95,0.5420
114,114,Marshall,20-9,0.5258,0.5307 (112),71,9-3,0.5308,67,0.5659
115,115,St. Bonaventure,14-16,0.5258,0.5224 (123),132,6-6,0.5144,156,0.5076
116,116,Brigham Young,28-5,0.5252,0.5198 (125),196,14-1,0.4897,23,0.6125
117,117,Hawai'i,9-20,0.5242,0.5378 (103),158,6-7,0.5041,253,0.4447
118,118,Gonzaga,25-6,0.5241,0.5254 (117),60,12-3,0.5382,36,0.5963
119,119,East Carolina,7-21,0.5235,0.5276 (115),46,3-8,0.5457,231,0.4585
120,120,St. Mary's,25-5,0.5210,0.5241 (122),72,12-2,0.5305,35,0.5968
121,121,Fresno State,14-18,0.5194,0.5254 (118),193,7-8,0.4900,190,0.4903
122,122,San Francisco,10-18,0.5193,0.5252 (119),106,3-10,0.5212,205,0.4769
123,123,Siena,27-6,0.5175,0.5209 (124),70,7-5,0.5315,31,0.6022
124,124,Portland,19-10,0.5174,0.5181 (128),80,8-5,0.5275,79,0.5541
125,125,Evansville,8-21,0.5174,0.5171 (129),328,5-5,0.4273,250,0.4482
126,126,Missouri State,20-12,0.5169,0.5136 (133),254,11-1,0.4654,90,0.5449
127,127,San Jose State,13-17,0.5168,0.5257 (116),210,7-6,0.4832,176,0.4985
128,128,Oregon State,14-17,0.5166,0.5106 (146),307,6-6,0.4443,185,0.4954
129,129,Southern Methodist,12-17,0.5150,0.5192 (126),221,5-7,0.4796,208,0.4752
130,130,UNC Greensboro,8-23,0.5149,0.5249 (121),12,1-10,0.5870,249,0.4482
131,131,Southern Illinois,14-15,0.5144,0.5123 (139),296,8-2,0.4475,170,0.5018
132,132,Northwestern,20-13,0.5141,0.5051 (156),287,12-1,0.4525,116,0.5268
133,133,Virginia Tech,23-8,0.5136,0.5007 (162),339,13-1,0.4189,59,0.5732
134,134,Washington State,15-15,0.5126,0.5004 (164),278,9-2,0.4567,172,0.5015
135,135,Illinois State,22-10,0.5125,0.5104 (148),326,10-2,0.4318,76,0.5586
136,136,Virginia Commonwealth,22-9,0.5122,0.5115 (142),99,9-1,0.5229,66,0.5671
137,137,Drexel,16-16,0.5116,0.5116 (141),91,5-8,0.5246,146,0.5141
138,138,Idaho,13-16,0.5112,0.5108 (145),238,7-5,0.4724,174,0.5001
139,139,Santa Clara,9-21,0.5111,0.5186 (127),98,6-9,0.5231,233,0.4568
140,140,Southern Mississippi,16-13,0.5111,0.5134 (135),247,6-4,0.4678,113,0.5278
141,141,Wright State,20-12,0.5110,0.5135 (134),168,7-5,0.5003,80,0.5539
142,142,San Diego,10-21,0.5097,0.5091 (150),130,6-9,0.5148,230,0.4597
143,143,Central Florida,14-17,0.5097,0.5051 (157),190,7-6,0.4913,191,0.4902
144,144,Valparaiso,12-17,0.5094,0.5114 (143),156,2-8,0.5051,186,0.4940
145,145,UNC Wilmington,9-22,0.5093,0.5091 (149),107,4-8,0.5210,237,0.4555
146,146,Rider,17-16,0.5091,0.5144 (132),166,7-6,0.5005,139,0.5170
147,147,Youngstown State,6-22,0.5089,0.5144 (131),140,4-5,0.5120,271,0.4324
148,148,Western Michigan,17-15,0.5071,0.5126 (138),40,7-6,0.5511,150,0.5130
149,149,Davidson,14-15,0.5067,0.5127 (137),33,3-7,0.5576,179,0.4968
150,150,Buffalo,17-12,0.5066,0.5119 (140),88,7-4,0.5253,108,0.5307
151,151,Weber State,18-10,0.5058,0.5168 (130),16,4-6,0.5815,85,0.5475
152,152,Austin Peay,15-15,0.5053,0.5105 (147),13,4-7,0.5864,162,0.5059
153,153,Niagara,18-15,0.5048,0.5079 (152),189,8-5,0.4915,134,0.5191
154,154,George Washington,16-14,0.5039,0.4956 (170),316,10-3,0.4394,148,0.5134
155,155,Iona,21-10,0.5035,0.5036 (158),143,9-3,0.5105,86,0.5471
156,156,Oakland,24-8,0.5027,0.5134 (136),8,4-7,0.5909,52,0.5791
157,157,UW Green Bay,19-12,0.5019,0.5012 (160),114,7-4,0.5191,107,0.5312
158,158,Akron,23-10,0.5018,0.4970 (168),212,9-5,0.4821,89,0.5457
159,159,Hofstra,18-14,0.5013,0.4933 (176),126,7-5,0.5160,145,0.5145
160,160,Morehead State,21-10,0.5006,0.5111 (144),28,4-6,0.5627,84,0.5488
161,161,Toledo,3-28,0.5004,0.5004 (163),134,2-12,0.5140,324,0.3912
162,162,Manhattan,11-20,0.4997,0.5054 (154),216,6-5,0.4811,226,0.4640
163,163,Bowling Green,13-16,0.4996,0.4951 (171),232,7-5,0.4739,189,0.4908
164,164,George Mason,17-14,0.4991,0.4910 (180),197,5-7,0.4886,158,0.5075
165,165,UW Milwaukee,18-14,0.4988,0.4933 (175),205,6-5,0.4854,130,0.5208
166,166,Arkansas-Little Rock,6-22,0.4976,0.5070 (153),18,2-7,0.5758,301,0.4127
167,167,Marist,1-29,0.4974,0.5052 (155),249,0-11,0.4675,334,0.3784
168,168,Georgia Southern,7-23,0.4962,0.5003 (165),162,1-10,0.5026,288,0.4242
169,169,East Tennessee State,19-14,0.4961,0.5080 (151),3,3-7,0.6107,121,0.5246
170,170,Louisiana Tech,23-10,0.4946,0.4858 (190),297,13-2,0.4475,78,0.5547
171,171,Fairfield,22-10,0.4945,0.4984 (167),274,7-4,0.4578,81,0.5530
172,172,Troy,17-12,0.4945,0.4986 (166),57,2-6,0.5388,109,0.5303
173,173,Pepperdine,6-23,0.4941,0.4866 (189),252,3-11,0.4666,303,0.4119
174,174,UIC,7-22,0.4932,0.4851 (193),245,4-6,0.4685,291,0.4224
175,175,College of Charleston,21-11,0.4929,0.4946 (173),66,6-6,0.5336,91,0.5443
176,176,Tulane,8-22,0.4928,0.4855 (191),263,5-8,0.4624,282,0.4278
177,177,Texas A&M-Corpus Christi,14-15,0.4922,0.5035 (159),136,3-8,0.5133,166,0.5033
178,178,Eastern Washington,7-21,0.4921,0.5008 (161),87,2-10,0.5255,279,0.4295
179,179,IU-Purdue Indianapolis,22-10,0.4919,0.4927 (177),39,5-6,0.5521,83,0.5499
180,180,Boise State,14-17,0.4918,0.4845 (195),327,9-5,0.4281,203,0.4773
181,181,Portland State,11-19,0.4908,0.4951 (172),101,3-9,0.5215,217,0.4700
182,182,Georgia State,11-20,0.4904,0.4883 (187),258,6-6,0.4637,248,0.4485
183,183,Appalachian State,20-11,0.4901,0.4888 (183),50,5-5,0.5432,101,0.5380
184,184,Idaho State,5-22,0.4901,0.4886 (185),111,1-10,0.5193,305,0.4112
185,185,Tennessee Tech,13-17,0.4890,0.4894 (181),78,4-6,0.5279,196,0.4825
186,186,Oral Roberts,19-13,0.4885,0.4874 (188),41,5-7,0.5505,126,0.5235
187,187,Western Kentucky,21-13,0.4878,0.4849 (194),85,7-6,0.5256,132,0.5195
188,188,Tennessee State,9-23,0.4871,0.4893 (182),170,3-10,0.4988,260,0.4407
189,189,Loyola-Marymount,17-15,0.4867,0.4795 (204),229,8-7,0.4746,175,0.5001
190,190,Florida International,6-25,0.4866,0.4937 (174),206,2-10,0.4850,296,0.4174
191,191,Binghamton,11-18,0.4860,0.4920 (179),96,3-10,0.5233,229,0.4607
192,192,CS Northridge,11-21,0.4852,0.4886 (184),157,5-10,0.5045,251,0.4466
193,193,Boston University,19-13,0.4852,0.4854 (192),105,6-7,0.5213,140,0.5168
194,194,UC Santa Barbara,19-9,0.4850,0.4836 (196),92,5-5,0.5244,94,0.5420
195,195,Samford,8-20,0.4847,0.4800 (203),90,3-6,0.5252,262,0.4382
196,196,UNC Asheville,12-16,0.4845,0.4960 (169),7,0-8,0.5920,219,0.4699
197,197,The Citadel,14-16,0.4842,0.4832 (199),103,4-6,0.5213,198,0.4812
198,198,Elon,8-23,0.4834,0.4835 (197),174,2-9,0.4964,269,0.4340
199,199,Sam Houston State,21-7,0.4833,0.4884 (186),100,4-5,0.5217,70,0.5629
200,200,Loyola-Chicago,12-16,0.4830,0.4672 (229),270,7-2,0.4594,213,0.4717
201,201,Mount St. Mary's,16-15,0.4826,0.4923 (178),25,3-8,0.5660,171,0.5015
202,202,St. Peter's,16-14,0.4826,0.4795 (205),309,5-6,0.4419,180,0.4965
203,203,Wofford,25-8,0.4826,0.4731 (211),118,7-5,0.5183,69,0.5635
204,204,Towson,10-21,0.4824,0.4700 (220),251,3-8,0.4669,264,0.4377
205,205,Cornell,25-4,0.4817,0.4774 (209),127,12-3,0.5157,46,0.5844
206,206,Montana,20-9,0.4815,0.4825 (201),179,7-3,0.4949,97,0.5411
207,207,Rice,7-23,0.4806,0.4689 (223),273,6-7,0.4579,311,0.4064
208,208,Detroit,19-14,0.4782,0.4656 (234),323,8-4,0.4337,167,0.5027
209,209,Pacific,20-11,0.4779,0.4677 (228),175,8-6,0.4962,128,0.5217
210,210,Pennsylvania,6-22,0.4779,0.4731 (210),233,1-13,0.4735,299,0.4136
211,211,James Madison,13-20,0.4775,0.4671 (231),343,8-5,0.4169,241,0.4526
212,212,Northern Illinois,10-20,0.4769,0.4687 (225),234,4-9,0.4733,261,0.4385
213,213,Brown,9-20,0.4767,0.4791 (206),217,4-11,0.4808,257,0.4431
214,214,Loyola-Maryland,13-17,0.4764,0.4700 (219),310,7-4,0.4418,215,0.4705
215,215,Ball State,14-15,0.4763,0.4641 (238),219,6-6,0.4798,220,0.4697
216,216,Western Carolina,19-11,0.4763,0.4636 (240),53,7-3,0.5402,122,0.5246
217,217,Florida Atlantic,12-16,0.4761,0.4723 (212),181,2-7,0.4940,218,0.4700
218,218,Belmont,19-12,0.4760,0.4791 (207),36,5-5,0.5537,135,0.5184
219,219,Albany,7-25,0.4756,0.4805 (202),182,5-10,0.4936,300,0.4132
220,220,Southern Ill-Edwardsville,3-23,0.4754,0.4829 (200),227,3-23,0.4754,322,0.3949
221,221,Holy Cross,9-22,0.4753,0.4833 (198),180,3-12,0.4942,274,0.4313
222,222,Chattanooga,13-18,0.4750,0.4691 (222),152,6-5,0.5063,238,0.4551
223,223,Mercer,14-17,0.4741,0.4716 (214),129,2-6,0.5150,221,0.4687
224,224,Canisius,15-17,0.4738,0.4647 (237),314,6-6,0.4400,206,0.4769
225,225,Eastern Kentucky,18-12,0.4735,0.4710 (216),167,7-4,0.5004,155,0.5103
226,226,South Carolina Upstate,6-23,0.4735,0.4717 (213),81,0-9,0.5270,307,0.4107
227,227,Central Michigan,14-15,0.4731,0.4648 (236),243,5-7,0.4696,195,0.4829
228,228,Northern Arizona,12-14,0.4723,0.4621 (243),208,4-5,0.4837,197,0.4813
229,229,Middle Tennessee State,17-13,0.4719,0.4678 (227),186,4-7,0.4927,177,0.4971
230,230,Denver,19-13,0.4718,0.4710 (215),79,7-4,0.5278,164,0.5051
231,231,Eastern Illinois,17-12,0.4718,0.4703 (218),265,5-4,0.4619,169,0.5023
232,232,Montana State,13-14,0.4713,0.4629 (241),183,3-7,0.4930,200,0.4795
233,233,Dartmouth,4-23,0.4713,0.4791 (208),248,3-10,0.4676,335,0.3782
234,234,Nicholls State,8-18,0.4711,0.4687 (224),138,1-8,0.5126,277,0.4302
235,235,Southern Utah,5-22,0.4709,0.4691 (221),133,2-7,0.5141,328,0.3895
236,236,CS Fullerton,14-15,0.4704,0.4648 (235),172,5-6,0.4973,204,0.4770
237,237,Southeast Missouri State,6-23,0.4703,0.4623 (242),220,3-8,0.4798,312,0.4031
238,238,Radford,17-12,0.4702,0.4670 (232),24,3-6,0.5669,168,0.5026
239,239,Eastern Michigan,15-15,0.4690,0.4601 (245),268,6-6,0.4608,201,0.4786
240,240,Winthrop,17-13,0.4684,0.4680 (226),122,2-7,0.5177,160,0.5065
241,241,Tennessee-Martin,2-25,0.4676,0.4584 (251),262,1-8,0.4624,338,0.3635
242,242,South Dakota State,12-16,0.4671,0.4593 (249),154,2-7,0.5058,234,0.4564
243,243,Presbyterian,4-26,0.4668,0.4600 (246),83,2-10,0.5259,329,0.3858
244,244,North Florida,12-18,0.4662,0.4636 (239),120,4-5,0.5179,236,0.4558
245,245,UC Riverside,10-17,0.4653,0.4562 (256),256,5-6,0.4646,255,0.4440
246,246,Arkansas State,15-14,0.4651,0.4574 (254),223,3-6,0.4779,202,0.4785
247,247,South Alabama,15-15,0.4646,0.4555 (260),285,6-4,0.4530,211,0.4734
248,248,Va. Military Inst.,6-19,0.4646,0.4656 (233),47,1-5,0.5454,310,0.4092
249,249,North Dakota State,9-18,0.4645,0.4600 (247),202,1-7,0.4859,268,0.4354
250,250,Jacksonville State,9-19,0.4641,0.4531 (266),303,2-7,0.4454,297,0.4149
251,251,Jacksonville,19-12,0.4639,0.4580 (253),108,4-5,0.5209,143,0.5152
252,252,Columbia,11-17,0.4637,0.4671 (230),259,6-8,0.4631,252,0.4466
253,253,UC Davis,12-18,0.4636,0.4558 (258),318,3-9,0.4369,244,0.4522
254,254,Fairleigh Dickinson,11-21,0.4632,0.4707 (217),121,1-12,0.5178,270,0.4325
255,255,New Hampshire,12-17,0.4630,0.4606 (244),271,5-6,0.4584,242,0.4523
256,256,Sacramento State,7-21,0.4617,0.4561 (257),269,4-8,0.4607,302,0.4126
257,257,Gardner-Webb,5-21,0.4617,0.4547 (262),76,0-8,0.5285,318,0.3982
258,258,Robert Morris,23-11,0.4613,0.4565 (255),131,5-8,0.5145,129,0.5216
259,259,Texas State,11-16,0.4610,0.4528 (269),315,2-8,0.4396,243,0.4523
260,260,Liberty,12-16,0.4609,0.4557 (259),86,2-7,0.5255,232,0.4576
261,261,Hartford,8-22,0.4608,0.4552 (261),281,2-11,0.4558,304,0.4118
262,262,,6-21,0.4603,0.4531 (265),200,3-6,0.4876,314,0.4024
263,263,Murray State,28-4,0.4603,0.4493 (275),292,8-3,0.4499,57,0.5749
264,264,Louisiana-Monroe,10-19,0.4599,0.4529 (268),291,3-6,0.4501,273,0.4315
265,265,Harvard,20-7,0.4591,0.4458 (279),240,10-3,0.4714,100,0.5381
266,266,Maine,18-11,0.4591,0.4526 (270),213,7-5,0.4820,154,0.5110
267,267,Stetson,5-22,0.4586,0.4529 (267),203,0-7,0.4858,326,0.3899
268,268,Texas-Arlington,12-14,0.4583,0.4600 (248),319,4-5,0.4368,235,0.4563
269,269,Longwood,8-19,0.4581,0.4580 (252),272,8-19,0.4581,286,0.4261
270,270,North Texas,22-8,0.4578,0.4504 (272),169,6-3,0.5003,104,0.5362
271,271,Lamar,10-18,0.4571,0.4497 (273),295,5-7,0.4476,292,0.4216
272,272,Louisiana-Lafayette,12-16,0.4565,0.4454 (280),298,2-7,0.4472,246,0.4515
273,273,Seattle,17-14,0.4561,0.4433 (285),280,17-14,0.4561,192,0.4868
274,274,Yale,11-19,0.4556,0.4495 (274),311,5-11,0.4417,267,0.4364
275,275,Arkansas-Pine Bluff,17-15,0.4554,0.4544 (263),4,0-11,0.6007,183,0.4958
276,276,North Carolina A&T,8-22,0.4548,0.4532 (264),112,1-11,0.5192,298,0.4142
277,277,,6-22,0.4545,0.4452 (281),336,3-6,0.4231,323,0.3917
278,278,Cal Poly,12-19,0.4538,0.4389 (293),324,4-9,0.4330,256,0.4432
279,279,Colgate,10-19,0.4538,0.4523 (271),289,4-10,0.4509,290,0.4230
280,280,Campbell,17-11,0.4524,0.4441 (283),230,3-4,0.4745,182,0.4961
281,281,Wagner,5-26,0.4519,0.4589 (250),253,2-11,0.4665,331,0.3808
282,282,Indiana-Purdue Ft. Wayne,14-15,0.4516,0.4374 (296),305,4-5,0.4444,224,0.4647
283,283,St. Francis (PA),11-19,0.4511,0.4467 (278),160,2-9,0.5031,287,0.4252
284,284,Southeast Louisiana,15-12,0.4509,0.4467 (277),242,4-5,0.4700,193,0.4853
285,285,Norfolk State,11-19,0.4504,0.4483 (276),146,2-11,0.5085,266,0.4367
286,286,Texas-San Antonio,16-11,0.4503,0.4393 (291),302,7-3,0.4458,187,0.4922
287,287,Kennesaw State,11-20,0.4499,0.4372 (297),294,3-6,0.4485,284,0.4268
288,288,CS Bakersfield,7-22,0.4498,0.4346 (300),293,7-22,0.4498,317,0.3983
289,289,Charleston Southern,9-17,0.4495,0.4393 (292),164,2-5,0.5019,285,0.4264
290,290,Princeton,19-8,0.4491,0.4338 (301),312,8-5,0.4414,133,0.5191
291,291,Maryland-Baltimore County,4-26,0.4490,0.4420 (287),344,1-12,0.4168,333,0.3805
292,292,Morgan State,27-9,0.4484,0.4427 (286),177,9-8,0.4958,103,0.5378
293,293,Delaware State,14-12,0.4470,0.4450 (282),117,2-6,0.5183,214,0.4716
294,294,Long Island,14-17,0.4470,0.4440 (284),150,2-9,0.5068,240,0.4531
295,295,Lipscomb,16-13,0.4464,0.4301 (309),257,2-6,0.4643,207,0.4766
296,296,Missouri-Kansas City,10-18,0.4462,0.4320 (305),330,4-5,0.4257,281,0.4279
297,297,,8-17,0.4461,0.4375 (295),300,8-17,0.4461,293,0.4215
298,298,Stephen F. Austin,20-9,0.4456,0.4357 (299),275,7-3,0.4570,151,0.5125
299,299,Central Arkansas,6-20,0.4456,0.4378 (294),264,3-7,0.4621,320,0.3957
300,300,Lehigh,22-10,0.4455,0.4414 (289),301,9-6,0.4460,152,0.5122
301,301,UC Irvine,12-18,0.4446,0.4277 (311),332,6-7,0.4244,276,0.4311
302,302,Western Illinois,10-17,0.4441,0.4322 (304),329,4-4,0.4260,280,0.4285
303,303,American,11-20,0.4432,0.4309 (307),338,3-12,0.4201,295,0.4193
304,304,Alcorn State,2-29,0.4427,0.4415 (288),53,0-13,0.5402,344,0.3435
