,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,North Carolina 1,ACC,31-7,+31.37,121.0,89.6,72.4,-.046,+10.95,111.0,100.1,+3.10
1,2,Florida 1,SEC,35-5,+30.81,122.8,92.0,65.8,+.028,+8.73,109.1,100.3,-6.87
2,3,Ohio St. 1,B10,35-4,+29.33,121.0,91.7,64.9,+.057,+9.82,109.0,99.2,-1.71
3,4,Georgetown 2,BE,30-7,+28.48,122.0,93.5,59.4,+.006,+10.41,109.7,99.3,-1.02
4,5,Kansas 1,B12,33-5,+27.81,115.3,87.5,68.7,+.031,+6.86,108.1,101.2,-0.93
5,6,UCLA 2,P10,30-6,+27.15,115.4,88.3,63.7,+.019,+11.08,111.0,99.9,+5.93
6,7,Texas A&M 3,B12,27-7,+26.97,119.3,92.3,63.7,-.047,+5.38,106.7,101.4,-5.98
7,8,Wisconsin 2,B10,30-6,+25.45,115.6,90.1,63.8,+.034,+7.78,108.1,100.3,-1.57
8,9,Memphis 2,CUSA,33-4,+24.81,115.4,90.6,68.4,+.030,+2.93,105.3,102.4,+3.41
9,10,Duke 6,ACC,22-11,+23.30,113.2,89.9,64.5,-.074,+11.30,110.7,99.4,+3.88
10,11,Pittsburgh 3,BE,29-8,+22.90,118.1,95.2,62.2,+.033,+9.54,109.6,100.1,+0.72
11,12,Maryland 4,ACC,25-9,+22.42,112.4,90.0,71.4,-.027,+8.48,108.9,100.4,-3.07
12,13,Kentucky 8,SEC,22-12,+21.73,117.0,95.3,65.8,-.029,+13.23,111.0,97.8,+8.21
13,14,Indiana 7,B10,21-11,+21.58,115.4,93.8,64.9,-.058,+9.96,108.5,98.5,+1.51
14,15,Butler 5,Horz,29-7,+21.45,118.0,96.5,58.1,+.016,+4.77,106.6,101.8,+6.61
15,16,Southern Illinois 4,MVC,29-7,+21.03,109.8,88.8,61.0,+.017,+10.19,110.2,100.0,+7.30
16,17,Michigan St. 9,B10,23-12,+20.97,112.8,91.8,60.3,-.036,+9.07,109.2,100.2,-1.63
17,18,Oregon 3,P10,29-8,+20.76,118.3,97.6,66.0,+.031,+7.19,108.0,100.8,-9.09
18,19,Louisville 6,BE,24-10,+20.35,113.5,93.1,64.2,-.046,+7.29,107.9,100.6,-3.61
19,20,Air Force 1,MWC,26-9,+20.20,116.5,96.3,57.5,-.021,+3.24,106.5,103.2,-1.91
20,21,Villanova 9,BE,22-11,+20.11,113.4,93.3,65.8,-.036,+11.02,110.5,99.5,+2.82
21,22,Notre Dame 6,BE,24-8,+20.02,118.1,98.1,70.7,-.018,+4.03,105.9,101.9,-13.12
22,23,Georgia Tech 10,ACC,20-12,+19.61,116.9,97.3,67.2,-.067,+9.63,109.5,99.9,-3.11
23,24,Arizona 8,P10,20-11,+19.43,119.5,100.1,68.3,-.009,+12.20,110.4,98.2,+10.23
24,25,Texas 4,B12,25-10,+19.24,119.5,100.3,67.6,-.008,+7.56,108.1,100.6,-2.00
25,26,Mississippi St. 1,SEC,21-14,+19.03,113.5,94.5,69.6,-.114,+8.60,109.3,100.6,-1.61
26,27,Washington St. 3,P10,26-8,+18.87,111.7,92.8,60.0,+.004,+6.79,107.6,100.9,-4.96
27,28,Creighton 10,MVC,22-11,+18.53,113.8,95.3,62.7,-.023,+8.84,108.3,99.4,+4.10
28,29,Clemson 1,ACC,25-11,+18.46,112.3,93.9,66.4,-.009,+8.85,109.8,100.9,-3.81
29,30,Purdue 9,B10,22-12,+18.31,110.7,92.4,66.5,+.002,+9.37,109.8,100.4,+1.08
30,31,Tennessee 5,SEC,24-11,+18.29,115.9,97.6,71.3,+.035,+10.57,110.3,99.8,+1.81
31,32,Xavier 9,A10,25-9,+18.13,117.3,99.2,66.2,-.047,+2.83,106.5,103.6,+3.40
32,33,West Virginia 1,BE,27-9,+18.06,116.5,98.5,63.2,+.021,+5.32,107.0,101.7,-6.55
33,34,Florida St. 2,ACC,22-13,+17.79,116.2,98.4,66.2,-.007,+9.72,109.7,100.0,-3.30
34,35,Missouri St. 3,MVC,22-11,+17.51,113.4,95.9,67.7,-.029,+7.70,108.3,100.6,+1.37
35,36,Illinois 12,B10,23-12,+17.50,107.3,89.8,62.0,-.017,+8.06,108.4,100.4,-0.20
36,37,Virginia Tech 5,ACC,22-12,+17.38,112.4,95.0,63.7,-.004,+9.85,109.9,100.1,+0.79
37,38,Marquette 8,BE,24-10,+17.18,111.8,94.6,67.6,+.009,+7.59,108.3,100.7,-4.27
38,39,USC 5,P10,25-12,+16.86,111.0,94.2,67.1,+.016,+8.26,108.3,100.0,-6.62
39,40,Syracuse 2,BE,24-11,+16.84,112.0,95.2,70.4,-.066,+5.78,106.3,100.5,-3.80
40,41,UNLV 7,MWC,30-7,+16.83,112.6,95.8,65.2,+.098,+5.61,109.1,103.5,+2.29
41,42,Arkansas 12,SEC,21-14,+16.62,110.6,93.9,66.1,-.021,+10.10,110.3,100.2,+1.28
42,43,Vanderbilt 6,SEC,22-12,+16.23,115.7,99.4,66.6,+.008,+9.34,109.5,100.2,-2.74
43,44,Boston College 7,ACC,21-12,+16.18,117.3,101.1,64.3,+.026,+10.36,110.7,100.4,-2.41
44,45,Akron,MAC,26-7,+16.15,115.2,99.1,63.8,-.056,-1.65,102.8,104.5,-4.55
45,46,BYU 8,MWC,25-9,+16.11,116.7,100.6,67.6,+.001,+4.24,106.8,102.5,-0.30
46,47,Nevada 7,WAC,29-5,+16.09,117.2,101.2,66.3,+.030,+1.98,104.2,102.2,+1.53
47,48,Virginia 4,ACC,21-11,+15.43,114.1,98.7,67.9,+.006,+8.27,109.2,100.9,-4.35
48,49,Gonzaga 10,WCC,23-11,+15.31,115.3,100.0,67.1,-.032,+4.15,106.7,102.5,+9.52
49,50,DePaul 3,BE,20-14,+15.27,111.5,96.3,62.4,-.018,+9.86,109.6,99.7,+4.94
50,51,Winthrop 11,BSth,29-5,+14.81,112.9,98.0,61.9,+.055,-2.71,103.1,105.8,+15.06
51,52,VCU 11,CAA,28-7,+14.55,116.6,102.0,65.5,+.002,+0.20,104.2,104.0,+0.25
52,53,Bradley 4,MVC,22-13,+14.35,115.9,101.5,67.8,+.026,+9.00,108.8,99.8,+3.61
53,54,LSU,SEC,17-15,+14.35,107.8,93.5,63.1,-.096,+8.55,109.1,100.5,-1.46
54,55,Georgia 4,SEC,19-14,+14.30,111.0,96.7,67.4,-.031,+10.49,110.2,99.7,-3.46
55,56,Connecticut,BE,17-14,+13.78,104.0,90.2,68.4,-.110,+5.20,106.9,101.7,-5.45
56,57,Kansas St. 2,B12,23-12,+13.71,109.3,95.6,65.8,+.026,+5.58,107.5,101.9,-1.68
57,58,Oklahoma,B12,16-15,+13.68,107.4,93.8,62.8,-.133,+6.72,107.5,100.8,-4.67
58,59,Michigan 3,B10,22-13,+13.53,108.9,95.3,63.1,+.037,+7.14,107.8,100.6,-4.86
59,60,Mississippi 4,SEC,21-13,+13.49,112.7,99.2,67.2,+.017,+7.75,108.1,100.3,-6.63
60,61,Davidson 13,SC,29-5,+13.32,111.8,98.5,71.9,+.067,-1.70,103.2,104.9,+4.64
61,62,Alabama 5,SEC,20-12,+13.04,114.7,101.6,65.3,+.019,+8.15,108.3,100.2,-4.84
62,63,Missouri,B12,18-12,+12.78,111.4,98.6,72.0,-.054,+4.71,105.7,101.0,-3.93
63,64,Old Dominion 12,CAA,24-9,+12.70,108.6,95.9,65.8,+.013,+0.84,105.6,104.8,+0.64
64,65,Wichita St.,MVC,17-14,+12.42,111.1,98.7,63.4,-.071,+8.38,109.5,101.1,+1.66
65,66,Stanford 11,P10,18-13,+12.37,109.7,97.3,65.9,+.028,+9.50,109.2,99.7,-0.33
66,67,Massachusetts 4,A10,24-9,+12.36,109.1,96.8,70.6,+.009,+0.96,106.2,105.3,+0.17
67,68,Washington,P10,19-13,+12.17,113.2,101.0,69.2,+.018,+6.92,108.2,101.2,-5.49
68,69,Northern Iowa,MVC,18-13,+11.43,109.0,97.6,61.6,-.014,+8.01,109.7,101.7,+0.69
69,70,Iowa,B10,17-14,+11.06,110.6,99.6,66.5,-.006,+7.48,107.2,99.7,-2.56
70,71,Texas Tech 10,B12,21-13,+10.98,112.2,101.3,64.9,+.056,+7.79,108.3,100.5,+2.29
71,72,Providence 5,BE,18-13,+10.93,111.8,100.8,68.6,-.024,+5.39,107.5,102.1,-5.62
72,73,Drexel 3,CAA,23-9,+10.65,103.5,92.9,64.4,+.051,+2.55,106.6,104.1,+9.56
73,74,Oklahoma St. 2,B12,22-13,+10.63,109.2,98.6,65.4,+.044,+6.66,108.1,101.5,-2.47
74,75,North Carolina St. 6,ACC,20-16,+10.46,112.2,101.8,66.2,+.048,+9.67,109.3,99.7,-7.99
75,76,Appalachian St. 5,SC,25-8,+10.37,111.2,100.8,66.7,+.074,+0.67,104.7,104.0,+13.51
76,77,Santa Clara,WCC,21-10,+10.03,106.7,96.7,63.8,+.035,+1.46,105.7,104.3,+3.12
77,78,California,P10,16-17,+9.99,111.7,101.7,64.5,-.020,+9.68,109.1,99.4,+2.24
78,79,Hawaii,WAC,18-13,+9.87,104.5,94.6,69.2,-.094,+1.69,105.3,103.6,+1.43
79,80,San Diego St. 6,MWC,22-11,+9.87,104.4,94.6,69.0,+.052,+4.89,108.1,103.2,-1.93
80,81,Kent St.,MAC,21-11,+9.85,105.2,95.3,65.4,+.003,+1.80,105.5,103.7,+2.48
81,82,Nebraska,B12,17-14,+8.99,109.0,100.0,62.2,-.012,+6.80,107.1,100.3,-0.78
82,83,Evansville,MVC,14-17,+8.54,113.2,104.6,64.3,-.072,+6.32,108.4,102.1,-2.78
83,84,Loyola Chicago,Horz,21-11,+8.42,110.3,101.9,65.0,-.001,+1.02,105.2,104.2,-0.09
84,85,Auburn,SEC,17-15,+8.39,106.9,98.5,70.2,+.009,+7.94,109.0,101.1,-5.97
85,86,Illinois St.,MVC,15-16,+8.38,107.1,98.7,65.0,-.061,+6.37,107.6,101.3,-3.19
86,87,Miami OH 14,MAC,18-15,+8.38,105.7,97.4,58.1,-.024,+4.09,106.2,102.1,+6.44
87,88,Oral Roberts 14,MCon,23-11,+8.36,107.1,98.7,66.5,-.007,-0.93,104.9,105.8,+4.23
88,89,George Mason,CAA,18-15,+7.91,106.5,98.6,60.8,-.071,+1.18,105.1,103.9,+4.39
89,90,Utah St. 6,WAC,23-12,+7.82,111.2,103.4,63.5,+.039,+2.72,105.4,102.7,+0.15
90,91,Texas A&M Corpus Chris 15,Slnd,26-7,+7.76,114.1,106.4,68.1,+.057,-5.12,100.8,105.9,+2.12
91,92,Penn 14,Ivy,22-9,+7.69,109.8,102.1,67.9,+.047,-2.74,102.5,105.3,+1.14
92,93,Holy Cross 13,Pat,25-9,+7.40,103.0,95.6,62.5,+.025,-3.70,101.5,105.2,+0.98
93,94,Houston,CUSA,18-15,+7.30,107.1,99.8,68.8,-.023,+3.89,105.7,101.8,+4.48
94,95,George Washington 11,A10,23-9,+7.28,105.0,97.7,66.9,+.089,-0.57,104.7,105.3,-5.16
95,96,New Mexico St. 13,WAC,25-9,+7.27,108.3,101.1,69.7,+.035,-0.30,104.2,104.5,-3.75
96,97,Saint Joseph's,A10,18-14,+7.01,109.1,102.1,62.5,-.043,+2.47,106.6,104.1,+3.16
97,98,Bucknell,Pat,22-9,+6.83,106.6,99.7,61.3,-.001,-2.93,101.4,104.3,+3.81
