,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
53,54,Charlotte 7,CUSA,21-8,+12.15,111.6,99.5,70.6,+.042,+3.68,104.9,101.2,-1.74
54,55,Nevada 9,WAC,25-7,+12.11,104.0,91.8,65.7,+.045,+1.10,104.5,103.4,+0.35
55,56,Arkansas,SEC,18-12,+11.98,106.2,94.2,65.4,-.063,+2.84,104.9,102.1,-9.99
56,57,Clemson,ACC,16-16,+11.92,105.6,93.7,69.7,-.052,+9.70,107.5,97.8,-3.17
57,58,UTEP 11,WAC,27-8,+11.62,112.7,101.1,65.9,+.015,-0.68,102.2,102.9,-5.30
58,59,Notre Dame,BE,17-12,+11.54,109.9,98.3,64.3,-.041,+6.58,106.8,100.2,-8.10
59,60,Southwest Missouri St.,MVC,19-13,+11.42,108.2,96.8,68.8,-.044,+5.06,106.4,101.3,-1.68
60,61,Providence,BE,14-17,+11.36,111.2,99.8,68.7,-.092,+9.76,108.8,99.0,+3.08
61,62,DePaul,CUSA,20-11,+11.29,111.8,100.5,62.5,-.000,+3.70,104.7,101.0,-0.94
62,63,Western Michigan,MAC,20-13,+11.14,111.6,100.4,64.9,-.067,+3.27,105.3,102.0,+1.87
63,64,Miami OH,MAC,19-11,+11.08,106.0,94.9,60.7,+.008,+5.09,107.0,101.9,+7.16
64,65,Indiana,B10,15-14,+11.00,109.2,98.2,61.7,+.011,+9.93,107.2,97.2,+7.36
65,66,Holy Cross,Pat,25-7,+10.97,104.7,93.8,63.5,+.012,-4.27,99.2,103.4,+0.39
66,67,Miami FL,ACC,16-13,+10.83,111.4,100.5,64.4,-.006,+7.50,106.7,99.2,-7.20
67,68,UCLA 11,P10,18-11,+10.74,107.8,97.1,69.2,+.036,+6.73,106.7,100.0,-0.43
68,69,Stanford 8,P10,18-13,+10.63,106.6,95.9,67.1,+.049,+8.47,107.5,99.1,+4.14
69,70,Arizona St.,P10,18-14,+10.32,111.1,100.8,68.6,-.050,+5.16,105.6,100.5,-4.68
70,71,Kansas St.,B12,17-12,+10.14,109.9,99.8,63.4,-.012,+6.41,106.2,99.8,-6.33
71,72,Akron,MAC,19-10,+10.10,106.0,95.9,66.2,-.014,+2.55,105.7,103.2,-1.97
72,73,Old Dominion 12,CAA,28-6,+10.04,104.7,94.6,66.4,+.049,-3.20,101.0,104.2,-3.98
