,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Kentucky 1,SEC,38-2,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06
1,2,Ohio St. 2,B10,31-8,+30.07,118.1,88.1,66.9,-.050,+10.10,108.9,98.8,-3.34
2,3,Michigan St. 1,B10,29-8,+27.87,114.7,86.9,64.3,-.027,+10.21,108.6,98.4,-1.07
3,4,Kansas 2,B12,32-7,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21
4,5,Syracuse 1,BE,34-3,+26.04,117.7,91.7,64.4,+.060,+7.98,107.0,99.0,-2.11
5,6,North Carolina 1,ACC,32-6,+25.44,116.1,90.7,70.9,+.016,+7.41,107.2,99.8,+1.89
6,7,Missouri 2,B12,30-5,+25.28,125.1,99.8,65.4,+.017,+5.80,105.7,99.9,-6.18
7,8,Wisconsin 4,B10,26-10,+24.09,113.7,89.6,57.5,-.018,+8.80,107.6,98.8,-3.88
8,9,Indiana 4,B10,27-9,+22.55,120.2,97.6,66.7,+.007,+8.41,107.4,99.0,-4.96
9,10,Florida 7,SEC,26-11,+22.47,120.4,98.0,64.2,-.043,+7.18,105.4,98.2,-1.67
10,11,Wichita St. 5,MVC,27-6,+22.36,116.1,93.8,65.7,-.017,+3.97,105.1,101.2,+3.50
11,12,Memphis 8,CUSA,26-9,+21.90,114.2,92.3,67.5,-.064,+5.10,104.9,99.8,+6.96
12,13,Baylor 3,B12,30-8,+21.29,116.0,94.7,65.6,+.059,+9.61,108.1,98.5,-2.70
13,14,Saint Louis 9,A10,26-8,+21.20,111.9,90.7,61.9,-.056,+4.36,105.0,100.6,-2.55
14,15,Georgetown 3,BE,24-9,+21.05,111.2,90.1,62.1,-.014,+8.32,107.3,99.0,-1.04
15,16,Vanderbilt 5,SEC,25-11,+20.90,115.6,94.7,64.7,-.048,+8.48,107.7,99.2,+3.03
16,17,Louisville 4,BE,30-10,+20.67,106.2,85.5,66.1,+.031,+10.06,108.6,98.6,+0.11
17,18,Marquette 3,BE,27-8,+20.22,111.5,91.3,70.0,+.042,+8.24,106.6,98.3,-0.95
18,19,Duke 2,ACC,27-7,+19.70,117.7,98.0,66.4,+.057,+8.18,107.3,99.1,+7.68
19,20,New Mexico 5,MWC,28-7,+19.45,110.8,91.4,65.5,+.003,+2.65,103.9,101.3,-4.16
20,21,Gonzaga 7,WCC,26-7,+18.39,113.1,94.7,64.8,-.018,+2.08,104.9,102.8,+1.05
21,22,Michigan 4,B10,24-10,+17.52,114.3,96.8,60.1,+.058,+10.65,109.0,98.3,-0.11
22,23,Kansas St. 8,B12,22-11,+17.52,109.8,92.3,66.5,-.024,+7.98,107.0,99.1,-3.29
23,24,Florida St. 3,ACC,25-10,+17.14,107.6,90.4,66.6,+.034,+7.54,106.9,99.4,+0.82
