,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Ohio St. 1,B10,34-3,+33.47,125.0,91.5,63.8,+.031,+8.82,108.9,100.0,-4.08
1,2,Duke 1,ACC,32-5,+28.42,119.7,91.3,68.6,+.017,+8.43,107.3,98.9,+3.48
2,3,Kansas 1,B12,35-3,+28.38,118.9,90.6,68.4,+.060,+7.75,108.2,100.5,-0.29
3,4,Pittsburgh 1,BE,28-6,+27.08,120.6,93.5,61.8,-.023,+8.17,107.6,99.4,-3.68
4,5,Texas 4,B12,28-8,+25.93,115.5,89.6,65.5,-.058,+7.61,107.5,99.9,+0.60
5,6,Wisconsin 4,B10,25-9,+25.84,122.3,96.5,56.9,-.003,+10.81,110.0,99.2,-3.58
6,7,Kentucky 4,SEC,29-9,+25.82,117.8,92.0,65.0,-.044,+9.81,108.4,98.5,+4.46
7,8,San Diego St. 2,MWC,34-3,+24.98,114.1,89.1,62.3,+.059,+7.48,107.6,100.1,+4.10
8,9,Purdue 3,B10,26-8,+24.79,115.9,91.1,66.0,+.007,+10.16,108.8,98.7,+1.21
9,10,Connecticut 3,BE,32-9,+23.93,115.8,91.9,64.5,+.048,+12.78,110.1,97.4,-0.77
10,11,Notre Dame 2,BE,27-7,+23.25,120.9,97.7,63.1,+.074,+9.92,108.2,98.3,-3.83
11,12,BYU 3,MWC,32-5,+23.22,117.5,94.3,70.2,+.055,+7.04,106.8,99.8,+3.59
12,13,Syracuse 3,BE,27-8,+22.49,114.9,92.4,64.6,+.032,+9.03,108.3,99.3,-2.31
13,14,Louisville 4,BE,25-10,+22.26,111.4,89.2,66.8,-.037,+8.77,108.3,99.5,-5.13
14,15,North Carolina 2,ACC,29-8,+22.18,111.8,89.6,70.6,+.064,+11.14,109.9,98.8,+6.01
15,16,Washington 7,P10,24-11,+21.69,117.7,96.0,69.9,-.099,+7.21,106.9,99.7,+1.07
