,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Kansas 1,B12,37-3,+35.21,120.9,85.7,66.8,+.012,+9.57,109.2,99.6,-1.41
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,86.5,68.1,+.012,+5.83,107.0,101.1,+5.45
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,91.9,72.5,+.050,+10.18,108.0,97.8,+1.50
3,4,UCLA 1,P10,35-4,+29.94,118.0,88.1,64.1,+.047,+10.03,109.3,99.3,-1.63
4,5,Wisconsin 3,B10,31-5,+26.68,113.5,86.8,61.1,+.043,+7.35,107.1,99.8,-0.19
5,6,Duke 2,ACC,28-6,+26.40,116.3,89.9,71.5,-.006,+10.06,109.1,99.0,+3.36
6,7,Georgetown 2,BE,28-6,+25.56,115.2,89.7,60.5,+.029,+8.48,108.2,99.8,-2.72
7,8,Louisville 3,BE,27-9,+25.41,113.1,87.7,65.3,-.057,+9.34,108.4,99.0,+0.79
8,9,Texas 2,B12,31-7,+25.09,120.6,95.5,63.9,+.044,+10.37,108.4,98.0,+0.04
9,10,Washington St. 4,P10,26-9,+24.32,115.1,90.8,58.3,-.004,+8.99,109.0,100.0,-6.51
10,11,Davidson 10,SC,29-7,+23.61,117.0,93.4,66.2,-.036,+3.36,105.2,101.8,+14.93
11,12,Stanford 3,P10,28-8,+22.75,113.6,90.9,63.4,+.040,+9.32,109.1,99.7,-6.32
12,13,Tennessee 2,SEC,31-5,+22.17,116.2,94.0,70.7,+.110,+9.58,109.4,99.8,+7.64
13,14,Marquette 6,BE,25-10,+22.16,115.3,93.1,66.6,-.027,+8.62,107.9,99.3,-6.37
14,15,Xavier 3,A10,30-7,+22.05,117.3,95.2,63.8,+.054,+6.94,108.1,101.2,+3.50
15,16,Clemson 5,ACC,24-10,+22.03,114.0,91.9,68.0,-.044,+9.53,109.3,99.8,+0.31
16,17,Drake 5,MVC,28-5,+21.46,120.0,98.5,62.9,+.011,+4.89,105.5,100.6,+0.11
17,18,West Virginia 7,BE,26-11,+21.29,114.6,93.3,63.8,-.019,+9.00,108.5,99.5,-1.98
18,19,Michigan St. 5,B10,27-9,+21.15,115.8,94.7,63.3,+.032,+8.71,108.2,99.5,+0.59
19,20,Butler 7,Horz,30-4,+19.97,116.2,96.2,59.5,+.002,+2.79,104.3,101.5,+5.43
