,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Florida 3,SEC,33-6,+28.28,117.9,89.7,66.9,-.011,+8.35,107.7,99.3,-8.46
1,2,Duke 1,ACC,32-4,+27.54,119.4,91.8,69.8,+.047,+10.51,108.1,97.6,+6.81
2,3,Texas 2,B12,30-7,+25.79,117.5,91.7,63.9,+.039,+7.79,106.1,98.3,-0.02
3,4,Connecticut 1,BE,30-4,+25.44,117.8,92.3,68.7,+.077,+8.98,107.4,98.4,-3.80
4,5,Villanova 1,BE,28-5,+24.59,116.3,91.7,65.6,+.080,+10.79,108.4,97.6,+3.17
5,6,Memphis 1,CUSA,33-4,+23.54,113.2,89.6,70.8,-.007,+3.89,103.9,100.0,+7.82
6,7,UCLA 2,P10,32-7,+23.40,112.7,89.3,61.6,+.020,+8.30,107.4,99.1,+1.60
7,8,Kansas 4,B12,25-8,+23.22,110.4,87.2,67.7,-.043,+6.03,106.0,99.9,-1.11
8,9,Illinois 4,B10,26-7,+23.20,114.5,91.3,62.1,-.019,+6.77,106.4,99.6,-4.52
9,10,North Carolina 3,ACC,23-8,+22.16,115.9,93.7,70.2,-.010,+9.10,107.6,98.6,-0.83
10,11,LSU 4,SEC,27-9,+22.00,109.8,87.8,67.5,+.008,+10.68,108.3,97.6,+1.75
11,12,Pittsburgh 5,BE,25-8,+21.72,112.4,90.6,64.6,-.031,+7.81,108.0,100.1,-6.92
12,13,Georgetown 7,BE,23-10,+21.29,116.5,95.2,57.8,-.026,+9.58,108.1,98.5,-1.83
13,14,Ohio St. 2,B10,26-6,+20.68,113.0,92.3,65.2,+.028,+6.74,107.0,100.3,-3.33
14,15,Washington 5,P10,26-7,+20.09,114.8,94.7,71.6,+.007,+5.21,105.5,100.3,-7.56
15,16,West Virginia 6,BE,22-11,+19.49,116.1,96.6,62.5,-.046,+10.37,108.4,98.0,-0.49
16,17,Tennessee 2,SEC,22-8,+19.44,116.6,97.2,71.1,+.012,+9.44,108.0,98.5,-0.74
17,18,Boston College 4,ACC,28-8,+18.65,117.8,99.2,61.5,+.024,+7.43,107.1,99.7,-5.69
18,19,South Carolina 3,SEC,23-15,+18.54,114.9,96.4,59.2,-.057,+10.30,108.4,98.1,+0.22
19,20,Arkansas 8,SEC,22-10,+18.47,112.2,93.8,66.0,-.062,+6.35,106.0,99.6,-4.78
20,21,Iowa 3,B10,25-9,+18.22,103.8,85.6,64.7,+.046,+7.86,107.7,99.9,-0.77
21,22,George Mason 11,CAA,27-8,+18.16,109.7,91.5,62.6,+.017,+4.11,105.3,101.2,+2.16
22,23,Arizona 8,P10,20-13,+17.23,112.2,95.0,67.7,-.037,+10.53,108.0,97.5,+9.27
23,24,Kentucky 8,SEC,22-13,+17.13,114.4,97.3,64.1,-.001,+10.02,108.2,98.2,+3.02
24,25,Bradley 13,MVC,22-11,+16.50,107.5,91.0,69.3,-.019,+6.94,105.4,98.5,-2.22
25,26,Wichita St. 7,MVC,26-9,+16.06,111.8,95.7,62.6,+.032,+6.03,104.7,98.7,+0.35
26,27,Michigan St. 6,B10,22-12,+16.02,116.3,100.3,64.2,+.004,+8.89,106.4,97.5,-1.03
27,28,Michigan 1,B10,22-11,+15.98,113.1,97.2,67.0,+.012,+7.94,106.7,98.8,-0.97
28,29,Notre Dame 5,BE,16-14,+15.97,117.3,101.4,64.2,-.145,+7.75,108.3,100.5,-4.54
29,30,North Carolina St. 10,ACC,22-10,+15.92,112.5,96.6,64.4,+.013,+6.74,107.1,100.3,-7.99
30,31,Texas A&M 12,B12,22-9,+15.90,106.7,90.8,63.0,-.008,+4.22,104.8,100.6,-12.20
31,32,Northern Iowa 10,MVC,23-10,+15.84,109.0,93.1,59.6,-.025,+6.18,104.4,98.2,+0.24
32,33,Gonzaga 3,WCC,29-4,+15.64,119.1,103.5,66.3,+.036,+4.38,104.4,100.0,+7.98
33,34,Indiana 6,B10,19-12,+15.53,110.0,94.4,66.5,-.012,+9.77,108.8,99.0,+2.17
34,35,Missouri St. 2,MVC,22-9,+15.52,111.0,95.5,68.6,+.039,+6.14,104.8,98.7,+1.80
35,36,Marquette 7,BE,20-11,+15.36,112.8,97.4,68.1,-.012,+8.82,108.6,99.8,-1.71
36,37,Nevada 5,WAC,27-6,+15.22,110.0,94.8,65.8,+.024,+1.90,103.6,101.7,+3.89
37,38,Florida St. 2,ACC,20-10,+15.01,110.1,95.1,68.3,-.033,+5.43,106.0,100.6,-11.70
38,39,Wisconsin 9,B10,19-12,+14.94,111.5,96.6,65.2,-.024,+7.96,106.6,98.6,+0.91
39,40,Air Force 13,MWC,24-7,+14.87,113.2,98.3,54.7,-.001,+0.57,102.8,102.2,-6.63
40,41,Saint Joseph's 2,A10,19-14,+14.84,109.8,95.0,61.9,-.064,+7.64,106.7,99.1,+12.40
41,42,UNC Wilmington 9,CAA,25-8,+14.77,107.2,92.4,62.6,-.006,+1.59,103.6,102.0,+0.11
42,43,George Washington 8,A10,27-3,+14.67,110.3,95.6,71.2,+.106,-1.23,101.1,102.4,-15.01
43,44,Cincinnati 1,BE,21-13,+14.27,110.9,96.6,68.5,-.001,+8.99,107.0,98.0,+2.61
44,45,Oklahoma 6,B12,20-9,+13.99,113.0,99.0,62.4,+.049,+6.16,105.5,99.3,-0.61
45,46,Louisville 1,BE,21-13,+13.98,108.2,94.2,64.8,-.041,+6.11,106.8,100.7,-8.19
46,47,California 7,P10,20-11,+13.68,110.5,96.8,61.9,+.021,+7.59,106.8,99.3,-0.77
47,48,Southern Illinois 11,MVC,22-11,+13.60,102.9,89.3,60.7,+.032,+5.81,103.6,97.8,+0.44
48,49,Vanderbilt 4,SEC,17-13,+13.58,114.7,101.2,61.9,-.030,+8.56,108.1,99.5,-2.76
49,50,Syracuse 5,BE,23-12,+13.15,110.0,96.8,68.3,+.077,+8.71,107.5,98.8,-3.79
50,51,Creighton 2,MVC,20-10,+13.11,107.2,94.1,62.7,+.000,+5.24,103.7,98.5,-1.08
51,52,San Diego St. 11,MWC,24-9,+12.78,112.8,100.0,66.1,-.001,+2.27,103.7,101.5,-2.20
52,53,Oklahoma St. 6,B12,17-16,+12.76,107.9,95.2,64.7,-.096,+6.50,106.6,100.1,-1.32
53,54,Xavier 14,A10,21-11,+12.73,110.9,98.2,65.3,-.065,+1.91,103.6,101.6,-3.38
54,55,Miami FL 3,ACC,18-16,+12.71,111.2,98.5,61.0,-.039,+9.46,108.0,98.5,-3.68
55,56,UAB 9,CUSA,24-7,+12.65,109.1,96.5,68.5,+.058,+1.51,101.8,100.3,+0.98
56,57,Maryland 1,ACC,19-13,+12.63,107.6,95.0,72.4,-.022,+8.02,107.8,99.8,-2.26
57,58,Bucknell 9,Pat,27-5,+12.56,105.7,93.1,61.8,+.092,-3.17,100.2,103.4,+7.18
58,59,Clemson 4,ACC,19-13,+12.51,105.9,93.4,68.6,-.049,+6.35,106.2,99.8,-4.81
59,60,Alabama 10,SEC,18-13,+12.48,112.8,100.3,63.4,+.005,+9.21,107.7,98.4,+1.60
60,61,Butler 8,Horz,20-13,+12.00,114.9,102.9,58.3,-.072,+1.16,103.0,101.9,+3.14
61,62,Milwaukee 11,Horz,22-9,+11.86,108.3,96.5,67.7,+.017,+1.54,104.9,103.4,+4.95
62,63,Hofstra 3,CAA,26-7,+11.72,111.3,99.6,66.2,+.097,+2.10,102.7,100.6,-3.98
63,64,Temple 7,A10,17-15,+11.38,109.1,97.7,59.9,-.051,+6.84,106.2,99.3,+9.95
64,65,Iona 13,MAAC,23-8,+11.33,109.7,98.4,69.6,+.024,+0.66,106.0,105.3,+3.83
65,66,Oregon,P10,15-18,+11.31,111.9,100.6,63.6,-.144,+7.33,106.1,98.7,-1.30
66,67,Old Dominion 5,CAA,24-10,+11.15,106.9,95.7,65.0,+.056,+2.16,104.2,102.1,-0.03
67,68,Pacific 13,BW,24-8,+10.87,109.8,99.0,62.8,+.010,-1.99,102.7,104.7,+0.54
68,69,Utah St. 12,WAC,23-9,+10.86,113.4,102.6,60.9,+.026,+1.59,102.8,101.2,-2.41
69,70,Kent St. 12,MAC,25-9,+10.54,108.3,97.8,65.7,+.017,+0.67,103.2,102.5,-1.52
70,71,Rutgers 8,BE,19-14,+10.41,109.5,99.1,64.0,-.002,+6.82,106.0,99.2,-3.96
71,72,Colorado 4,B12,20-10,+10.27,109.2,99.0,69.9,+.049,+4.24,104.4,100.2,-5.98
72,73,Winthrop 15,BSth,23-8,+10.27,104.4,94.2,64.0,-.027,-5.29,102.1,107.4,+8.15
73,74,Virginia Tech,ACC,14-16,+10.25,108.2,97.9,63.3,-.149,+5.61,105.3,99.7,-9.60
74,75,Houston 3,CUSA,21-10,+10.21,103.5,93.3,67.5,-.014,+1.61,102.6,101.0,+2.22
75,76,Iowa St.,B12,16-14,+10.03,111.2,101.2,69.8,-.052,+6.75,105.6,98.8,+1.77
76,77,Kansas St.,B12,15-13,+9.59,105.9,96.3,63.1,-.097,+3.77,105.2,101.4,-6.05
77,78,Stanford 7,P10,16-14,+9.56,105.9,96.4,64.3,+.006,+7.73,107.1,99.4,-1.23
78,79,Providence,BE,12-15,+9.47,112.2,102.7,68.7,-.058,+9.18,108.4,99.2,+1.71
79,80,Wake Forest 5,ACC,17-17,+9.46,110.4,100.9,66.9,-.033,+8.32,107.4,99.1,-4.51
80,81,Virginia 8,ACC,15-15,+9.41,106.1,96.7,63.8,-.015,+8.79,108.2,99.4,-4.05
81,82,Minnesota 4,B10,16-15,+9.34,104.4,95.1,64.2,-.016,+7.00,106.1,99.1,-5.16
82,83,Akron 8,MAC,23-10,+9.28,111.1,101.8,64.1,+.037,+0.82,102.5,101.7,+1.96
83,84,South Alabama 14,SB,24-7,+9.28,109.1,99.9,65.7,+.056,-2.51,100.8,103.3,-3.47
84,85,UTEP 9,CUSA,21-10,+9.13,103.7,94.6,62.1,-.024,-0.23,101.4,101.6,-0.41
85,86,Seton Hall 10,BE,18-12,+9.06,106.5,97.4,65.7,+.086,+6.93,106.0,99.1,-1.81
86,87,Montana 12,BSky,24-7,+8.95,111.6,102.7,66.2,+.056,-0.62,103.6,104.2,-0.71
87,88,UNLV,MWC,17-13,+8.57,105.3,96.8,66.5,-.031,+3.83,104.9,101.1,+2.31
88,89,Murray St. 14,OVC,24-7,+8.56,104.5,96.0,63.2,+.010,-5.31,102.3,107.6,+4.32
89,90,DePaul,BE,12-15,+8.42,110.2,101.8,61.4,+.004,+10.47,108.3,97.8,+7.26
90,91,BYU 6,MWC,20-9,+7.87,110.1,102.2,70.7,+.074,+2.21,103.5,101.3,-2.84
91,92,Western Kentucky 6,SB,23-8,+7.78,111.3,103.5,68.5,+.080,-0.72,102.2,103.0,+1.81
92,93,Northwestern St. 14,Slnd,26-8,+7.51,106.6,99.1,67.6,+.016,-1.45,102.2,103.6,+10.25
93,94,Charlotte 9,A10,19-13,+7.45,107.5,100.0,65.5,-.004,+2.69,103.9,101.2,+0.09
94,95,La Salle,A10,18-10,+7.44,107.3,99.8,64.3,+.036,+0.34,102.8,102.5,-3.57
95,96,Louisiana Tech 5,WAC,20-13,+7.43,101.1,93.6,64.8,+.029,+3.38,104.0,100.6,+2.94
96,97,Penn 15,Ivy,20-9,+7.30,101.8,94.5,64.3,-.030,-5.06,100.0,105.0,+1.85
97,98,Hawaii,WAC,17-11,+7.10,106.9,99.8,62.4,-.024,+1.78,102.8,101.0,+0.46
98,99,Washington St.,P10,11-17,+7.10,97.4,90.3,60.1,-.110,+7.35,107.3,100.0,-1.88
99,100,Drexel,CAA,15-16,+6.95,100.3,93.4,62.5,-.112,+1.99,103.3,101.4,+2.99
100,101,Miami OH 7,MAC,18-11,+6.89,104.3,97.5,60.0,+.019,+2.21,104.2,102.0,+6.80
101,102,USC,P10,17-13,+6.74,105.0,98.3,66.6,+.020,+5.63,105.1,99.4,-6.85
102,103,Georgia Tech,ACC,11-17,+6.66,104.8,98.1,68.4,-.097,+7.75,108.0,100.2,-6.34
103,104,VCU,CAA,19-10,+6.63,107.2,100.5,62.1,+.005,-1.21,101.8,103.0,-4.72
104,105,Massachusetts,A10,13-15,+6.48,101.1,94.6,65.5,-.069,+4.44,105.4,100.9,+4.85
105,106,Saint Mary's,WCC,17-12,+6.46,105.8,99.3,64.2,-.032,+1.65,103.8,102.2,+2.54
106,107,Georgia,SEC,15-15,+6.33,103.4,97.0,68.5,+.025,+8.34,108.3,100.0,-3.35
107,108,Marist,MAAC,19-10,+6.08,113.1,107.0,64.9,-.015,-1.06,104.1,105.2,-1.86
108,109,Ohio,MAC,19-11,+6.01,106.4,100.4,64.3,+.020,+0.19,103.6,103.4,+0.81
109,110,Northeastern,CAA,19-11,+5.90,107.0,101.1,69.1,+.039,+0.53,103.0,102.4,-0.25
110,111,Nebraska 6,B12,19-14,+5.84,102.9,97.1,64.6,+.057,+3.98,104.5,100.5,-9.69
111,112,Oral Roberts 16,MCon,21-12,+5.70,107.1,101.4,66.9,-.035,-3.45,102.8,106.2,+6.88
112,113,Auburn,SEC,12-16,+5.58,104.2,98.6,65.2,-.018,+8.07,107.3,99.2,-1.86
113,114,Mississippi St.,SEC,15-15,+5.53,102.9,97.3,66.7,+.027,+5.84,106.4,100.6,-4.37
114,115,New Mexico,MWC,17-13,+5.30,105.4,100.1,60.2,-.003,+1.91,103.9,102.0,-2.75
115,116,Penn St. 7,B10,15-15,+5.27,109.5,104.2,63.8,+.015,+5.25,104.8,99.6,-11.27
116,117,St. John's,BE,12-15,+5.27,97.6,92.3,62.5,-.038,+6.47,106.9,100.5,-7.08
117,118,Toledo,MAC,20-11,+5.17,101.4,96.2,67.5,-.023,-3.01,101.8,104.8,-6.87
118,119,San Diego,WCC,18-12,+5.14,106.9,101.7,69.6,-.034,-0.41,103.2,103.6,-3.39
119,120,Northern Illinois,MAC,17-11,+5.10,112.7,107.7,61.9,+.012,+0.13,101.8,101.7,+3.56
120,121,Texas Tech,B12,15-17,+5.03,105.6,100.6,65.9,-.012,+6.54,105.4,98.9,-1.28
121,122,Davidson 15,SC,20-11,+4.86,109.9,105.0,66.0,-.025,-3.30,101.4,104.7,+9.24
122,123,Northwestern,B10,14-15,+4.86,102.8,97.9,58.2,+.005,+7.35,107.0,99.6,-1.24
123,124,Texas A&M Corpus Chris,ind,20-8,+4.83,104.6,99.8,69.3,-.055,-8.09,98.1,106.1,+0.93
124,125,Saint Louis,A10,16-13,+4.56,99.2,94.6,61.0,+.029,+3.05,104.5,101.5,+0.97
125,126,New Mexico St.,WAC,16-14,+4.23,105.6,101.4,66.9,+.044,+3.88,104.3,100.5,+3.50
126,127,Fordham,A10,16-16,+4.12,107.6,103.5,62.7,-.014,+2.41,103.8,101.4,+2.91
127,128,Colorado St.,MWC,16-15,+4.09,107.7,103.6,68.2,-.042,+2.83,104.2,101.4,-0.14
128,129,Holy Cross,Pat,20-12,+4.06,100.3,96.3,64.7,+.002,-4.47,99.2,103.7,+1.79
129,130,UC Irvine,BW,16-13,+3.38,110.0,106.6,61.7,-.025,-2.98,101.9,104.9,-2.01
130,131,Dayton,A10,14-17,+3.15,102.7,99.5,62.3,-.092,+2.52,103.6,101.1,-2.06
131,132,Siena,MAAC,15-13,+3.11,105.0,101.9,67.0,-.008,+0.51,105.6,105.0,+4.24
