,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Louisville 1,BE,35-5,+32.92,117.7,84.8,65.8,-.016,+10.23,107.4,97.2,+2.15
1,2,Florida 3,SEC,29-8,+31.18,117.2,86.0,61.9,-.089,+7.00,105.6,98.6,+4.09
2,3,Indiana 1,B10,29-7,+29.31,120.8,91.5,66.0,-.021,+8.86,106.7,97.8,-5.16
3,4,Michigan 4,B10,31-8,+27.86,121.9,94.0,64.0,-.007,+11.13,108.2,97.0,-3.09
4,5,Gonzaga 1,WCC,32-3,+27.81,120.5,92.7,63.3,+.026,+4.37,105.4,101.0,+5.03
5,6,Duke 2,ACC,30-6,+26.98,119.1,92.1,66.7,+.033,+9.95,108.4,98.5,+6.85
6,7,Ohio St. 2,B10,29-8,+25.42,115.1,89.7,63.6,+.020,+10.18,107.3,97.1,-5.53
7,8,Kansas 1,B12,31-6,+25.23,112.7,87.5,66.4,+.010,+7.05,106.8,99.8,+2.64
8,9,Syracuse 4,BE,30-10,+24.83,113.1,88.3,63.1,-.004,+9.46,106.8,97.4,-4.44
9,10,Michigan St. 3,B10,27-9,+24.17,112.6,88.5,63.1,+.001,+11.91,108.8,96.9,-0.75
10,11,Pittsburgh 8,BE,24-9,+24.08,115.6,91.5,59.3,-.058,+4.52,104.9,100.4,-9.69
11,12,Wisconsin 5,B10,23-12,+22.57,108.3,85.7,60.4,-.033,+11.08,108.8,97.7,-3.20
12,13,Miami FL 2,ACC,29-7,+22.37,113.6,91.3,61.9,+.028,+8.41,107.7,99.3,+4.96
13,14,Arizona 6,P12,27-8,+21.88,115.4,93.5,65.5,-.012,+7.99,106.4,98.5,+1.45
14,15,Creighton 7,MVC,28-8,+21.75,118.3,96.5,63.8,-.009,+5.73,105.5,99.7,+1.63
15,16,Georgetown 2,BE,25-7,+21.24,107.6,86.4,61.2,+.038,+7.42,106.3,98.9,-6.15
16,17,Wichita St. 9,MVC,30-9,+20.31,111.8,91.5,63.8,-.002,+6.71,106.9,100.2,+0.17
17,18,VCU 5,A10,27-9,+20.28,114.0,93.7,66.4,+.002,+5.09,105.8,100.7,-0.22
18,19,Saint Louis 4,A10,28-7,+20.01,108.6,88.6,63.8,+.000,+3.91,104.5,100.6,-3.98
19,20,Minnesota 11,B10,21-13,+19.85,114.8,95.0,62.3,-.036,+11.22,108.5,97.3,+2.07
20,21,Saint Mary's 11,WCC,28-7,+19.33,116.1,96.8,62.9,+.023,+3.18,104.9,101.7,-0.49
21,22,Colorado St. 8,MWC,26-9,+19.12,117.9,98.8,63.8,+.020,+7.17,105.8,98.6,-0.49
22,23,New Mexico 3,MWC,29-6,+19.02,109.9,90.9,63.7,+.073,+7.98,106.4,98.4,+4.42
23,24,Oklahoma St. 5,B12,24-9,+18.69,109.0,90.3,66.1,-.016,+6.38,106.8,100.4,-2.26
24,25,Missouri 9,SEC,23-11,+18.53,114.9,96.4,66.3,-.032,+5.62,105.1,99.5,-2.02
25,26,Marquette 3,BE,26-9,+18.32,113.2,94.9,63.3,+.090,+9.28,105.9,96.6,-1.14
26,27,Kansas St. 4,B12,27-8,+18.16,113.5,95.3,61.4,+.051,+6.82,106.1,99.3,-3.29
27,28,Baylor 2,B12,23-14,+17.89,114.3,96.4,66.4,-.090,+6.92,106.0,99.1,+1.45
28,29,Iowa 3,B10,25-13,+17.83,109.8,91.9,66.3,-.029,+7.00,106.0,99.0,-9.03
29,30,Iowa St. 10,B12,23-12,+17.63,117.5,99.8,68.3,-.046,+6.74,105.5,98.7,-3.12
30,31,San Diego St. 7,MWC,23-11,+17.43,107.7,90.3,65.5,-.049,+7.65,106.6,98.9,+1.92
31,32,North Carolina 8,ACC,25-11,+17.14,112.2,95.1,69.6,+.038,+8.57,106.6,98.0,-0.95
32,33,North Carolina St. 8,ACC,24-11,+16.99,116.8,99.8,66.8,-.032,+6.54,106.1,99.5,-0.36
33,34,Mississippi 12,SEC,27-9,+16.95,112.3,95.3,69.2,-.011,+3.19,103.4,100.2,-7.55
34,35,Oregon 12,P12,28-9,+16.78,106.6,89.8,67.9,+.052,+5.92,105.1,99.2,-8.08
35,36,Notre Dame 7,BE,25-10,+16.65,114.6,97.9,60.3,+.046,+6.53,105.1,98.6,-6.61
36,37,Memphis 6,CUSA,31-5,+16.33,107.3,91.0,68.3,+.056,+1.90,104.8,102.9,+0.43
37,38,UNLV 5,MWC,25-10,+16.07,106.0,90.0,67.9,-.015,+6.23,106.1,99.9,-0.28
38,39,Illinois 7,B10,23-13,+15.82,110.6,94.8,64.6,+.042,+10.84,108.1,97.3,-0.80
39,40,Cincinnati 10,BE,22-12,+15.57,105.9,90.4,63.0,-.012,+7.31,105.6,98.3,-5.68
40,41,Virginia 1,ACC,23-12,+15.51,107.5,92.0,59.3,-.067,+2.47,103.0,100.6,-8.69
41,42,Butler 6,A10,27-9,+15.41,110.5,95.1,63.6,+.087,+7.53,106.8,99.3,+4.18
42,43,Belmont 11,OVC,26-7,+14.92,111.6,96.6,65.9,+.013,-0.74,103.8,104.6,+5.39
43,44,Middle Tennessee 11,SB,28-6,+14.77,107.3,92.5,63.4,+.052,-2.30,100.7,103.0,+4.87
44,45,Colorado 10,P12,21-12,+14.62,106.5,91.9,63.7,+.029,+9.15,107.3,98.1,+3.80
45,46,UCLA 6,P12,25-10,+14.53,111.1,96.6,68.1,+.068,+8.06,105.9,97.9,+0.43
46,47,Denver 3,WAC,22-10,+14.30,110.0,95.7,57.5,-.044,-0.09,102.8,102.9,+3.70
47,48,Stanford 4,P12,19-15,+14.18,109.9,95.7,66.7,-.075,+7.88,106.3,98.5,+2.77
48,49,Connecticut,BE,20-10,+14.05,109.9,95.9,63.8,+.011,+7.49,105.6,98.1,+0.29
49,50,La Salle 13,A10,24-10,+13.89,111.8,98.0,64.6,+.051,+5.67,105.8,100.1,-0.50
50,51,Oklahoma 10,B12,20-12,+13.80,111.1,97.3,65.2,+.004,+7.80,106.4,98.6,+2.47
51,52,Maryland 2,ACC,25-13,+13.62,107.1,93.4,66.2,-.032,+4.07,105.3,101.2,-11.03
52,53,Villanova 9,BE,20-14,+13.57,106.3,92.7,66.4,+.011,+9.41,106.5,97.1,+0.30
53,54,Boise St. 13,MWC,21-11,+13.54,113.2,99.7,64.8,+.004,+6.74,105.9,99.2,-1.38
54,55,Kentucky 1,SEC,21-12,+13.25,111.4,98.1,65.4,-.006,+4.90,104.8,99.9,-1.44
55,56,California 12,P12,21-12,+13.11,107.3,94.2,64.9,+.041,+8.35,106.0,97.6,+2.12
56,57,BYU 3,WCC,24-12,+13.04,110.2,97.2,69.9,-.016,+3.15,105.9,102.8,+0.57
57,58,Bucknell 11,Pat,28-6,+12.72,107.3,94.6,61.9,-.014,-1.72,102.4,104.1,+2.78
58,59,Temple 9,A10,24-10,+12.67,111.3,98.6,65.6,+.038,+5.48,105.7,100.2,+0.82
59,60,Stony Brook 7,AE,25-8,+12.25,106.7,94.4,62.9,-.034,-2.71,100.3,103.0,+1.32
60,61,Southern Miss 1,CUSA,27-10,+12.19,110.4,98.2,63.3,+.026,+2.53,103.6,101.1,+4.54
61,62,Akron 12,MAC,26-7,+11.52,106.8,95.2,65.2,+.085,-0.35,102.4,102.7,+0.28
62,63,Illinois St.,MVC,18-15,+11.49,109.7,98.2,68.8,-.094,+4.14,105.0,100.8,-2.40
63,64,Alabama 1,SEC,23-13,+11.47,103.6,92.2,60.5,+.001,+4.52,104.8,100.3,+1.07
64,65,Valparaiso 14,Horz,26-8,+11.42,110.7,99.3,64.3,+.021,-1.50,101.5,103.0,-3.18
65,66,Davidson 14,SC,26-8,+11.36,112.1,100.7,63.9,-.002,-5.09,100.3,105.4,+6.42
66,67,Dayton,A10,17-14,+11.31,112.7,101.4,64.7,-.100,+3.66,103.7,100.1,-1.09
67,68,Northern Iowa,MVC,21-15,+10.84,106.8,96.0,61.8,-.034,+5.34,105.6,100.2,+6.52
68,69,Providence 4,BE,19-15,+10.75,107.9,97.2,64.9,-.027,+5.77,104.7,98.9,-5.77
69,70,Stephen F. Austin 5,Slnd,27-5,+10.68,100.4,89.7,59.5,-.021,-6.39,99.3,105.7,+2.29
70,71,Weber St.,BSky,30-7,+10.65,109.1,98.4,64.1,-.016,-6.80,100.5,107.3,+1.69
71,72,Arizona St. 3,P12,22-13,+10.50,108.3,97.8,64.8,-.014,+3.91,104.8,100.9,-11.29
72,73,Tennessee 2,SEC,20-13,+10.47,109.1,98.6,62.4,+.006,+5.64,104.3,98.7,+2.03
73,74,Purdue,B10,16-18,+10.33,107.0,96.6,65.6,-.060,+8.01,106.3,98.3,-2.89
74,75,North Dakota St.,Sum,24-10,+10.03,105.5,95.4,59.6,-.015,-3.66,102.4,106.1,+2.45
75,76,Santa Clara,WCC,26-12,+9.72,110.9,101.2,67.5,+.046,+1.07,102.9,101.8,-6.01
76,77,Detroit 6,Horz,20-13,+9.65,113.7,104.1,69.0,-.044,+2.65,103.2,100.5,+7.63
