,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Villanova 2,BE,35-5,+32.01,122.8,90.8,66.0,+.023,+10.74,110.5,99.7,+2.98
1,2,North Carolina 1,ACC,33-7,+29.82,124.4,94.6,70.5,-.055,+11.45,111.7,100.2,+3.13
2,3,Kansas 1,B12,33-5,+29.67,120.0,90.4,69.0,+.044,+12.61,111.4,98.8,+3.62
3,4,Virginia 1,ACC,29-8,+29.64,120.6,91.0,61.3,-.040,+12.67,112.1,99.5,+4.98
4,5,Michigan St. 2,B10,29-6,+27.97,123.4,95.5,66.5,-.012,+7.19,107.5,100.3,+0.40
5,6,Kentucky 4,SEC,27-9,+25.14,121.8,96.6,67.4,-.046,+8.37,108.6,100.3,+3.19
6,7,Louisville,ACC,23-8,+24.68,113.4,88.8,66.1,-.025,+7.49,110.4,102.9,-7.40
7,8,West Virginia 3,B12,26-9,+24.45,115.3,90.9,69.5,+.003,+11.24,110.9,99.6,+0.72
8,9,Purdue 5,B10,26-9,+23.85,116.9,93.1,67.9,-.046,+7.43,109.1,101.7,-2.67
9,10,Oklahoma 2,B12,29-8,+23.78,117.9,94.1,69.8,+.082,+13.05,111.5,98.5,+2.70
10,11,Indiana 5,B10,27-8,+23.05,121.7,98.7,68.2,+.000,+6.40,108.8,102.4,-3.12
11,12,Oregon 1,P12,31-7,+22.68,119.1,96.4,68.1,+.041,+9.06,109.0,100.0,+1.04
12,13,Wichita St. 11,MVC,26-9,+22.53,111.3,88.7,66.0,-.079,+3.61,104.8,101.2,+6.45
13,14,Xavier 2,BE,28-6,+22.52,117.1,94.6,71.9,+.047,+8.16,108.2,100.0,+1.73
14,15,Miami FL 3,ACC,27-8,+22.44,119.4,96.9,65.9,+.077,+11.67,111.6,99.9,+2.63
15,16,SMU,Amer,25-5,+21.98,119.3,97.3,65.8,+.014,+3.37,105.5,102.2,-1.06
16,17,Duke 4,ACC,25-11,+21.87,121.9,100.0,67.7,-.026,+11.23,112.0,100.7,+3.52
17,18,Texas A&M 3,SEC,28-9,+21.26,113.8,92.5,67.1,+.006,+8.48,109.6,101.1,+3.15
18,19,Arizona 6,P12,25-9,+20.97,116.8,95.8,68.3,-.038,+6.66,107.9,101.3,-3.66
19,20,Iowa St. 4,B12,23-12,+20.95,121.2,100.3,71.2,-.062,+12.05,110.2,98.1,+2.54
20,21,Gonzaga 11,WCC,28-8,+20.82,116.3,95.5,67.3,-.038,+3.51,107.3,103.8,+6.12
21,22,Maryland 5,B10,27-9,+20.25,116.2,95.9,67.4,+.016,+8.60,109.2,100.6,-1.86
22,23,Iowa 7,B10,22-11,+20.24,116.1,95.9,68.8,-.071,+9.12,110.2,101.1,+1.28
23,24,Baylor 5,B12,22-12,+19.06,118.9,99.8,66.6,-.012,+11.21,109.7,98.4,-3.12
24,25,Vanderbilt 11,SEC,19-14,+18.76,113.6,94.9,67.8,-.106,+8.60,109.2,100.6,+3.68
25,26,Connecticut 9,Amer,25-11,+18.71,111.9,93.2,65.9,-.036,+6.17,107.6,101.4,-0.91
26,27,Syracuse 10,ACC,23-14,+18.57,112.7,94.1,65.0,-.027,+10.21,110.9,100.7,-0.82
27,28,California 4,P12,23-11,+18.32,112.5,94.2,68.1,-.053,+7.65,109.4,101.8,-2.58
28,29,Seton Hall 6,BE,25-9,+18.27,111.1,92.9,69.7,+.016,+8.55,108.5,100.0,-2.92
29,30,Butler 9,BE,22-11,+17.27,118.0,100.7,67.9,-.009,+8.10,108.5,100.4,-4.10
30,31,VCU 10,A10,25-11,+17.07,112.1,95.0,69.6,-.070,+3.82,107.3,103.5,+0.95
31,32,Cincinnati 9,Amer,22-11,+17.06,111.2,94.1,64.0,-.067,+5.20,107.3,102.1,-1.21
32,33,Utah 3,P12,27-9,+16.79,115.6,98.8,65.3,+.112,+9.79,109.8,100.0,+1.90
33,34,Saint Mary's 2,WCC,29-6,+16.74,117.3,100.6,61.8,+.025,-1.09,104.0,105.1,-6.66
34,35,Florida 2,SEC,21-15,+16.64,110.5,93.9,69.2,-.056,+10.21,110.7,100.5,+6.76
