,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,North Carolina 1,ACC,34-4,+31.14,123.2,92.1,72.9,-.011,+9.91,108.2,98.3,+1.06
1,2,Connecticut 1,BE,31-5,+29.25,116.0,86.8,67.1,+.024,+10.37,109.0,98.6,-1.68
2,3,Pittsburgh 1,BE,31-5,+28.96,121.2,92.3,65.2,-.012,+10.11,108.1,98.0,+0.79
3,4,Memphis 2,CUSA,33-4,+28.67,112.8,84.2,65.9,-.009,+4.73,105.5,100.8,+4.19
4,5,Louisville 1,BE,31-6,+26.06,111.2,85.2,66.9,+.068,+9.57,108.6,99.0,-0.19
5,6,Missouri 3,B12,31-7,+24.81,116.6,91.8,70.9,+.031,+7.96,106.4,98.4,-3.76
6,7,Oklahoma 2,B12,30-6,+24.59,118.3,93.7,66.6,+.018,+9.49,108.3,98.9,+0.46
7,8,Gonzaga 4,WCC,28-6,+24.51,117.5,93.0,67.1,+.003,+4.63,105.1,100.5,+10.61
8,9,Michigan St. 2,B10,31-7,+24.37,114.3,89.9,66.5,+.091,+12.33,109.4,97.1,+5.81
9,10,Duke 2,ACC,30-7,+24.31,117.5,93.2,66.3,+.053,+10.23,108.5,98.3,+3.18
10,11,West Virginia 6,BE,23-12,+24.21,115.1,90.9,63.7,-.067,+10.95,108.9,98.0,+2.11
11,12,UCLA 6,P10,26-9,+23.93,119.5,95.6,65.3,-.030,+8.42,107.6,99.1,-3.43
12,13,Villanova 3,BE,30-8,+23.89,114.4,90.5,68.3,+.021,+9.99,108.9,98.9,-5.37
13,14,Kansas 3,B12,27-8,+23.83,114.5,90.7,67.2,-.013,+8.83,107.9,99.1,+1.55
14,15,Arizona St. 6,P10,25-10,+23.03,118.2,95.2,59.1,-.018,+10.14,108.9,98.8,-2.04
15,16,Syracuse 3,BE,28-10,+22.21,117.0,94.8,69.7,+.024,+11.46,108.4,97.0,+0.77
16,17,Washington 4,P10,26-9,+22.09,113.1,91.0,72.2,-.005,+10.18,109.4,99.2,+0.09
17,18,Purdue 5,B10,27-10,+21.84,110.5,88.7,65.9,-.012,+8.94,107.2,98.3,-5.45
18,19,Marquette 6,BE,25-10,+21.02,117.1,96.1,67.5,-.014,+8.22,107.8,99.5,-4.95
19,20,Xavier 4,A10,27-8,+20.24,111.0,90.8,65.8,-.008,+5.81,105.8,100.0,+7.97
20,21,BYU 8,MWC,25-8,+20.10,114.0,93.9,69.0,-.046,+4.57,105.4,100.9,+0.39
21,22,Texas 7,B12,23-12,+19.65,112.2,92.5,65.4,-.048,+10.16,109.2,99.0,+2.01
22,23,Clemson 7,ACC,23-9,+19.62,116.4,96.7,67.9,-.024,+6.19,105.4,99.2,-4.45
23,24,Wake Forest 4,ACC,24-7,+18.88,111.6,92.7,72.8,+.051,+7.66,107.5,99.9,-4.35
24,25,Illinois 5,B10,24-10,+18.72,106.8,88.1,62.8,+.001,+7.96,106.5,98.6,-3.36
25,26,Oklahoma St. 8,B12,23-12,+18.33,116.4,98.1,69.3,-.003,+10.46,108.8,98.4,-0.28
26,27,USC 10,P10,22-13,+18.26,110.0,91.8,63.7,-.032,+10.81,110.5,99.7,+0.74
27,28,Utah 5,MWC,24-10,+17.80,110.8,92.9,65.0,+.013,+7.29,107.9,100.6,+6.96
28,29,Wisconsin 12,B10,20-13,+17.62,113.3,95.7,59.1,-.052,+9.51,107.3,97.8,+1.32
29,30,California 7,P10,22-11,+17.37,116.8,99.4,66.0,+.001,+9.17,108.0,98.8,-3.54
30,31,Georgetown 6,BE,16-15,+16.96,111.1,94.2,62.7,-.106,+11.11,108.7,97.6,+2.49
31,32,Tennessee 9,SEC,21-13,+16.48,115.1,98.7,67.7,-.032,+9.40,107.9,98.5,+9.15
32,33,Baylor 3,B12,24-15,+16.38,116.5,100.1,65.8,-.017,+10.57,108.6,98.0,-2.35
33,34,Ohio St. 8,B10,22-11,+16.34,113.3,96.9,62.5,+.042,+9.46,107.7,98.2,-3.41
34,35,Florida 1,SEC,25-11,+16.16,115.1,98.9,65.8,-.076,+2.61,104.0,101.4,-8.15
35,36,San Diego St. 1,MWC,26-10,+16.05,109.4,93.3,61.8,+.020,+5.59,105.6,100.0,-1.71
36,37,Arizona 12,P10,21-14,+15.96,117.7,101.8,64.9,+.018,+11.33,109.0,97.7,+2.34
37,38,Butler 9,Horz,26-6,+15.78,110.3,94.5,62.8,-.014,+2.51,103.0,100.5,+6.15
38,39,Florida St. 5,ACC,25-10,+15.76,105.9,90.1,65.9,+.066,+10.01,109.2,99.2,+0.60
39,40,Minnesota 10,B10,22-11,+15.43,108.1,92.6,64.5,+.031,+8.44,107.4,98.9,-4.18
40,41,Notre Dame 2,BE,21-15,+15.38,115.0,99.6,67.2,-.034,+9.93,107.5,97.6,-3.71
41,42,Miami FL 4,ACC,19-13,+15.30,111.2,95.9,64.3,-.048,+9.10,108.1,98.9,-4.21
42,43,New Mexico 3,MWC,22-12,+15.29,112.2,96.9,64.8,-.054,+4.56,105.9,101.3,+0.48
43,44,Utah St. 11,WAC,30-5,+15.12,116.7,101.6,60.0,+.046,-0.47,103.2,103.6,-2.77
44,45,Texas A&M 9,B12,24-10,+15.01,113.1,98.1,63.9,+.053,+7.85,107.1,99.3,-4.30
45,46,LSU 8,SEC,27-8,+14.86,111.5,96.6,66.1,+.075,+3.50,104.6,101.1,-8.66
46,47,Michigan 10,B10,21-14,+14.75,112.2,97.5,62.5,+.014,+11.39,108.5,97.1,+0.63
47,48,Kentucky 4,SEC,22-14,+14.62,107.8,93.2,66.6,-.073,+5.14,106.5,101.4,-5.74
48,49,Washington St. 7,P10,17-16,+14.58,105.0,90.4,57.6,-.076,+10.04,109.8,99.7,-1.96
49,50,Temple 11,A10,22-12,+14.38,109.9,95.5,63.5,-.005,+6.68,106.9,100.3,+7.22
50,51,Kansas St. 4,B12,22-12,+14.18,109.4,95.2,67.4,-.019,+5.84,106.2,100.3,-8.12
51,52,Stanford,P10,20-14,+14.13,112.5,98.3,67.5,-.022,+7.65,107.6,99.9,-4.87
52,53,UAB 7,CUSA,22-12,+13.73,109.4,95.7,66.4,-.009,+5.04,106.2,101.2,+3.87
53,54,VCU 11,CAA,24-10,+13.62,110.1,96.4,65.8,-.073,+0.23,102.9,102.7,+3.46
54,55,Maryland 10,ACC,21-14,+13.55,110.0,96.4,66.3,+.039,+9.61,108.3,98.7,-3.29
55,56,Saint Mary's 2,WCC,28-7,+13.36,110.6,97.2,66.5,+.083,+1.81,103.6,101.8,+1.62
56,57,Penn St. 2,B10,27-11,+12.91,111.8,98.9,61.8,+.080,+6.15,105.2,99.0,-9.92
57,58,Tulsa 4,CUSA,25-11,+12.75,106.2,93.4,64.1,+.060,+4.88,105.4,100.5,+2.32
58,59,Auburn 1,SEC,24-12,+12.46,106.8,94.3,68.3,-.032,+3.54,104.7,101.2,-7.27
59,60,Illinois St. 5,MVC,24-10,+12.44,109.0,96.5,64.2,-.038,+1.10,103.1,102.0,-4.41
60,61,North Dakota St. 14,Sum,26-7,+12.29,114.3,102.0,67.5,-.009,-1.60,103.1,104.7,+2.21
61,62,Rhode Island 6,A10,23-11,+12.26,113.7,101.5,67.7,-.043,+3.16,104.9,101.7,+0.22
62,63,Nebraska 6,B12,18-13,+12.21,103.5,91.3,62.9,-.032,+6.32,106.6,100.3,-8.47
63,64,Davidson 6,SC,27-8,+12.06,105.1,93.1,70.0,+.003,-3.79,102.8,106.6,+8.47
64,65,Northwestern 5,B10,17-14,+12.01,111.7,99.7,60.2,-.029,+7.92,106.6,98.6,-5.83
65,66,Cleveland St. 13,Horz,26-11,+11.96,105.3,93.3,63.7,+.009,+3.76,104.6,100.9,+7.07
66,67,Siena 9,MAAC,27-8,+11.93,110.3,98.4,70.7,+.031,+0.91,102.4,101.5,+7.27
67,68,Creighton 1,MVC,27-8,+11.79,111.9,100.1,67.0,+.050,+0.97,102.3,101.4,-2.51
68,69,Mississippi St. 13,SEC,23-13,+11.55,107.8,96.2,67.2,-.004,+4.96,105.3,100.3,-3.07
69,70,Houston,CUSA,21-12,+11.49,109.2,97.7,68.5,-.038,+1.63,104.2,102.5,-4.81
70,71,South Carolina 3,SEC,21-10,+11.44,107.3,95.9,72.6,-.012,+2.80,104.4,101.6,-9.84
71,72,Virginia Tech 2,ACC,19-15,+11.37,110.9,99.5,65.4,-.007,+8.01,107.5,99.5,-2.87
72,73,UNLV 5,MWC,21-11,+11.29,106.9,95.6,65.1,+.010,+4.73,105.5,100.8,-1.30
73,74,Boston College 7,ACC,22-12,+11.20,113.2,102.0,65.3,+.038,+6.40,106.6,100.2,-5.57
74,75,Niagara 3,MAAC,26-9,+10.62,109.2,98.6,68.4,+.003,-1.57,100.9,102.5,-0.27
75,76,Seton Hall,BE,17-15,+10.30,110.7,100.4,67.7,-.025,+8.26,106.6,98.3,-5.48
76,77,Providence 5,BE,19-14,+10.26,111.0,100.7,72.1,+.034,+7.68,107.2,99.5,-4.69
77,78,Dayton 11,A10,27-8,+10.23,103.3,93.0,64.5,+.107,+2.34,104.9,102.6,-4.57
78,79,Green Bay,Horz,22-11,+10.16,112.9,102.7,65.0,-.018,+0.55,102.8,102.3,-0.86
79,80,Vanderbilt,SEC,19-12,+10.01,107.6,97.6,65.3,-.011,+3.25,103.9,100.6,-6.22
80,81,North Carolina St.,ACC,16-14,+9.84,113.5,103.6,63.0,-.060,+5.74,106.0,100.2,-10.96
81,82,UTEP,CUSA,23-14,+9.84,108.2,98.4,70.5,+.003,+4.30,106.0,101.7,+2.52
82,83,Northern Iowa 12,MVC,23-11,+9.70,110.6,100.9,60.8,+.051,+3.10,104.7,101.6,+1.88
83,84,Vermont,AE,24-9,+9.10,108.7,99.6,69.0,-.020,-5.47,99.8,105.3,-5.33
84,85,Duquesne 7,A10,21-13,+8.95,115.2,106.2,68.9,+.009,+2.83,103.7,100.9,-3.06
85,86,Cincinnati,BE,18-14,+8.72,108.7,100.0,63.5,+.032,+8.11,106.8,98.7,-2.26
86,87,Iowa,B10,15-17,+8.44,108.6,100.2,57.6,-.055,+7.89,107.6,99.7,-3.27
87,88,Western Kentucky 12,SB,25-9,+8.10,111.1,103.0,65.6,+.092,-0.60,102.2,102.8,+6.63
88,89,George Mason 7,CAA,22-11,+8.04,104.6,96.6,62.2,-.011,-0.25,102.7,102.9,-0.25
89,90,Oral Roberts,Sum,16-15,+7.85,103.0,95.2,67.6,-.111,+1.78,105.2,103.4,+13.25
90,91,Miami OH,MAC,17-13,+7.38,103.5,96.2,60.4,-.005,+2.44,102.5,100.0,+10.25
91,92,Mississippi,SEC,16-15,+7.19,111.4,104.2,66.3,-.001,+6.06,105.4,99.3,+0.06
92,93,Old Dominion,CAA,25-10,+7.02,105.0,98.0,62.2,+.043,-2.52,101.4,103.9,-8.55
93,94,Texas Tech,B12,14-19,+7.01,109.3,102.3,71.4,-.017,+10.65,109.2,98.6,+1.39
94,95,Akron 13,MAC,23-13,+6.90,102.9,96.0,64.8,-.014,-1.60,100.9,102.5,-1.83
95,96,Wright St.,Horz,20-13,+6.90,100.7,93.8,61.6,+.014,+1.26,103.0,101.7,+1.42
96,97,Northeastern,CAA,19-13,+6.84,106.4,99.6,59.7,+.023,+2.28,103.4,101.1,+6.72
97,98,Georgia Tech,ACC,12-19,+6.73,100.4,93.7,70.5,-.107,+7.67,107.3,99.6,-4.44
98,99,Saint Joseph's,A10,17-15,+6.71,105.7,99.0,63.9,-.041,+3.00,104.2,101.2,+1.78
