,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
0,1,Gonzaga 1,WCC,37-2,+32.05,118.4,86.3,70.1,+.020,+2.99,106.2,103.3,+1.01
1,2,Villanova 1,BE,32-4,+29.88,122.4,92.5,64.1,+.010,+9.33,109.8,100.5,+3.55
2,3,North Carolina 1,ACC,33-7,+28.22,120.7,92.5,71.3,+.037,+12.49,112.0,99.5,+3.87
3,4,Kentucky 2,SEC,32-6,+27.72,119.1,91.4,72.0,+.006,+10.98,110.5,99.5,+3.74
4,5,Florida 4,SEC,27-9,+27.50,116.9,89.5,69.0,-.041,+12.46,110.3,97.8,+8.19
5,6,Kansas 1,B12,31-5,+27.45,121.9,94.5,70.2,+.067,+12.43,111.2,98.8,+2.39
6,7,West Virginia 4,B12,28-9,+27.17,116.5,89.4,69.9,-.043,+10.84,110.1,99.2,-7.97
7,8,Wichita St. 10,MVC,31-5,+26.14,118.7,92.6,68.0,-.021,+1.50,105.0,103.5,-0.32
8,9,Louisville 2,ACC,25-9,+25.51,117.2,91.7,67.9,-.023,+11.14,111.6,100.5,+4.20
9,10,Oregon 3,P12,33-6,+25.02,118.2,93.2,67.0,+.034,+8.05,109.2,101.2,+0.51
10,11,SMU 6,Amer,30-5,+24.73,119.8,95.0,63.5,+.003,+3.25,105.3,102.1,-0.92
11,12,Virginia 5,ACC,23-11,+24.29,112.2,88.0,59.2,-.030,+11.68,111.5,99.8,+2.29
12,13,Baylor 3,B12,27-8,+24.23,117.1,92.9,63.7,+.023,+13.08,111.7,98.6,+1.67
13,14,Duke 2,ACC,28-9,+24.17,121.0,96.8,68.3,+.014,+11.43,111.0,99.6,+0.03
14,15,Saint Mary's 7,WCC,29-5,+23.67,118.7,95.0,60.2,+.030,+0.41,104.3,103.9,-4.13
15,16,UCLA 3,P12,31-5,+23.63,124.0,100.4,72.6,+.021,+5.17,108.0,102.8,-4.66
16,17,Iowa St. 5,B12,24-11,+23.45,119.7,96.3,68.4,-.019,+14.05,112.6,98.6,-0.74
17,18,Arizona 2,P12,32-5,+23.31,118.4,95.1,66.0,+.046,+7.13,108.7,101.5,+1.69
18,19,Purdue 4,B10,27-8,+23.12,117.0,93.9,69.1,+.016,+9.00,109.6,100.6,-2.38
19,20,Michigan 7,B10,26-12,+23.05,122.3,99.2,63.1,-.025,+10.76,110.3,99.5,-0.53
20,21,Wisconsin 8,B10,27-10,+22.99,115.1,92.1,63.4,-.003,+10.00,110.6,100.6,-1.29
21,22,Oklahoma St. 10,B12,20-13,+22.48,126.0,103.5,70.4,-.071,+14.42,112.0,97.6,+3.07
22,23,Cincinnati 6,Amer,30-6,+22.18,114.9,92.8,63.5,+.026,+4.17,107.1,103.0,-0.47
23,24,South Carolina 7,SEC,26-11,+20.80,108.9,88.1,68.6,-.005,+10.63,110.2,99.5,+1.93
24,25,Butler 4,BE,25-9,+20.76,117.7,97.0,65.9,+.002,+10.81,110.8,100.0,+5.12
25,26,Florida St. 3,ACC,26-9,+20.06,115.5,95.5,71.3,+.039,+8.82,110.6,101.8,-3.95
26,27,Notre Dame 5,ACC,26-10,+19.74,118.1,98.4,67.0,+.024,+10.24,110.1,99.8,-3.85
27,28,Creighton 6,BE,25-10,+18.83,115.3,96.5,71.2,+.004,+8.97,110.3,101.3,-1.24
28,29,TCU 4,B12,24-15,+17.51,114.5,97.0,67.1,-.008,+11.28,110.6,99.3,-3.16
29,30,Kansas St. 11,B12,21-14,+17.44,113.0,95.6,66.2,-.029,+11.56,110.6,99.0,-5.31
30,31,Xavier 11,BE,24-14,+16.70,115.7,99.0,67.2,+.044,+11.73,111.2,99.5,+5.32
