,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
0,Rank,School,W-L,SOS,Opp Win Pct,Rank,W-L,SOS,Rank,RPI
1,1,Kentucky,21-11,0.6204,0.6491 (1),2,11-3,0.6295,13,0.6262
2,2,Arizona,20-10,0.6191,0.6487 (2),1,9-2,0.6542,14,0.6241
3,3,Duke,22-10,0.6099,0.6388 (3),10,14-1,0.5871,15,0.6182
4,4,North Carolina,28-6,0.6035,0.6250 (6),7,14-1,0.5891,2,0.6610
5,5,Tennessee,22-10,0.6029,0.6257 (5),5,12-3,0.5930,12,0.6272
6,6,Pittsburgh,27-7,0.6008,0.6277 (4),23,13-2,0.5621,5,0.6463
7,7,Villanova,21-10,0.5954,0.6206 (7),46,11-2,0.5484,19,0.6138
8,8,UCLA,25-5,0.5950,0.6150 (8),3,10-1,0.6098,3,0.6579
9,9,Michigan State,22-11,0.5880,0.6087 (9),55,13-2,0.5448,24,0.6034
10,10,Arkansas,21-13,0.5871,0.6058 (10),35,11-3,0.5575,35,0.5907
11,11,Boston College,20-11,0.5866,0.6027 (13),51,9-4,0.5457,32,0.5941
12,12,Ohio State,30-3,0.5848,0.6010 (15),72,12-2,0.5348,1,0.6720
13,13,California,16-17,0.5848,0.6021 (14),43,8-4,0.5509,80,0.5547
14,14,Georgetown,26-6,0.5824,0.5958 (17),129,10-3,0.5144,9,0.6368
15,15,Maryland,24-8,0.5820,0.6041 (11),40,14-1,0.5526,16,0.6167
16,16,Georgia,17-13,0.5803,0.5945 (18),138,8-4,0.5110,64,0.5703
17,17,Marquette,23-9,0.5795,0.6006 (16),98,12-2,0.5226,22,0.6054
18,18,Utah,11-19,0.5784,0.6032 (12),39,5-8,0.5548,132,0.5124
19,19,Creighton,22-10,0.5773,0.5937 (19),24,6-5,0.5616,20,0.6121
20,20,Florida State,20-12,0.5771,0.5934 (20),111,12-2,0.5186,41,0.5867
21,21,Bradley,20-12,0.5768,0.5929 (21),15,9-3,0.5734,38,0.5884
22,22,Virginia Tech,20-11,0.5759,0.5898 (22),76,9-4,0.5323,34,0.5936
23,23,Vanderbilt,19-11,0.5753,0.5874 (24),130,9-4,0.5140,46,0.5826
24,24,Illinois,23-11,0.5747,0.5896 (23),33,12-3,0.5578,29,0.5948
25,25,Wisconsin,29-5,0.5740,0.5844 (25),71,14-1,0.5357,4,0.6466
26,26,Louisiana State,17-15,0.5705,0.5800 (32),93,11-3,0.5254,91,0.5468
27,27,Mississippi State,18-13,0.5703,0.5808 (30),127,9-4,0.5147,65,0.5700
28,28,North Carolina State,18-15,0.5700,0.5778 (37),270,10-3,0.4561,89,0.5481
29,29,DePaul,17-13,0.5696,0.5778 (36),85,8-5,0.5288,68,0.5668
30,30,Southern Illinois,26-6,0.5696,0.5784 (34),41,9-2,0.5519,7,0.6400
31,31,Michigan,21-12,0.5694,0.5805 (31),102,12-3,0.5210,54,0.5786
32,32,Stanford,18-12,0.5694,0.5765 (38),116,8-3,0.5170,63,0.5710
33,33,South Carolina,14-16,0.5691,0.5782 (35),165,10-3,0.5005,109,0.5334
34,34,Oklahoma State,21-12,0.5690,0.5832 (27),90,13-1,0.5258,51,0.5808
35,35,Oklahoma,15-15,0.5688,0.5843 (26),133,8-4,0.5132,102,0.5370
36,36,Louisville,22-9,0.5679,0.5757 (41),145,9-4,0.5086,37,0.5890
37,37,Nevada-Las Vegas,27-6,0.5666,0.5812 (29),37,12-2,0.5552,10,0.6348
38,38,Florida,29-5,0.5660,0.5735 (43),159,13-2,0.5015,6,0.6433
39,39,Texas Tech,21-12,0.5659,0.5786 (33),60,11-4,0.5430,53,0.5792
40,40,Minnesota,9-22,0.5658,0.5820 (28),105,6-8,0.5202,190,0.4793
41,41,Georgia Tech,20-11,0.5657,0.5700 (48),160,12-2,0.5012,52,0.5802
42,42,Missouri State,21-10,0.5647,0.5763 (39),56,8-3,0.5445,36,0.5897
43,43,Southern California,23-11,0.5646,0.5759 (40),182,10-3,0.4913,47,0.5824
44,44,Purdue,21-11,0.5634,0.5726 (46),92,11-3,0.5255,42,0.5857
45,45,Alabama,20-11,0.5630,0.5729 (45),112,13-1,0.5185,49,0.5819
46,46,Syracuse,22-10,0.5619,0.5720 (47),122,11-3,0.5153,50,0.5809
47,47,Cincinnati,11-19,0.5609,0.5752 (42),82,9-5,0.5298,174,0.4890
48,48,Providence,18-12,0.5608,0.5731 (44),74,10-3,0.5335,76,0.5566
49,49,Virginia,19-10,0.5599,0.5642 (53),176,8-4,0.4955,55,0.5782
50,50,Clemson,21-10,0.5595,0.5630 (55),215,14-0,0.4788,45,0.5833
51,51,Auburn,16-15,0.5594,0.5651 (50),154,9-5,0.5049,113,0.5298
52,52,Indiana,20-10,0.5593,0.5599 (60),149,10-3,0.5066,28,0.5954
53,53,Texas,24-9,0.5578,0.5648 (51),184,10-4,0.4902,26,0.6018
54,54,Arizona State,7-22,0.5569,0.5630 (56),234,5-5,0.4700,221,0.4633
55,55,Indiana State,12-18,0.5564,0.5629 (57),121,6-4,0.5157,139,0.5085
56,56,Brigham Young,24-8,0.5549,0.5647 (52),126,9-4,0.5148,18,0.6146
57,57,Texas A&M,25-6,0.5546,0.5636 (54),141,12-2,0.5094,17,0.6156
58,58,Kansas,30-4,0.5545,0.5601 (59),114,13-2,0.5174,11,0.6334
59,59,Mississippi,20-12,0.5528,0.5583 (62),214,11-3,0.4790,58,0.5741
60,60,Nebraska,15-14,0.5526,0.5602 (58),140,9-3,0.5094,103,0.5363
61,61,Houston,18-15,0.5522,0.5697 (49),30,6-8,0.5595,83,0.5528
62,62,Wake Forest,15-16,0.5517,0.5483 (78),258,9-4,0.4595,123,0.5238
63,63,Washington,19-13,0.5503,0.5520 (69),188,10-2,0.4883,82,0.5534
64,64,Oregon,26-7,0.5502,0.5511 (71),233,12-0,0.4704,21,0.6112
65,65,Connecticut,17-14,0.5495,0.5559 (67),177,11-3,0.4948,110,0.5320
66,66,Iowa,17-14,0.5493,0.5491 (76),194,8-6,0.4869,96,0.5423
67,67,Northwestern,11-18,0.5493,0.5506 (73),225,9-3,0.4729,177,0.4876
68,68,Miami (FL),12-20,0.5481,0.5481 (79),274,7-7,0.4541,157,0.4967
69,69,Missouri,18-12,0.5476,0.5563 (65),108,11-2,0.5200,93,0.5459
70,70,Penn State,11-19,0.5467,0.5569 (63),259,9-4,0.4595,199,0.4766
71,71,Wichita State,16-14,0.5462,0.5474 (82),174,8-3,0.4958,100,0.5402
72,72,Baylor,14-16,0.5452,0.5552 (68),264,9-3,0.4585,141,0.5080
73,73,Drake,16-15,0.5436,0.5475 (81),191,9-2,0.4875,112,0.5298
74,74,San Jose State,5-25,0.5433,0.5599 (61),20,1-12,0.5660,252,0.4451
75,75,Memphis,30-3,0.5432,0.5520 (70),22,11-3,0.5655,8,0.6379
76,76,Dayton,19-12,0.5431,0.5562 (66),26,10-3,0.5613,75,0.5573
77,77,Northern Iowa,17-13,0.5430,0.5441 (87),195,8-3,0.4858,84,0.5525
78,78,Oregon State,10-21,0.5428,0.5462 (85),267,7-5,0.4578,198,0.4766
79,79,St. John's,16-15,0.5427,0.5473 (83),205,9-5,0.4815,133,0.5123
80,80,Air Force,22-8,0.5427,0.5495 (75),136,12-1,0.5116,30,0.5945
81,81,Seton Hall,12-16,0.5420,0.5498 (74),185,8-4,0.4902,153,0.4986
82,82,Xavier,24-8,0.5407,0.5466 (84),44,10-4,0.5496,33,0.5940
83,83,San Diego State,19-10,0.5407,0.5456 (86),180,9-3,0.4931,66,0.5687
84,84,Saint Louis,19-13,0.5402,0.5484 (77),61,9-4,0.5430,74,0.5580
85,85,Saint Joseph's,17-14,0.5393,0.5507 (72),59,7-6,0.5431,95,0.5426
86,86,Iowa State,14-16,0.5391,0.5426 (90),204,8-5,0.4822,135,0.5115
87,87,Utah State,22-11,0.5387,0.5565 (64),81,11-3,0.5299,43,0.5845
88,88,Kansas State,22-11,0.5381,0.5413 (92),227,11-4,0.4726,56,0.5762
89,89,Washington State,25-7,0.5369,0.5282 (107),312,11-1,0.4339,25,0.6031
90,90,Colorado,7-20,0.5365,0.5359 (97),314,4-6,0.4323,238,0.4532
91,91,Evansville,14-17,0.5362,0.5389 (94),208,8-4,0.4808,131,0.5128
