,Rank,School,W-L,SOS,Opponent Winning Pct.,Rank,W-L,SOS,Rank,RPI
92,92,Hawai'i,18-13,0.5352,0.5411 (93),54,10-4,0.5450,98,0.5414
93,93,Gonzaga,23-10,0.5343,0.5425 (91),9,10-7,0.5872,61,0.5725
94,94,Miami (OH),18-14,0.5329,0.5427 (89),47,5-8,0.5472,92,0.5465
95,95,Colorado State,15-13,0.5328,0.5356 (99),313,8-2,0.4331,106,0.5344
96,96,Old Dominion,24-8,0.5318,0.5477 (80),34,8-4,0.5576,40,0.5881
97,97,Rutgers,9-19,0.5313,0.5280 (108),186,6-6,0.4895,215,0.4668
98,98,Rhode Island,17-14,0.5313,0.5357 (98),175,5-7,0.4956,108,0.5337
99,99,West Virginia,21-9,0.5307,0.5233 (109),271,11-1,0.4560,57,0.5751
100,100,Wyoming,16-15,0.5307,0.5290 (104),296,8-5,0.4445,122,0.5240
101,101,Marshall,13-19,0.5289,0.5438 (88),78,5-9,0.5318,165,0.4927
102,102,Illinois State,14-16,0.5287,0.5231 (110),243,8-3,0.4644,138,0.5094
103,103,Drexel,22-8,0.5279,0.5368 (96),8,8-2,0.5886,39,0.5882
104,104,Boise State,16-14,0.5274,0.5372 (95),150,7-5,0.5062,111,0.5315
105,105,New Mexico,14-17,0.5263,0.5284 (105),222,10-4,0.4749,166,0.4923
106,106,Notre Dame,24-7,0.5258,0.5185 (114),311,12-1,0.4347,31,0.5943
107,107,Louisiana Tech,10-20,0.5247,0.5284 (106),178,3-10,0.4944,189,0.4796
108,108,Butler,25-6,0.5245,0.5300 (101),27,11-2,0.5603,27,0.5966
109,109,Charlotte,14-16,0.5242,0.5291 (103),87,7-6,0.5262,146,0.5038
110,110,UIC,13-18,0.5230,0.5331 (100),29,5-8,0.5596,159,0.4962
111,111,Texas Christian,13-17,0.5208,0.5189 (113),315,8-4,0.4314,183,0.4848
112,112,South Florida,12-18,0.5204,0.5170 (120),300,9-5,0.4419,192,0.4788
113,113,Temple,12-18,0.5201,0.5198 (112),97,6-7,0.5230,182,0.4853
114,114,Alabama-Birmingham,15-16,0.5192,0.5179 (116),113,8-6,0.5175,134,0.5117
115,115,San Francisco,12-18,0.5190,0.5293 (102),32,4-11,0.5580,162,0.4943
116,116,UW Milwaukee,9-22,0.5140,0.5166 (121),83,3-11,0.5296,237,0.4534
117,117,Rice,14-16,0.5133,0.5179 (115),135,4-7,0.5128,158,0.4965
118,118,George Mason,18-15,0.5131,0.5151 (125),73,6-5,0.5338,121,0.5242
119,119,Nevada,27-4,0.5128,0.5078 (134),100,12-1,0.5214,23,0.6036
120,120,Loyola-Marymount,11-18,0.5126,0.5158 (123),18,6-8,0.5706,187,0.4800
121,121,Youngstown State,12-17,0.5123,0.5164 (122),52,4-7,0.5456,173,0.4893
122,122,Ohio,18-13,0.5120,0.5173 (119),75,8-5,0.5328,105,0.5351
123,123,Toledo,19-12,0.5108,0.5116 (128),19,4-9,0.5670,94,0.5442
124,124,Detroit,11-19,0.5101,0.5122 (126),80,5-8,0.5308,191,0.4791
125,125,Fordham,18-12,0.5096,0.5086 (133),70,7-5,0.5359,107,0.5337
126,126,Virginia Commonwealth,27-6,0.5095,0.5108 (129),91,8-4,0.5256,44,0.5844
127,127,UNC Wilmington,7-22,0.5089,0.5100 (132),128,3-7,0.5145,262,0.4388
128,128,Towson,15-17,0.5085,0.5107 (130),77,6-6,0.5320,156,0.4974
129,129,Loyola-Chicago,19-11,0.5084,0.5077 (135),99,8-4,0.5216,101,0.5389
130,130,Northeastern,13-19,0.5080,0.5057 (139),66,3-9,0.5412,184,0.4831
131,131,Massachusetts,23-8,0.5077,0.5012 (146),143,10-4,0.5091,62,0.5722
132,132,Chicago State,7-20,0.5077,0.5119 (127),147,7-20,0.5077,212,0.4699
133,133,Pacific,11-19,0.5069,0.5203 (111),104,5-9,0.5204,204,0.4748
134,134,Kent State,20-11,0.5067,0.5101 (131),153,7-6,0.5051,86,0.5516
135,135,Western Michigan,15-16,0.5056,0.5045 (142),21,5-8,0.5658,150,0.5012
136,136,Middle Tennessee State,14-17,0.5051,0.5175 (117),31,4-6,0.5582,161,0.4949
137,137,Idaho,4-27,0.5046,0.5072 (136),265,2-11,0.4582,305,0.4087
138,138,St. Mary's,14-15,0.5045,0.5011 (147),48,5-8,0.5467,154,0.4985
139,139,Yale,13-13,0.5044,0.5173 (118),94,3-9,0.5248,142,0.5074
140,140,Tulsa,18-11,0.5027,0.5064 (138),190,8-3,0.4881,118,0.5258
141,141,Duquesne,10-19,0.5026,0.4988 (153),167,4-8,0.4998,222,0.4631
142,142,Santa Clara,20-10,0.5023,0.4916 (167),79,9-5,0.5310,99,0.5410
143,143,Fresno State,22-9,0.5021,0.4964 (158),199,12-2,0.4847,87,0.5507
144,144,Texas-El Paso,14-17,0.5011,0.4999 (150),203,8-6,0.4831,210,0.4712
145,145,Portland,8-23,0.5009,0.5045 (141),88,3-12,0.5261,279,0.4283
146,146,,2-24,0.5009,0.5153 (124),162,2-24,0.5009,304,0.4100
147,147,Richmond,8-22,0.5009,0.4988 (154),201,4-9,0.4834,272,0.4328
148,148,Southern Methodist,12-17,0.5003,0.4996 (152),249,9-3,0.4621,206,0.4729
149,149,Western Kentucky,21-11,0.5000,0.5057 (140),58,8-4,0.5432,97,0.5423
150,150,Georgia State,11-20,0.4988,0.4952 (160),252,5-6,0.4605,232,0.4586
151,151,Fairfield,13-19,0.4988,0.5070 (137),53,3-10,0.5451,205,0.4744
152,152,Holy Cross,25-8,0.4988,0.5023 (143),103,9-7,0.5207,60,0.5730
153,153,Hofstra,21-9,0.4985,0.4920 (166),124,7-4,0.5151,73,0.5605
154,154,New Mexico State,24-8,0.4976,0.4840 (188),269,10-3,0.4573,69,0.5668
155,155,Delaware,5-26,0.4968,0.5001 (149),118,2-10,0.5164,306,0.4083
156,156,George Washington,23-8,0.4963,0.4853 (181),242,9-3,0.4650,71,0.5621
157,157,East Carolina,3-24,0.4960,0.4973 (155),278,2-8,0.4525,312,0.3984
158,158,Southern Mississippi,16-11,0.4946,0.4886 (172),245,6-3,0.4631,129,0.5158
159,159,Wright State,23-9,0.4941,0.4899 (169),228,8-6,0.4723,72,0.5618
160,160,Boston University,12-18,0.4939,0.5010 (148),109,3-9,0.5199,211,0.4704
161,161,Cleveland State,7-21,0.4939,0.4859 (178),197,4-7,0.4851,264,0.4367
162,162,UC Irvine,15-18,0.4937,0.4969 (156),181,7-9,0.4921,176,0.4887
163,163,St. Bonaventure,7-22,0.4931,0.4910 (168),212,3-10,0.4792,278,0.4293
164,164,Appalachian State,22-7,0.4930,0.4950 (161),4,6-3,0.5951,59,0.5735
165,165,Oral Roberts,22-10,0.4930,0.4952 (159),68,7-8,0.5381,90,0.5478
166,166,Harvard,12-16,0.4927,0.4998 (151),144,7-7,0.5089,188,0.4798
167,167,Tulane,15-13,0.4925,0.4837 (189),295,5-5,0.4446,145,0.5045
168,168,Gardner-Webb,8-21,0.4920,0.5012 (145),13,1-9,0.5818,265,0.4362
169,169,Louisiana-Lafayette,8-21,0.4916,0.5012 (144),49,1-9,0.5462,270,0.4337
170,170,Pennsylvania,21-8,0.4910,0.4869 (177),155,8-7,0.5046,88,0.5499
171,171,Oakland,18-14,0.4903,0.4853 (182),65,6-9,0.5417,125,0.5221
172,172,Bucknell,22-9,0.4901,0.4896 (170),173,7-7,0.4958,77,0.5555
173,173,Idaho State,12-17,0.4895,0.4949 (162),17,4-8,0.5709,193,0.4787
174,174,Elon,5-23,0.4891,0.4939 (164),25,0-9,0.5614,298,0.4164
175,175,Lehigh,10-19,0.4888,0.4967 (157),169,3-11,0.4978,241,0.4520
176,176,Pepperdine,8-22,0.4888,0.4843 (187),168,4-11,0.4991,263,0.4370
177,177,Chattanooga,12-18,0.4887,0.4946 (163),151,5-5,0.5061,219,0.4637
178,178,Akron,25-7,0.4883,0.4851 (183),236,10-3,0.4694,67,0.5679
179,179,Ball State,9-22,0.4878,0.4811 (193),125,4-10,0.5149,274,0.4297
180,180,Northern Illinois,6-23,0.4878,0.4882 (173),152,2-10,0.5058,301,0.4140
181,181,The Citadel,4-23,0.4870,0.4877 (175),69,0-8,0.5361,308,0.4040
182,182,Buffalo,12-19,0.4857,0.4794 (195),237,8-6,0.4689,239,0.4532
183,183,Maryland-Baltimore County,12-19,0.4856,0.4935 (165),156,4-9,0.5040,214,0.4671
184,184,Albany,23-9,0.4848,0.4879 (174),139,7-6,0.5095,78,0.5553
185,185,La Salle,10-20,0.4846,0.4811 (192),276,7-7,0.4530,268,0.4349
186,186,Florida Atlantic,15-15,0.4834,0.4849 (184),170,4-6,0.4970,155,0.4980
187,187,Dartmouth,9-18,0.4830,0.4889 (171),202,5-8,0.4832,255,0.4428
188,188,College of Charleston,22-11,0.4827,0.4815 (191),219,7-5,0.4780,114,0.5298
189,189,Furman,13-16,0.4823,0.4870 (176),226,4-5,0.4728,195,0.4782
190,190,James Madison,7-23,0.4820,0.4745 (205),293,3-8,0.4450,300,0.4153
191,191,Samford,15-16,0.4815,0.4855 (180),14,2-7,0.5748,175,0.4888
192,192,Valparaiso,15-15,0.4814,0.4742 (207),120,6-9,0.5162,164,0.4935
193,193,Western Carolina,9-20,0.4809,0.4748 (204),115,1-8,0.5172,244,0.4479
194,194,Iona,2-28,0.4800,0.4847 (185),161,1-10,0.5010,326,0.3779
195,195,Bowling Green,11-18,0.4789,0.4755 (202),298,8-4,0.4428,242,0.4488
196,196,Eastern Michigan,13-19,0.4784,0.4736 (208),172,6-8,0.4965,235,0.4543
197,197,UC Davis,5-23,0.4782,0.4858 (179),217,5-23,0.4782,313,0.3983
198,198,Davidson,27-4,0.4781,0.4704 (215),84,7-3,0.5289,48,0.5821
199,199,Austin Peay,19-11,0.4781,0.4819 (190),6,1-6,0.5910,117,0.5259
200,200,Brown,11-18,0.4778,0.4760 (201),235,5-10,0.4699,230,0.4604
201,201,William & Mary,15-15,0.4776,0.4677 (218),302,7-4,0.4401,196,0.4773
202,202,UNC Asheville,8-19,0.4774,0.4843 (186),88,1-10,0.5261,249,0.4461
203,203,,13-17,0.4766,0.4766 (199),96,3-7,0.5235,217,0.4643
204,204,UW Green Bay,16-15,0.4764,0.4662 (225),281,7-5,0.4517,170,0.4904
205,205,Colgate,9-19,0.4764,0.4764 (200),229,4-9,0.4722,261,0.4400
206,206,Vermont,25-7,0.4758,0.4712 (213),189,8-5,0.4881,85,0.5524
207,207,Troy,12-17,0.4756,0.4707 (214),207,4-6,0.4809,223,0.4630
208,208,Lamar,13-17,0.4753,0.4743 (206),63,4-8,0.5427,216,0.4645
209,209,Siena,20-12,0.4752,0.4777 (197),213,6-5,0.4790,128,0.5164
210,210,Arkansas State,16-15,0.4752,0.4775 (198),209,3-7,0.4800,163,0.4938
211,211,Lafayette,7-21,0.4751,0.4715 (211),275,4-9,0.4539,284,0.4243
212,212,Central Michigan,13-18,0.4747,0.4627 (232),231,5-8,0.4714,227,0.4617
213,213,Nicholls State,7-22,0.4746,0.4713 (212),86,0-13,0.5272,293,0.4190
214,214,Sam Houston State,18-10,0.4744,0.4753 (203),50,5-6,0.5462,115,0.5289
215,215,South Alabama,18-11,0.4743,0.4657 (227),193,5-5,0.4870,127,0.5173
216,216,Texas-San Antonio,4-22,0.4735,0.4805 (194),123,1-9,0.5152,318,0.3890
217,217,Missouri-Kansas City,11-19,0.4729,0.4688 (217),196,4-10,0.4856,257,0.4416
218,218,IU-Purdue Indianapolis,13-15,0.4728,0.4731 (210),192,5-7,0.4872,209,0.4719
219,219,Indiana-Purdue Ft. Wayne,9-17,0.4727,0.4778 (196),163,3-13,0.5008,243,0.4488
220,220,Long Beach State,23-7,0.4719,0.4611 (237),291,9-5,0.4466,79,0.5550
221,221,Eastern Washington,12-14,0.4718,0.4731 (209),64,4-6,0.5424,186,0.4811
222,222,Northwestern State,16-15,0.4707,0.4669 (223),101,4-8,0.5212,167,0.4917
223,223,Tennessee Tech,18-13,0.4707,0.4674 (220),28,4-5,0.5600,144,0.5050
224,224,Cal Poly,17-11,0.4695,0.4660 (226),325,7-5,0.4200,140,0.5083
225,225,Navy,12-16,0.4693,0.4637 (229),253,8-5,0.4603,224,0.4623
226,226,Arkansas-Little Rock,12-17,0.4689,0.4663 (224),166,4-6,0.4999,228,0.4607
227,227,San Diego,15-14,0.4685,0.4524 (257),230,7-5,0.4719,180,0.4863
228,228,Manhattan,13-17,0.4680,0.4690 (216),232,3-8,0.4706,231,0.4604
229,229,Hartford,13-18,0.4673,0.4617 (236),240,6-7,0.4667,226,0.4618
230,230,Delaware State,20-12,0.4668,0.4674 (221),12,2-9,0.5859,120,0.5248
231,231,Savannah State,8-18,0.4663,0.4593 (241),241,8-18,0.4663,289,0.4211
232,232,UC Riverside,5-24,0.4660,0.4608 (239),316,4-10,0.4309,316,0.3965
233,233,Sacred Heart,18-14,0.4657,0.4657 (228),134,4-7,0.5131,151,0.5008
234,234,Florida International,10-17,0.4656,0.4596 (240),246,3-5,0.4630,251,0.4455
235,235,Eastern Kentucky,19-11,0.4654,0.4635 (230),57,3-4,0.5440,126,0.5176
236,236,St. Francis (NY),9-22,0.4654,0.4676 (219),95,2-10,0.5245,280,0.4253
237,237,Murray State,14-13,0.4653,0.4620 (235),16,1-5,0.5712,181,0.4860
238,238,Tennessee State,11-20,0.4650,0.4628 (231),107,3-7,0.5200,260,0.4408
239,239,Central Florida,20-9,0.4648,0.4461 (273),329,9-3,0.4163,119,0.5250
240,240,Weber State,17-11,0.4648,0.4608 (238),158,4-6,0.5021,143,0.5059
241,241,UC Santa Barbara,17-11,0.4645,0.4533 (253),304,8-5,0.4396,152,0.5000
242,242,Cornell,15-12,0.4639,0.4586 (243),292,6-7,0.4462,169,0.4911
243,243,Niagara,22-11,0.4639,0.4620 (234),277,6-6,0.4526,136,0.5107
244,244,Mount St. Mary's,11-20,0.4636,0.4672 (222),183,1-10,0.4910,256,0.4427
245,245,Jacksonville,13-14,0.4632,0.4624 (233),62,2-6,0.5430,201,0.4762
246,246,Northern Arizona,16-12,0.4628,0.4542 (250),146,4-6,0.5084,149,0.5012
247,247,CS Northridge,12-17,0.4624,0.4541 (251),306,7-7,0.4377,250,0.4460
248,248,Army,13-16,0.4622,0.4540 (252),285,8-5,0.4506,225,0.4622
249,249,Stetson,9-20,0.4615,0.4589 (242),164,3-7,0.5005,285,0.4239
250,250,,10-21,0.4615,0.4480 (268),244,7-9,0.4634,290,0.4193
251,251,Wofford,7-20,0.4610,0.4461 (272),200,2-6,0.4834,296,0.4175
252,252,New Hampshire,10-19,0.4602,0.4523 (258),305,4-8,0.4379,258,0.4414
253,253,Texas A&M-Corpus Christi,24-6,0.4601,0.4543 (249),142,7-4,0.5093,81,0.5546
254,254,North Florida,1-26,0.4594,0.4583 (244),171,0-9,0.4966,333,0.3505
255,255,Maine,10-18,0.4593,0.4496 (261),279,3-8,0.4523,248,0.4466
256,256,Coppin State,12-20,0.4592,0.4527 (255),38,2-10,0.5550,246,0.4476
257,257,Canisius,12-19,0.4590,0.4544 (248),248,5-6,0.4625,247,0.4468
258,258,Stony Brook,9-20,0.4590,0.4517 (259),257,5-7,0.4595,281,0.4253
259,259,Longwood,7-22,0.4588,0.4562 (246),261,7-22,0.4588,307,0.4050
260,260,American,16-14,0.4586,0.4484 (266),307,8-6,0.4376,178,0.4868
261,261,Montana State,9-19,0.4582,0.4570 (245),210,1-10,0.4800,286,0.4236
262,262,Belmont,22-9,0.4573,0.4496 (262),157,5-5,0.5033,116,0.5284
263,263,Rider,16-15,0.4565,0.4484 (267),220,6-5,0.4750,197,0.4769
264,264,Montana,15-15,0.4564,0.4478 (270),198,4-8,0.4848,220,0.4637
265,265,Marist,24-8,0.4564,0.4438 (275),256,9-3,0.4598,104,0.5360
266,266,Monmouth,12-18,0.4559,0.4509 (260),132,5-7,0.5134,259,0.4411
267,267,East Tennessee State,22-9,0.4548,0.4487 (265),218,4-6,0.4782,124,0.5236
268,268,McNeese State,13-17,0.4542,0.4450 (274),206,3-9,0.4812,236,0.4538
269,269,Central Connecticut State,22-11,0.4540,0.4492 (263),224,3-9,0.4733,147,0.5029
270,270,Winthrop,24-4,0.4539,0.4405 (277),45,7-4,0.5490,70,0.5647
271,271,Central Arkansas,6-20,0.4536,0.4480 (269),179,2-8,0.4944,311,0.4006
272,272,Southern University,10-21,0.4526,0.4530 (254),42,1-11,0.5513,288,0.4222
273,273,Arkansas-Pine Bluff,10-19,0.4525,0.4559 (247),11,0-9,0.5869,267,0.4350
274,274,Sacramento State,8-19,0.4524,0.4416 (276),211,3-8,0.4797,302,0.4127
275,275,Hampton,15-16,0.4511,0.4525 (256),106,4-7,0.5201,218,0.4641
276,276,Southern Utah,14-14,0.4507,0.4372 (281),251,8-5,0.4610,213,0.4699
277,277,Fairleigh Dickinson,13-16,0.4505,0.4474 (271),216,4-6,0.4787,233,0.4568
278,278,Radford,6-22,0.4503,0.4491 (264),221,3-10,0.4749,319,0.3886
279,279,Princeton,11-17,0.4502,0.4339 (288),319,9-5,0.4283,266,0.4357
280,280,North Texas,20-10,0.4498,0.4362 (284),286,6-2,0.4501,137,0.5101
281,281,Loyola-Maryland,18-13,0.4498,0.4380 (280),321,5-6,0.4264,172,0.4896
282,282,UNC Greensboro,16-14,0.4477,0.4248 (308),327,4-7,0.4175,208,0.4721
283,283,Charleston Southern,4-22,0.4474,0.4401 (278),283,2-9,0.4512,330,0.3649
284,284,Lipscomb,16-13,0.4469,0.4325 (290),238,4-5,0.4677,179,0.4865
285,285,Columbia,15-12,0.4465,0.4289 (294),328,8-5,0.4165,202,0.4756
286,286,Louisiana-Monroe,15-14,0.4460,0.4265 (304),262,3-6,0.4587,203,0.4756
287,287,Quinnipiac,13-15,0.4454,0.4392 (279),266,1-7,0.4580,240,0.4530
288,288,Southeast Missouri State,10-20,0.4446,0.4289 (295),280,1-8,0.4521,292,0.4191
289,289,Tennessee-Martin,7-23,0.4446,0.4348 (286),250,2-8,0.4617,317,0.3896
290,290,Florida A&M,18-13,0.4442,0.4343 (287),110,3-7,0.5195,171,0.4901
291,291,Campbell,12-17,0.4435,0.4338 (289),290,4-5,0.4476,273,0.4308
292,292,CS Fullerton,18-10,0.4432,0.4223 (311),334,8-4,0.3835,148,0.5017
293,293,Western Illinois,5-23,0.4426,0.4301 (292),330,2-11,0.4123,327,0.3717
294,294,Coastal Carolina,11-15,0.4423,0.4364 (283),187,4-7,0.4885,269,0.4340
295,295,Texas State,6-20,0.4422,0.4356 (285),299,2-8,0.4424,323,0.3817
296,296,Norfolk State,11-19,0.4421,0.4370 (282),131,0-10,0.5136,282,0.4249
297,297,Stephen F. Austin,12-14,0.4414,0.4286 (296),254,4-5,0.4601,245,0.4477
298,298,Georgia Southern,13-16,0.4412,0.4151 (320),310,5-4,0.4348,234,0.4550
299,299,Morehead State,10-18,0.4412,0.4308 (291),288,2-5,0.4482,295,0.4180
300,300,Kennesaw State,12-18,0.4404,0.4286 (297),289,3-9,0.4481,276,0.4295
301,301,Portland State,17-13,0.4403,0.4248 (307),247,7-5,0.4625,194,0.4783
302,302,Binghamton,13-16,0.4400,0.4269 (302),323,7-5,0.4212,254,0.4430
303,303,Jacksonville State,8-20,0.4393,0.4297 (293),297,1-7,0.4441,315,0.3980
304,304,Mercer,11-17,0.4390,0.4273 (301),287,3-6,0.4496,275,0.4297
305,305,Eastern Illinois,9-20,0.4388,0.4262 (305),284,3-6,0.4507,309,0.4035
