,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
53,54,Colorado,B12,18-11,+11.77,111.3,99.5,68.1,+.034,+8.21,108.0,99.8,-0.15
54,55,Wichita St.,MVC,21-11,+11.64,109.9,98.3,65.9,-.075,+1.87,103.5,101.6,-0.76
55,56,Oklahoma,B12,20-11,+11.61,104.5,92.9,63.6,+.059,+6.68,107.0,100.4,-6.56
56,57,Purdue,B10,17-14,+11.60,104.6,93.0,62.7,-.066,+5.31,106.9,101.6,-2.70
57,58,DePaul 7,CUSA,22-10,+11.36,113.0,101.6,63.2,+.091,+5.83,106.4,100.6,-0.62
58,59,Saint Mary's,WCC,19-12,+10.92,110.5,99.6,66.3,-.083,+1.47,105.5,104.0,+1.19
59,60,Washington 8,P10,19-12,+10.78,113.1,102.3,73.5,+.031,+6.16,106.6,100.4,+2.14
60,61,Murray St. 12,OVC,28-6,+10.62,110.5,99.9,68.7,+.064,-3.80,103.1,106.9,+1.25
61,62,Milwaukee,Horz,20-11,+10.52,112.2,101.7,70.4,-.024,+2.29,104.1,101.8,+6.22
62,63,Illinois Chicago 13,Horz,24-8,+10.39,107.5,97.1,64.6,+.037,-0.52,103.6,104.1,-2.97
63,64,Iowa St.,B12,20-13,+10.37,109.2,98.8,69.7,+.064,+8.62,108.1,99.5,-0.48
64,65,Creighton,MVC,20-9,+10.36,108.2,97.8,63.4,+.006,+1.13,103.5,102.3,-4.40
65,66,Virginia,ACC,18-13,+10.27,109.3,99.1,68.7,+.100,+10.68,108.8,98.1,-7.81
66,67,Louisiana Lafayette 14,SB,20-9,+10.23,109.2,99.0,69.1,+.006,+0.84,103.8,103.0,+10.92
67,68,Auburn,SEC,14-14,+10.16,106.3,96.1,66.4,-.097,+5.31,106.3,101.0,-6.32
68,69,Iowa,B10,16-13,+10.10,106.7,96.6,68.5,-.015,+7.21,106.7,99.5,+2.02
69,70,LSU,SEC,18-11,+10.04,107.0,96.9,63.6,+.054,+6.37,106.1,99.7,-4.84
70,71,Rice,WAC,22-11,+9.83,109.0,99.2,68.1,+.070,+5.14,105.5,100.3,-0.78
71,72,Rutgers,BE,20-13,+9.83,106.0,96.2,66.0,+.046,+6.66,106.8,100.1,+0.32
72,73,Penn,Ivy,17-10,+9.80,109.0,99.2,63.6,-.072,-2.36,101.8,104.2,+5.82
73,74,Dayton 10,A10,24-9,+9.75,108.1,98.4,62.2,+.084,+3.26,105.6,102.3,-1.55
74,75,Kent St.,MAC,22-9,+9.68,106.9,97.2,65.6,+.009,+0.37,104.1,103.8,+1.51
75,76,Georgia,SEC,16-14,+9.54,108.1,98.5,62.3,+.029,+8.84,107.7,98.8,-5.31
76,77,UNLV,MWC,18-13,+9.35,110.3,100.9,69.1,-.009,+5.18,106.2,101.0,+0.12
77,78,Hawaii,WAC,21-12,+9.27,109.8,100.6,65.3,+.023,+4.31,105.3,101.0,-4.46
78,79,Oregon,P10,18-13,+9.21,110.9,101.7,67.6,+.026,+6.38,106.7,100.3,+2.41
79,80,Detroit,Horz,19-11,+9.19,106.4,97.2,59.1,-.009,-0.14,103.8,104.0,+2.76
80,81,VCU 13,CAA,23-8,+9.09,105.6,96.5,64.4,+.076,-0.29,102.3,102.6,+0.29
81,82,Pacific 12,BW,25-8,+8.93,108.6,99.7,63.6,+.096,+0.28,103.4,103.1,+3.56
82,83,Kansas St.,B12,14-14,+8.89,104.6,95.7,64.9,-.080,+5.49,106.9,101.4,-8.19
83,84,Northern Iowa 14,MVC,21-10,+8.78,107.4,98.6,64.8,+.022,+2.45,103.9,101.4,-1.91
84,85,East Tennessee St. 13,SC,27-6,+8.60,104.4,95.8,73.2,+.016,-2.39,102.2,104.6,+0.64
85,86,Rhode Island,A10,20-14,+8.48,105.2,96.7,64.4,+.003,+2.69,105.2,102.5,+0.47
86,87,Saint Louis,CUSA,19-13,+8.21,103.5,95.3,61.3,+.031,+5.49,105.9,100.4,-1.49
87,88,Troy St.,ASun,24-7,+7.82,113.5,105.7,68.0,+.017,-5.00,101.1,106.1,+3.83
88,89,Tennessee,SEC,15-14,+7.30,108.5,101.2,66.1,+.020,+7.83,107.6,99.8,-6.49
89,90,Temple,A10,15-14,+7.23,109.8,102.5,60.1,+.011,+6.05,106.2,100.2,+6.95
90,91,Fresno St.,WAC,14-15,+7.09,106.7,99.6,58.7,-.066,+5.37,105.9,100.5,+2.19
91,92,Marquette,CUSA,19-12,+7.03,111.7,104.6,64.2,+.020,+3.10,104.3,101.2,-6.50
92,93,West Virginia,BE,17-14,+6.81,107.0,100.2,62.3,+.064,+6.80,106.6,99.8,+0.71
93,94,Indiana,B10,14-15,+6.81,105.3,98.4,64.0,+.053,+8.97,109.3,100.3,+8.13
94,95,Southwest Missouri St.,MVC,19-14,+6.48,105.6,99.1,63.2,-.026,+1.31,103.4,102.1,-4.18
95,96,George Mason,CAA,23-10,+6.24,103.0,96.8,67.5,+.093,+0.36,103.0,102.6,-0.35
96,97,Arkansas,SEC,12-16,+6.03,104.6,98.6,66.1,-.067,+6.44,107.0,100.6,-6.94
97,98,UCF 14,ASun,25-6,+5.91,103.3,97.4,62.6,+.087,-5.87,101.4,107.2,-3.79
98,99,Drexel,CAA,18-11,+5.78,106.7,100.9,67.7,-.017,-1.30,102.1,103.4,-5.62
99,100,Northwestern,B10,14-15,+5.65,106.7,101.1,59.3,+.023,+6.62,106.8,100.2,+2.13
100,101,Old Dominion,CAA,17-12,+5.57,104.6,99.0,69.1,-.019,+0.66,103.0,102.4,+2.85
101,102,California,P10,13-15,+5.51,103.7,98.2,64.0,-.018,+5.91,107.4,101.5,+3.39
